"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","DQ Score"
"436783","Forest Garden Overlap Garden Shed 4 x 3","Forest Garden","Wooden Sheds",NA,"4 x 3","Yes",NA,0.883333333333333
"436784","Forest Garden Overlap Apex Garden Shed 5 x 3","Forest Garden","Wooden Sheds",NA,"5 x 3","Yes",NA,0.883333333333333
"436785","Forest Garden Overlap Apex Garden Shed 3 x 5","Forest Garden","Wooden Sheds",NA,"3 x 5","Yes",NA,0.883333333333333
"436786","Forest Garden Overlap Apex Garden Shed 6 x 4","Forest Garden","Wooden Sheds",NA,"6 x 4","Yes",NA,0.883333333333333
"436787","Forest Garden Overlap Windowless Garden Shed 6 x 4","Forest Garden","Wooden Sheds",NA,"6 x 4","Yes",NA,0.883333333333333
"436788","Forest Garden Reverse Overlap Garden Shed 6 x 4","Forest Garden","Wooden Sheds",NA,"6 x 4","Yes",NA,0.883333333333333
"436789","Forest Garden Essential Overlap Garden Shed 5 x 7","Forest Garden","Wooden Sheds",NA,"5 x 7","Yes",NA,0.883333333333333
"436790","Forest Garden Overlap Pent Garden Shed 7 x 5","Forest Garden","Wooden Sheds",NA,"7 x 5","Yes",NA,0.883333333333333
"436791","Forest Garden Essential Overlap Garden 6 x 8","Forest Garden","Wooden Sheds",NA,"6 x 8","Yes",NA,0.883333333333333
"436792","Forest Garden Essential Overlap Garden Shed 6 x 8","Forest Garden","Wooden Sheds",NA,"6 x 8","Yes",NA,0.883333333333333
"436793","Forest Garden Overlap Pent Garden Shed 8 x 6","Forest Garden","Wooden Sheds",NA,"8 x 6","Yes",NA,0.883333333333333
"436794","Forest Garden Double Door Overlap Garden Shed8 x 6","Forest Garden","Wooden Sheds",NA,"8 x 6","Yes",NA,0.883333333333333
"436795","Forest Garden Reverse Apex Garden Shed 8 x 6","Forest Garden","Wooden Sheds",NA,"8 x 6","Yes",NA,0.883333333333333
"436796","Forest Garden Overlap Pent Garden Shed 10 x 6","Forest Garden","Wooden Sheds",NA,"10 x 6","Yes",NA,0.883333333333333
"436797","Forest Garden Double Door Overlap Garden Shed10 x 6","Forest Garden","Wooden Sheds",NA,"10 x 6","Yes",NA,0.883333333333333
"436798","Forest Garden Overlap Apex Garden Workshop 10 x 8","Forest Garden","Wooden Sheds",NA,"10 x 8","Yes",NA,0.883333333333333
"436799","Forest Garden Overlap Apex Garden Workshop 12 x 8","Forest Garden","Wooden Sheds",NA,"12 x 8","Yes",NA,0.883333333333333
"436800","Forest Garden Overlap Pent Garden Wall Shed","Forest Garden","Wooden Sheds",NA,"203.3cm x 106.7cm x 180.8cm","Yes",NA,0.883333333333333
"436801","Forest Garden Overlap Apex Garden Shed 6 x 4","Forest Garden","Wooden Sheds",NA,"6 x 4","Yes",NA,0.883333333333333
"436802","Forest Garden Overlap Garden Shed with Lean To6 x 4","Forest Garden","Wooden Sheds",NA,"6 x 4","Yes",NA,0.883333333333333
"436803","Forest Garden Overlap Pent Garden Shed 7 x 5","Forest Garden","Wooden Sheds",NA,"7 x 5","Yes",NA,0.883333333333333
"436804","Forest Garden Double Door Apex Garden Shed 7 x 5","Forest Garden","Wooden Sheds",NA,"7 x 5","Yes",NA,0.883333333333333
"436805","Forest Garden Double Door Overlap Apex GardenShed 7 x 7","Forest Garden","Wooden Sheds",NA,"7 x 7","Yes",NA,0.883333333333333
"436806","Forest Garden Overlap Apex Garden Shed 8 x 6","Forest Garden","Wooden Sheds",NA,"8 x 6","Yes",NA,0.883333333333333
"436807","Forest Garden Overlap Apex Windowless Garden Shed8 x 6","Forest Garden","Wooden Sheds",NA,"8 x 6","Yes",NA,0.883333333333333
"436808","Forest Garden Onduline Overlap Garden Apex Shed6 x 8","Forest Garden","Wooden Sheds",NA,"6 x 8","Yes",NA,0.883333333333333
"436809","Forest Garden Overlap Garden Workshop 10 x 8","Forest Garden","Wooden Sheds",NA,"10 x 8","Yes",NA,0.883333333333333
"436810","Forest Garden Overlap Garden Workshop 12 x 8","Forest Garden","Wooden Sheds",NA,"12 x 8","Yes",NA,0.883333333333333
"436811","Forest Garden Shiplap Apex Garden Shed 4 x 6","Forest Garden","Wooden Sheds",NA,"4 x 6","Yes",NA,0.883333333333333
"436812","Forest Garden Shiplap Pent Garden Shed 7 x 5","Forest Garden","Wooden Sheds",NA,"7 x 5","Yes",NA,0.883333333333333
"436813","Forest Garden Shiplap Apex Garden Shed 8 x 6","Forest Garden","Wooden Sheds",NA,"8 x 6","Yes",NA,0.883333333333333
