"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Model Number","DQ Score"
"433406","Wilkinson Sword Hydro 5 Groomer","Wilkinson Sword","Mens Razors",NA,NA,"1",NA,NA,0.8
"433407","Wilkinson Sword Hydro 5 Blades 4pk","Wilkinson Sword","Razor Blades",NA,NA,"1",NA,NA,0.75
"433408","Wilkinson Sword Hydro 3 Blades 4pk","Wilkinson Sword","Razor Blades",NA,NA,"1",NA,NA,0.75
"433409","Wilkinson Sword Hydro 5 Groomer Blades 4pk","Wilkinson Sword","Razor Blades",NA,NA,"1",NA,NA,0.8
"433410","Wilkinson Sword Quattro Titanium  Razor Plus8 Blades","Wilkinson Sword","Mens Razors",NA,NA,"8",NA,NA,0.8
"433411","Wilkinson Sword Hydro 5 Sensitive Razor","Wilkinson Sword","Mens Razors",NA,NA,"1",NA,NA,0.8
"433412","Wilkinson Sword Hydro 5 Sensitive Blades 4pk","Wilkinson Sword","Razor Blades",NA,NA,"1",NA,NA,0.75
"433425","Wilkinson Sword Extra Sensitive 2","Wilkinson Sword","Mens Razors",NA,NA,"10pk",NA,NA,0.8
"345655","Wilko Mens Sensitive Shave Gel 200ml","Wilko","Mens Shaving Gel",NA,NA,"1","200ml",NA,0.85
"345658","Wilko Mens Moisture Shave Gel 200ml","Wilko","Mens Shaving Gel",NA,NA,"1","200ml",NA,0.85
"345660","Wilko Mens Shave Foam 200ml","Wilko","Mens Shaving Gel","Multi",NA,"1","200ml",NA,0.9
"346657","Wilko Mens Aftershave Balm 100ml","Wilko","Mens Shaving Balms","Multi",NA,"1","100ml",NA,0.9
"347780","Wilko Disposible Razor Single Blade 10pk","Wilko","Mens Razors","Multi",NA,"1","10 Pack",NA,0.9
"347781","Wilko Disposible Razor Twin Blade 10pk","Wilko","Mens Razors","Multi",NA,"1","10 Pack",NA,0.9
"347782","Wilko Disposible Razor Triple Blade 5pk","Wilko","Mens Razors","Multi",NA,"1","5 Pack",NA,0.9
"347783","Wilko Disposable Razor 5 Blade 3pk","Wilko","Mens Razors","Multi",NA,"1",NA,NA,0.85
"347784","Wilko Triple Blade System Razor 2 Blades","Wilko","Mens Razors","Multi",NA,"1",NA,NA,0.85
"347787","Wilko Triple Blade Cartridge 5pk","Wilko","Razor Blades","Multi",NA,"1","5 Pack",NA,0.9
"348136","Wilko Mens Shave Oil 15ml","Wilko","Shaver Oil","Multi",NA,"1","15ml",NA,0.9
"455086","Wilko Three Blade Cartridges 4pk","Wilko","Razor blades ",NA,NA,"4",NA,NA,0.8
"455087","Wilko Three Blade Cartridges 8pk","Wilko","Razor blades ",NA,NA,"8",NA,NA,0.8
