"Article","Web Description","Brand","Type","Colour","Size","Pack Qty","Material","DQ Score"
"456406","Wilko Hardwall Hooks 30mm 6pk","Wilko","Adhesive Hooks","Cream","30mm","6","Plastic",1
"456407","Wilko Hardwall Hooks 40mm 4pk","Wilko","Adhesive Hooks","Cream","40mm","4","Plastic",1
