"Article","Web Description","DQ Score"
"185422","Wilko Easy Photo Frame Silver Effect 6 x 4in",1
"185423","Wilko Easy Photo Frame Silver Effect 7 x 5in",1
"185424","Wilko Easy Photo Frame Silver Effect 8 x 6in",1
"185425","Wilko Easy Photo Frame Silver Effect 10 x 8in",1
"185426","Wilko Easy Photo Frame Silver Effect A4",1
"185427","Wilko Easy Photo Frame Silver Effect 16 x 12in",1
"186289","Wilko Rustic  Effect Photo Frame 7 x 5in",1
"186290","Wilko Rustic Effect Photo Frame 8 x 6in",1
"186292","Wilko Rustic Effect Photo Frame 10 x 8in",1
"186293","Wilko Rustic Effect Photo Frame 12 x 10in",1
"186294","Wilko Rustic Effect Photo Frame 14 x 11in",1
"187652","Wilko Rustic Effect Photo Frame 20 x 16in",1
"213564","Wilko Dorchester Gold Photo Frame 7 x 5in",1
"213565","Wilko Dorchester Gold Photo Frame 8 x 6in",1
"213566","Wilko Dorchester Gold Photo Frame 10 x 8in",1
"213567","Wilko Dorchester Gold Photo Frame 12 x 10in",1
"213568","Wilko Dorchester Gold Photo Frame 14 x 11in",1
"242196","Wilko Dorchester Gold Photo Frame 20 x 16in",1
"242202","Wilko Pewter Effect Photo Frame 6 x 4in",1
"242203","Wilko Pewter Effect Photo Frame 7 x 5in",1
"242204","Wilko Pewter Effect Photo Frame 8 x 6in",1
"242205","Wilko Pewter Effect Photo Frame 10 x 8in",1
"242322","Wilko Rustic Effect Photo Frame A4",1
"242493","Wilko Easy Photo Frame Black 6 x 4in",1
"242494","Wilko Easy Photo Frame Black 10 x 8in",1
"242495","Wilko Easy Photo Frame Black A4",1
"242496","Wilko Easy Photo Frame Black 7 x 5in",1
"242498","Wilko Easy Photo Frame Black 16 x 12in",1
"250486","Wilko Pewter Effect Photo Frame A4",1
"250487","Wilko Pewter Effect Photo Frame 12 x 10in",1
"250488","Wilko Pewter Effect Photo Frame 20 x 16in",1
"277030","Wilko Dorchester Silver Photo Frame 7 x 5in",1
"277031","Wilko Dorchester Silver Photo Frame 8 x 6in",1
"277033","Wilko Dorchester Silver Photo Frame 10 x 8in",1
"277034","Wilko Dorchester Silver Photo Frame 12 x 10in",1
"277035","Wilko Dorchester Silver Photo Frame 14 x 11in",1
"277037","Wilko Dorchester Silver Photo Frame 20 x 16in",1
"291010","Wilko Black Photo Frame 6 x 4in",1
"291011","Wilko Black Photo Frame 7 x 5in",1
