"Article","Web Description","Brand","Type","Colour","Power","Size","Model Number","DQ Score"
"436780","Addis Multi Surface Sweeper","Addis","Carpet Sweeper",NA,NA,NA,NA,0.825
"429071","Black and Decker Flexi Dustbuster Cordless HandHeld Vacuum Cleaner 10.8v","Black & Decker","Handheld Vacuum Cleaners",NA,NA,"(H)25.0 x (W)30.0 x (D)16.0","PD1020L-GB",0.833333333333333
"454070","Black & Decker Dustbuster Cordless Hand VacuumCleaner 5.4wh Lithium Ion 3.6V","Black & Decker","Handheld Vacuum Cleaners",NA,"7.5 air watts 3.6v Li-Ion",NA,"NVB115W-GB",0.833333333333333
"454071","Black & Decker Dustbuster Cordless Bagless HandVacuum Wet and Dry Lithium Ion 7.2V","Black & Decker","Handheld Vacuum Cleaners",NA,"7.2v",NA,"WDB215WA-GB",0.833333333333333
"454072","Black & Decker Stick Vac 2 in 1 28.8wh EPP 14.4V","Black & Decker","Vacuum Cleaners","Grey","14.4V Lithium Ion",NA,"SVA420B-GB",0.891666666666667
"454073","Black & Decker Steam Mop 1300W","Black & Decker","Steam Cleaning",NA,NA,NA,NA,0.833333333333333
"454074","Black & Decker Steam Mop 7 in 1 Gen 1300W andAccessories","Black & Decker","Steam Cleaning",NA,NA,NA,NA,0.775
"454075","Black & Decker SteaMitt Glove Accessory Pack","Black & Decker","Steam Cleaning",NA,NA,NA,NA,0.883333333333333
"454076","Black and Decker SteaMitt Replacement Pads 2pk","Black & Decker","Steam Cleaning",NA,NA,NA,NA,0.783333333333333
"454077","Black & Decker Steam Mop Replacement Pads 2pk","Black & Decker","Steam Cleaning ",NA,NA,NA,NA,0.833333333333333
"453878","Hoover Whirlwind Bagless Upright Vacuum Cleaner750w WR71WR01","Hoover","Vacuum Cleaners",NA,"750w",NA,"39100460",0.833333333333333
"453884","Hoover Whirlwind Bagless Cylinder Vacuum Cleaner700w SE71WR01","Hoover","Vacuum Cleaners",NA,"700w",NA,"SE71WR01",0.833333333333333
"453889","Hoover Free Motion Cordless 2 in 1 Vacuum CleanerBagless 14.4V","Hoover","Vacuum Cleaners",NA,"14.4V NiMH","110 x 28.5 x 16.5 cm (H x W x D)","FM144B2",0.891666666666667
"454750","Hoover Capture Bagged Compact Cylinder VacuumCleaner 700w BV71CP10","Hoover","Vacuum Cleaners",NA,"700w",NA,"BV71CP10",0.833333333333333
"417186","Prolectrix 2 in 1 Swift Vacuum Cleaner 600wEF0247WK0","PROlectrix","Vacuum Cleaners",NA,"600W",NA,"EF0247WK0",0.883333333333333
"436775","Prolectrix Triangular Steam Cleaner EF0248WK","PROlectrix","Steam Cleaning","Orange",NA,NA,NA,0.941666666666667
"169287","Wilko Panasonic Vacuum Cleaner Bags 5pk","Wilko","Vacuum Bags","Brown",NA,"5 Pack",NA,0.883333333333333
"169288","Wilko Vax Vacuum Cleaner Bags 4pk","Wilko","Vacuum Bags","Brown",NA,"4 Pack","Code 11",0.941666666666667
"169291","Wilko Electrolux or Zanussi Vacuum Cleaner Bags5pk","Wilko","Vacuum Bags","Brown",NA,"5 Pack","Code 3",0.941666666666667
"169295","Wilko Panasonic on Samsung  Vacuum Cleaner Bags5pk","Wilko","Vacuum Bags","Brown",NA,"5 Pack",NA,0.883333333333333
"169296","Wilko Hoover Vacuum Cleaner Bags 5pk","Wilko","Vacuum Bags","Brown",NA,NA,"Code 15",0.883333333333333
"174869","Wilko Henry Vacuum Cleaner Bags for Henry 5pk","Wilko","Vacuum Bags",NA,NA,NA,NA,0.766666666666667
"199036","Wilko  Electrolux Vacuum Cleaner Bags 5pk","Wilko","Vacuum Bags","Brown",NA,"5 Pack",NA,0.883333333333333
"296407","Wilko  Electrolun and Hoover Vacuum Cleaner Bags5pk","Wilko","Vacuum Bags","Brown",NA,"16.5x18.5cm",NA,0.883333333333333
"296408","Wilko Universal Vacuum Cleaner Bags 3pk","Wilko","Vacuum Bags","Brown",NA,"3 Pack",NA,0.883333333333333
"296430","Wilko Cleaning Vacuum Lemon Scent Sticks 5pk","Wilko","Vacuum Spares and Accessories","Yellow",NA,NA,NA,0.825
"329082","Wilko Miele Vacuum Cleaner Bags 5pk","Wilko","Vacuum Bags","Brown",NA,NA,NA,0.825
