"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Washable","Age","Size","Material","DQ Score"
"305678","Wilko Dress Up Doll","Wilko","Dolls","Multi",NA,"1","Do Not Wash","3 Years +",NA,NA,0.95
"320670","Wilko Baby Doll Nappies 5pk","Wilko","Doll Accessories","White",NA,"5","Do Not Wash","3 Years +",NA,NA,0.95
"320671","Wilko Baby Doll Outfits 4pk","Wilko","Doll Accessories","Multi",NA,"4","Do Not Wash","3 Years +",NA,NA,0.95
"320673","Wilko Newborn Changing Bag","Wilko","Doll Accessories","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"335998","Wilko Let's Pretend Princess Doll Assortment","Wilko","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"336012","Wilko Time For Tea Doll","Wilko","Dolls","Multi",NA,"1","Do Not Wash","3 Years +",NA,NA,0.95
"350590","Wilko Baby Doll Carrier","Wilko","Doll Accessories","Multi",NA,"1","Hand Wash Only","3 Years +",NA,NA,0.95
"417311","Wilko Play Princess Doll and Horse with GroomingAccessories","Wilko","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"417312","Wilko Play Princess Dolls 5pk Assortment","Wilko","Dolls","Multi",NA,"5",NA,"3 Years +",NA,NA,0.9
"417383","Wilko Story Tales Knitted Gingerbread Man Doll","Wilko","Dolls","Multi",NA,"1",NA,"From Birth",NA,NA,0.9
"417385","Wilko Story Tales Goldilocks Rag Doll","Wilko","Dolls","Multi",NA,"1",NA,"From Birth",NA,NA,0.9
"417386","Wilko Storytales Red Riding Hood Ragdoll","Wilko","Dolls","Multi",NA,"1",NA,"From Birth",NA,NA,0.9
"419463","Wilko Let's Cuddle Doll","Wilko","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"419487","Wilko Play Mobile Home with Accessories","Wilko","Figure Playsets","Multi","2x AAA Batteries Included","1",NA,"3 Years +",NA,NA,0.95
"419488","Wilko Play Doll Pushchair","Wilko","Doll Accessories","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"438453","Wilko Set of 10 Mini Dolls","Wilko","Dolls","Multi",NA,"10",NA,"3 Years +",NA,NA,0.9
"438559","Wilko Play Hairdressing Kit","Wilko","Play Dress Up","Multi",NA,"1",NA,NA,NA,NA,0.93
"438560","Wilko Feeding Time Baby Doll Boxed","Wilko","Dolls","Multi",NA,"1",NA,"2 Years +",NA,NA,0.9
"438660","Wilko Baby Bath Time Set","Wilko","Doll Accessories","Multi",NA,"1",NA,"2+ Years",NA,NA,0.9
"438662","Wilko Potty And Bottle Set","Wilko","Doll Accessories","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"438663","Wilko Twin Dolls","Wilko","Dolls","Multi",NA,"1",NA,"2 Years +",NA,NA,0.9
"438664","Wilko Milk and Juice Magic Feeding Bottles","Wilko","Doll Accessories","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"456223","Wilko Magic Bottle with Feeding Set","Wilko","Doll Accessories","Multi",NA,"1",NA,"2 Years +",NA,NA,0.9
"456224","Wilko Splash About Baby Doll","Wilko","Dolls","Multi",NA,"1",NA,"18 Months +",NA,NA,0.9
"456471","Wilko Doll Bed, High Chair and Swing Set","Wilko","Doll Accessories","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"456474","Wilko Baby Accessories with Bag 50pcs","Wilko","Doll Accessories","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"456503","Wilko Dolls Fashion Outfit Single","Wilko","Doll Accessories","Multi",NA,"1","Hand Wash Only","3 Years +",NA,NA,0.95
"456504","Wilko Dolls Fashion Outfit Set","Wilko","Doll Accessories","Multi",NA,"4","Hand Wash Only","3 Years +",NA,NA,0.95
"456532","Wilko Royal Breeds Equestrian Challenge","Wilko","Figure Playsets","Multi",NA,"1",NA,"3 Years +",NA,NA,0.941666666666667
"456533","Wilko Royal Breeds Build a Stable","Wilko","Figure Playsets","Multi",NA,"1",NA,"3 Years +",NA,NA,0.941666666666667
"456534","Wilko Royal Breeds Pretty Grooming Assorted","Wilko","Figure Playsets","Multi",NA,"1",NA,"3 Years +",NA,NA,0.941666666666667
"456607","Wilko Single Doll Outfit","Wilko","Doll Accessories","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"456608","Wilko Talking Softie Baby Doll","Wilko","Dolls","Multi",NA,"1","Do Not Wash","12 Months +",NA,NA,0.95
"456609","Wilko Potty Time Doll","Wilko","Dolls","Multi",NA,"1","Do Not Wash","3 Years +",NA,NA,0.95
"456611","Wilko Princess Styling Head","Wilko","Dolls","Multi",NA,"1","Do Not Wash","3 Years +",NA,NA,0.95
