"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"335077","Rosewood Dog Bed Cushion Reversable and AssortedColours 46 x 33cm","Rosewood","Bed Cushions","Multi","1",NA,"46cmx33m",NA,1
"335078","Rosewood Dog Bed Cushion Reversable and AssortedColours 61 x 39cm","Rosewood","Bed Cushions","Multi","1",NA,"61cmx39cmx6cm",NA,1
"420141","Rosewood Dog Bed Cord Plush Pet Bed 20in","Rosewood","Soft Beds","Multi","1",NA,"21 x 64 x 30cm",NA,1
"420142","Rosewood Dog Bed Cord Plush Pet Bed 25in","Rosewood","Soft Beds","Multi","1",NA,"25 x 72 x 36cm",NA,1
"420143","Rosewood Dog Bed Cord Plush Pet Bed 32in","Rosewood","Soft Beds","Multi","1",NA,"28 x 84 x cm",NA,1
"190153","Wilko Dog Blanket  Fleece Assorted Colours 120 x120cm","Wilko","Pet Blanket","Multi","1",NA,"120x120cm",NA,1
"324888","Wilko Fitted Sheet Single White","Wilko","Single Fitted Sheet","White","1","Washable","Single","52% Polyester, 48% Cotton",1
"324891","Wilko Valance Single White 90 x 190cm","Wilko","Single Valance","White","1","Washable","Single","52% Polyester, 48% Cotton",1
"324893","Wilko Valance King Size White 150 x 200cm","Wilko","Kingsize Valance","White","1","Washable","Kingsize","52% Polyester, 48% Cotton",1
"324894","Wilko Housewife Pillowcase White 2pk","Wilko","Housewife Pillowcase","White","2pk","Washable","75x50cm","52% Polyester, 48% Cotton",1
"324895","Wilko Fitted Sheet Single Cream","Wilko","Single Fitted Sheet","Cream","1","Washable","Single","52% Polyester, 48% Cotton",1
"324896","Wilko Fitted Sheet Double Cream","Wilko","Double Fitted Sheet","Cream","1","Washable","Double","52% Polyester, 48% Cotton",1
"324897","Wilko Fitted Sheet King Size Cream","Wilko","Kingsize Fitted Sheet","Cream","1","Washable","Kingsize","52% Polyester, 48% Cotton",1
"324898","Wilko Valance Cream Single 90x190cm","Wilko","Single Valance","Cream","1","Washable","Single","52% Polyester, 48% Cotton",1
"324900","Wilko Valance Cream King 150x200cm","Wilko","Kingsize Valance","Cream","1","Washable","Kingsize","52% Polyester, 48% Cotton",1
"324901","Wilko Housewife Pillowcase Cream 2pk","Wilko","Housewife Pillowcase","Cream","2pk","Washable","75x50cm","52% Polyester, 48% Cotton",1
"324902","Wilko Fitted Sheet Single White","Wilko","Single Fitted Sheet","White","1","Washable","Single","100% Cotton",1
"324903","Wilko Fitted Sheet Double White","Wilko","Double Fitted Sheet","White","1","Washable","W 140 x H 190 x L 35cm","100% Cotton",1
"324904","Wilko Fitted Sheet King Size White","Wilko","Kingsize Fitted Sheet","White","1","Washable","Kingsize","100% Cotton",1
"324907","Wilko Valance King Size White","Wilko","Kingsize Valance","White","1","Washable","Kingsize","100% Cotton",1
"324909","Wilko Oxford Pillowcases White 2pk","Wilko","Oxford Pillowcase","White","2pk","Washable","75x50cm","100% Cotton",1
"324919","Wilko Fitted Sheet Double Parchment","Wilko","Double Fitted Sheet","Brown","1","Washable","Double","100% Cotton",1
"324922","Wilko Valance Cream Double","Wilko","Double Valance","Brown","1","Washable","Double","100% Cotton",1
"324923","Wilko Valance King Size Parchment","Wilko","Kingsize Valance","Brown","1","Washable","Kingsize","100% Cotton",1
"324924","Wilko Housewife Pillowcase Parchment 2pk","Wilko","Housewife Pillowcase","Brown","2pk","Washable","75x50cm","100% Cotton",1
"324925","Wilko Oxford Pillowcases Parchment 2pk","Wilko","Oxford Pillowcase","Brown","2pk","Washable","75x50cm","100% Cotton",1
"325399","Wilko Fitted Sheet Single Taupe","Wilko","Single Fitted Sheet","Orange","1","Washable","Single","100% Cotton",1
"325401","Wilko Fitted Sheet King Size Taupe","Wilko","Kingsize Fitted Sheet","Orange","1","Washable","Kingsize","100% Cotton",1
"325402","Wilko Valance  Single Taupe","Wilko","Single Valance","Orange","1","Washable","Single","100% Cotton",1
"325403","Wilko Valance Double Taupe","Wilko","Double Valance","Orange","1","Washable","Double","100% Cotton",1
