"Article","Web Description","Brand","Type","Colour","Size","Material","DQ Score"
"311491","Wilko Jumbo Cushion Red 55 x 55cm","Wilko","Plain Cushion","Red","55x55cm","90% Polyester, 10% Polyamide",1
"325473","Wilko Floral Cushion Red 43 x 43cm","Wilko","Patterned Cushion","Red","43x43cm","100% Cotton",1
"325498","Wilko Faux Mongolian Red 43 x 43cm","Wilko","Mongolian Cushion","Red","43x43cm","100% Polyester",1
"446912","Wilko Ceramic Blossom Vase","Wilko","Vases","White","22.5 x 9 x 9cm","Dolomite",1
"447228","Wilko Red Floral Canvas 48 x 48cm","Wilko","Wall Art","Multi","48 x 48 x 1.8cm","Canvas",1
"455447","Wilko Dhalia in Glass Bottle","Wilko","Vase with Flower","Red","15 x 10 x 38 cms","POLYESTER WIRE GLASS",1
