"Article","Web Description","Brand","Type","DQ Score"
"225215","Air Wick Colours of Nature Freshmatic RefillPurple Lavender Meadow 250ml","Air Wick","Refills",1
"258375","Air Wick Freshmatic Max Refill Touch of LuxurySmooth Satin and Moon Lily","Air Wick","Refills",1
"426232","Air Wick Freshmatic Max Air Freshener Refill CrispLinen 2 Pack","Air Wick","Refills",1
"429193","Air Wick Air Freshener Freshmatic Max Refill PinkSweet Pea","Air Wick","Refills",1
"431657","Air Wick Pure Freshmatic Compact RefillPurple Lavender 24ml","Air Wick","Refills",1
"431659","Air Wick Pure Freshmatic Compact Refill CherryBlossom 24ml","Air Wick","Refills",1
"431661","Air Wick Pure Freshmatic Compact Refill SpringDelight 24ml","Air Wick","Refills",1
"431663","Air Wick Pure Freshmatic Compact Air Freshener KitSpring Delight","Air Wick","Units",1
"443577","Air Wick Freshmatic Single Refill Mulled Wine250ml","Air Wick","Refills",1
"450609","Air Wick Fresh Matic Max Pure Refill Cherry","Air Wick","Refills",1
"450610","Air Wick Fresh Matic Max Pure Refill Spring","Air Wick","Refills",1
"450611","Air Wick Fresh Matic Max Pure Refill Med Sun","Air Wick","Refills",1
"450612","Air Wick Fresh Matic Complete Max Pure Cherry","Air Wick","Units",1
"450613","Air Wick Fresh Matic Complete Max Pure Spring","Air Wick","Units",1
"450622","Air Wick Fresh Matic Max Twin Refill Lavender","Air Wick","Refills",1
"269928","Glade Sense and Spray Automatic Unit with RefillClean Linen 18ml","Glade","Units",1
"269930","Glade Sense and Spray Refill CleanLinen 18ml","Glade","Refills",1
"283161","Glade Sense and Spray Automatic Spray Refill BaliSandalwood and Jasmine 18ml","Glade","Refills",1
"450225","Glade Autospray Refill Hawaiian Breeze","Glade","Refills",1
