"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","DQ Score"
"298254","Acctim Mini Flip LCD Alarm Clock Silver","Acctim","Alarm Clock","Silver","Battery",NA,"Single",0.941666666666667
"453209","Acctim Aura LCD Alarm Clock","Acctim","Alarm Clock",NA,NA,"1",NA,0.825
"453210","Acctim Lunz Wall/Table Clock","Acctim","Wall Clock",NA,NA,"1",NA,0.825
"453155","Jones Darwin Clock 30cm","Jones","Wall Clock",NA,NA,"1",NA,0.825
"453156","Jones The Teapot Clock","Jones","Wall Clock",NA,NA,"1",NA,0.825
"453157","Jones Alarm Clock","Jones","Alarm Clock",NA,NA,"1",NA,0.825
"310761","Wilko Retro Wall Clock Cream","Wilko","Clocks","Cream","Battery","1",NA,0.941666666666667
"341277","Wilko Station Clock Cream","Wilko","Wall Clock","Cream",NA,"1","6.5 x 51.8 x 52.8cm",0.941666666666667
"341278","Wilko Giant Station Clock Black","Wilko","Wall Clock","Black",NA,"1","6.5 x 51.8 x 52.8cm",0.941666666666667
"406819","Wilko Leather Handle Wall Clock","Wilko","Wall Clock",NA,NA,"1",NA,0.825
"427023","Wilko Square Alarm Clock Cream","Wilko","Alarm Clock",NA,NA,NA,NA,0.766666666666667
"427148","Wilko Bell Alarm Clock Silver","Wilko","Alarm Clock",NA,NA,NA,NA,0.766666666666667
"452427","Wilko Station Clock Giant Red","Wilko","Wall Clock",NA,NA,"1","Dia: 47.8cm x Depth: 5.5cm",0.883333333333333
"452428","Wilko Station Clock Giant Grey","Wilko","Wall Clock",NA,NA,"1","Dia: 47.8cm x Depth: 5.5cm",0.883333333333333
"452620","Wilko Silver Classic Wall Clock","Wilko","Wall Clock",NA,NA,NA,NA,0.766666666666667
"452621","Wilko Classic Wall Clock Copper Effect","Wilko","Wall Clock",NA,NA,NA,NA,0.766666666666667
"452622","Wilko Retro Wall Clock Grey","Wilko","Wall Clock",NA,NA,NA,NA,0.766666666666667
"452623","Wilko Retro Wall Clock Red","Wilko","Wall Clock",NA,NA,NA,NA,0.766666666666667
"452624","Wilko Radio Controlled Alarm Clock","Wilko","Alarm Clock",NA,NA,NA,NA,0.766666666666667
"452625","Wilko Radio Controlled Wall Clock","Wilko","Wall Clock",NA,NA,"1",NA,0.825
"452626","Wilko MDF Slogan Clock","Wilko","Wall Clock",NA,NA,NA,NA,0.766666666666667
"452627","Wilko Bell Alarm Clock Copper Effect","Wilko","Alarm Clock",NA,NA,"1",NA,0.825
"287986","Wilko Functional Round Wall Clock","Wilko Functional","Wall Clock","White","Battery",NA,"Single",0.941666666666667
"287987","Wilko Round Wall Clock Black","Wilko Functional","Wall Clock",NA,"Battery","1","22cm",0.891666666666667
