"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","DQ Score"
"1242","Wilko Non-Stick 4 Cup Yorkshire Pudding Tin","Wilko","Baking Trays","1","4 Cup","Silver",1
"124825","Wilko Kitchen Non-Stick Deep Muffin Tin 12 Cup","Wilko","Cake Tins","1","35.4x27x3cm","Grey",1
"254135","Wilko Non-Stick Pizza Platter 33cm","Wilko","Baking Trays","1","31cm","Silver",1
"254137","Wilko Non-Stick Loaf Tin 900g/2lb","Wilko","Loaf Tins","1","900g","Silver",1
"351463","Wilko Loaf Pan 1lb","Wilko","Loaf Tins","1","1lb","Metal",1
"352654","Wilko Deep Square Cake Tin","Wilko","Cake Tins","1","Square","Metal",1
"352660","Wilko Loose Base Deep Cake Tin 8in","Wilko","Cake Tins","1","21.5x21.5cm","Metal",1
"52637","Wilko Roaster 35 x 26cm","Wilko","Roaster","1","33x26cm","Grey",1
"60600","Wilko Cake Tin Non-Stick Deep 20cm","Wilko","Cake Tins","1","20cm","Grey",1
"60602","Wilko Sandwich Tin 19cm","Wilko","Cake Tins","1","19cm","Grey",1
"60606","Wilko Kitchen Non-Stick Roaster 25 x 20cm","Wilko","Roaster","1","28x22cm","Grey",1
"880740","Wilko Kitchen Non-Stick Sandwich Tin Square  19 x19 x 3.6cm","Wilko","Cake Tins","1","21cm","Grey",1
"882040","Wilko Kitchen Non-Stick Sandwich Tin Deep Round19.5 x 3.5cm","Wilko","Cake Tins","1","19.5cm","Grey",1
"883940","Wilko Oven Tray 36 x 25cm","Wilko","Baking Trays","1","36x25cm","Grey",1
"888440","Wilko Wire Cooling Rack 43 x 27cm","Wilko","Cooling Trays","1","43x27cm","Grey",1
"916540","Wilko 12 Cup Non-Stick Bun Sheet 32 x 24cm","Wilko","Cake Tins","1","32x24cm","Grey",1
"305187","Wilko Best Roasting Tin 26 x 20 x 5cm","Wilko Best","Roaster","1","26x20cm","Metal",1
"305188","Wilko Best Roasting Tin 35 x 25 x 6cm","Wilko Best","Roaster","1","35x23cmx6cm","Metal",1
"305190","Wilko Best Baking Tray 28.5 x 27.4cm","Wilko Best","Baking Trays","1","39.5x27cm","Metal",1
"305191","Wilko Best Cake Tin Square 24 x 24 x 5cm","Wilko Best","Cake Tins","1","24x24cm","Metal",1
"318461","Wilko Best Cake Tin 22.7 x 7cm","Wilko Best","Cake Tins","1","9in","Metal",1
