"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"418559","Harris No Loss Evolution Paint Brush 0.5in","Harris","Emulsion and Gloss Brushes",NA,NA,"1",NA,0.825
"418560","Harris No Loss Evolution Paint Brush 1in","Harris","Emulsion and Gloss Brushes",NA,NA,"1",NA,0.825
"418562","Harris No Loss Evolution Paint Brush 1.5in","Harris","Emulsion and Gloss Brushes",NA,NA,"1",NA,0.825
"418563","Harris No Loss Evolution Paint Brush 2in","Harris","Emulsion and Gloss Brushes",NA,NA,"1",NA,0.825
"418564","Harris No Loss Evolution Paint Brush 3in","Harris","Emulsion and Gloss Brushes",NA,NA,"1",NA,0.825
"418565","Harris No Loss Evolution Paint Brush 4in","Harris","Emulsion and Gloss Brushes",NA,NA,"1",NA,0.825
"418566","Harris No Loss Evolution Paint Brush Set 3pcs","Harris","Emulsion and Gloss Brushes",NA,NA,"3",NA,0.825
"418567","Harris No Loss Evolution Paint Brush Set 5 Piece","Harris","Emulsion and Gloss Brushes",NA,NA,"5",NA,0.825
"419392","Harris Powercoat Roller Sleeve and Extension Pole9in","Harris",NA,NA,NA,NA,"9in",0.766666666666667
"419393","Harris Powercoat Roller Set 9in","Harris","Rollers and Sleeves",NA,NA,NA,"9in",0.825
"419394","Harris Powercoat Replacement Roller Sleeve 9in","Harris","Rollers and Sleeves",NA,NA,NA,"9in",0.825
"419395","Harris Powercoat Jumbo Mini Roller Set 4in","Harris","Rollers and Sleeves",NA,NA,NA,"4in",0.825
"419396","Harris Powercoat Jumbo Mini Replacement Sleeves","Harris","Rollers and Sleeves",NA,NA,NA,NA,0.766666666666667
"445633","Harris Taskmaster Decorating Set 10pcs","Harris","Decorating Set",NA,"Black","10pk",NA,0.883333333333333
"453054","Harris Masonry Roller Extendable Pole 9in","Harris","Extending Pole Roller",NA,NA,"1","9in Roller Frame and Sleeve, 1-2m Extension Pole",0.883333333333333
"287949","Wilko Artist Brush x 5","Wilko","Artist Brushes",NA,NA,"5","5 Pack",0.93
"287950","Wilko General Purpose Paintbrush Set 2pcs","Wilko","Emulsion and Gloss Brushes",NA,NA,"2pk","2 Pack",0.883333333333333
"288309","Wilko Comfy Grip Shed/Fence Block Brush","Wilko","Timber Brushes",NA,"Multi","1","130mm",0.941666666666667
"288311","Wilko Flat Timbercare Brush 4in","Wilko","Timber Brushes",NA,NA,NA,"100mm",0.825
"288318","Wilko Mini Paint Container Capacity 800ml","Wilko","Painting Tools",NA,NA,NA,"0.8L",0.825
"343090","Wilko Roller and Tray 9in","Wilko","Rollers and Sleeves",NA,NA,"1","9in",0.883333333333333
"343094","Wilko Roller Kit 4in","Wilko","Rollers and Sleeves",NA,NA,NA,"4in",0.825
"343098","Wilko Masonry Kit","Wilko","Masonry Brushes",NA,"Multi","1","9in",0.941666666666667
"343104","Wilko Stick Roller Frame 4in","Wilko","Rollers and Sleeves",NA,"Multi","1","4in",0.941666666666667
"343108","Wilko Long Armstick Roller Frame 4in","Wilko","Rollers and Sleeves",NA,NA,NA,"4in",0.825
"343110","Wilko Smooth Sleeve 9in","Wilko","Rollers and Sleeves",NA,NA,"1","9in",0.883333333333333
"343111","Wilko Rough Sleeve 9in","Wilko","Rollers and Sleeves",NA,NA,"1","9in",0.883333333333333
"343127","Wilko Extending Pole 1-2m","Wilko","Extending Poles",NA,"Multi","1","2m",0.941666666666667
"343129","Wilko Paint Tray 9in","Wilko","Paint Trays",NA,NA,NA,"9in",0.825
"343158","Wilko Scuttle Capacity 15L","Wilko","Painting Tools",NA,NA,NA,"15L",0.825
"343163","Wilko Woodcare Brush 2in","Wilko","Woodstain and Varnish Brushes",NA,NA,NA,"2in",0.825
"343164","Wilko Brush 0.5in","Wilko","Emulsion and Gloss Brushes",NA,NA,"1","0.5in",0.883333333333333
"343165","Wilko Brush 1in","Wilko","Emulsion and Gloss Brushes",NA,NA,"1","1in",0.883333333333333
"343166","Wilko Brush 1.5in","Wilko","Emulsion and Gloss Brushes",NA,NA,NA,"1.5in",0.825
"343167","Wilko Brush 2in","Wilko","Emulsion and Gloss Brushes",NA,NA,NA,"2in",0.825
"343168","Wilko Brush 3in","Wilko","Emulsion and Gloss Brushes",NA,NA,NA,"3in",0.825
"343169","Wilko Brush 4in","Wilko","Emulsion and Gloss Brushes",NA,NA,NA,"4in",0.825
"343170","Wilko Angled Brush 1in","Wilko","Angled Brushes",NA,NA,NA,"1in",0.825
"343172","Wilko Brush Set 3pk","Wilko","Emulsion and Gloss Brushes",NA,NA,"3pk",NA,0.825
"343173","Wilko Brush Set 5pk","Wilko","Emulsion and Gloss Brushes",NA,NA,"5pk","5 Pack",0.883333333333333
"343174","Wilko Nook And Cranny Brush 1in","Wilko","Nook & Cranny Brush",NA,NA,NA,"1in",0.825
"343301","Wilko Paint Shield","Wilko","Painting Tools",NA,"Red","1","1 Pack",0.941666666666667
"344319","Wilko Masonry Sleeve 9in","Wilko","Masonry Brushes",NA,NA,NA,"9in",0.825
"344323","Wilko Emulsion Rollers 4in 2pk","Wilko","Rollers and Sleeves",NA,NA,"2pk","4in",0.883333333333333
"344909","Wilko Paint Pad Set","Wilko","Paint Pads and Handles",NA,NA,"1","3 Pack",0.883333333333333
"344912","Wilko Paint Pad Large","Wilko","Paint Pads and Handles",NA,NA,"1","Large",0.883333333333333
"344913","Wilko Paint Pad with Handle Large","Wilko","Paint Pads and Handles",NA,NA,"1","Large",0.883333333333333
"428430","Wilko Brush Set 10pk","Wilko","10 Pack Brush Set",NA,NA,"10pk",NA,0.825
"449578","Wilko Shed and Fence Kit","Wilko","Shed and Fence Kit",NA,"Multi","5pk","Assorted",0.941666666666667
"450631","Wilko Paint Roller Sleeve Smooth Finish Emulsion 9in 3pk","Wilko","Roller Sleeves","N/A",NA,"3pk","9in Roller Sleeve",0.941666666666667
"450632","Wilko Paint Roller Extendable Pole 9in","Wilko","Extending Pole Roller","N/A",NA,"1","1 to 2m Pole 9in Frame/Sleeve",0.941666666666667
"450633","Wilko Paint Roller Kit Small Spaces 6 Piece","Wilko","Decorating Kit","N/A",NA,"6pcs","7in Tray; 4in Roller Set",0.941666666666667
"453797","Wilko Complete Decorating Kit 10 Piece","Wilko","10 Piece Decorating Kit",NA,"Multi","10pcs",NA,0.883333333333333
"453798","Wilko Time Saver Kit 9in","Wilko","9 Inch Roller Kit",NA,"Multi","3pcs","9in",0.941666666666667
"453799","Wilko Time Saver Roller Sleeve 9in","Wilko","9 Inch Roller Kit",NA,"Multi","1pk","9in",0.941666666666667
"453800","Wilko Shed and Fence Roller Sleeve 4in","Wilko","Shed and Fence Roller Kit",NA,"Green","1pk","4in",0.941666666666667
"454518","Wilko Furniture Paint Stubby Brush","Wilko","Furniture Brush",NA,NA,"1pk","1.5cm x 5cm x 17.5cm",0.883333333333333
"454519","Wilko Furniture Paint Brush 1.5in","Wilko","Furniture Brush",NA,NA,"1pk","1.5cm x 4cm x 23cm",0.883333333333333
"454520","Wilko Smooth Finish Roller Kit 7in","Wilko","7 Inch Roller Kit",NA,"Multi","3pcs","7in tray, 7in roller frame, 7in microfibre sleeve",0.941666666666667
"454734","Wilko Mini Touch Up Kit","Wilko","Roller Kit",NA,NA,"1pk",NA,0.825
"455053","Wilko Furniture Painting Kit","Wilko","Furniture Brush Kit",NA,NA,"3pk",NA,0.825
"343137","Wilko Best Brush Set 3pk","Wilko Best","Emulsion and Gloss Brushes",NA,NA,"3pk","3 Pack",0.883333333333333
"343138","Wilko Best Brush Set 5pk","Wilko Best","Emulsion and Gloss Brushes",NA,NA,"5pk","5 Pack",0.883333333333333
"287944","Wilko Functional Paintbrush 100mm/4in","Wilko Functional","Emulsion and Gloss Brushes",NA,NA,NA,"100mm, 4in",0.825
"343081","Wilko Functional Block Brush","Wilko Functional","Timber Brushes",NA,"Black","1","3x12cm",0.941666666666667
"343159","Wilko Func. Roller Tray Set 9In","Wilko Functional","Rollers and Sleeves",NA,"Black",NA,"9in",0.833333333333333
"343160","Wilko Functional Brush Set 5pk","Wilko Functional","Emulsion and Gloss Brushes",NA,NA,"5pk","5 Pack",0.883333333333333
"343161","Wilko Functional Brush Set 3pk","Wilko Functional","Emulsion and Gloss Brushes",NA,NA,"3pk","3 Pack",0.883333333333333
"343187","Wilko Functional Mini Roller and Tray 4in","Wilko Functional","Rollers and Sleeves",NA,"Black",NA,"4in",0.883333333333333
