"Article","Web Description","Brand","Type","Colour","Size","Material","DQ Score"
"325468","Wilko Jumbo Cushion Dark Teal 55 x 55cm","Wilko","Plain Cushion","Green","55x55cm","100% Polyester",1
"325499","Wilko Faux Mongolian Cushion Natural 43 x 43cm","Wilko","Mongolian Cushion","Cream","43x43cm","100% Polyester",1
"341083","Wilko Scented Pillar Candle Cotton 6 x 9.5cm","Wilko","Pillar Candle","Blue","6x9.5cm","Wax, wick, fragrance",1
"341085","Wilko Scented Pillar Candle Cotton 7 x 14.50cm","Wilko","Pillar Candle","Blue","7x14.5cm","Wax, wick, fragrance",1
"447081","Wilko Cork Board","Wilko","Message Boards","Cream","42 x 30 x 2cm","MDF/Cork",1
"447151","Wilko Ceramic 3D Flower Vase","Wilko","Vases","Green","20 x 11.4 x 11.4cm","Stoneware",1
"447154","Wilko Set of 3 3D Flower Bud Vase","Wilko","Ornaments","Multi","9 x 8 x 8cm","Stoneware",1
"447254","Wilko Peonies Canvas 60 x 90cm","Wilko","Wall Art","Multi","60 x 90 x 2.5cm","Canvas",1
"447262","Wilko Blossom Canvas 60 x 90cm","Wilko","Wall Art","Multi","60 x 90 x 2.5cm","Canvas",1
