"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"451466","Paw Patrol Pink Fleece Blanket 100 x 150cm","Character","Kids Throws",NA,"1","Wash at 30","100 x 150cm","Polyester",0.9
"451467","Pokemon Fleece Blanket 100 x 150cm","Character","Kids Throws",NA,"1","Wash at 30","100 x 150cm","Polyester",0.9
"451468","Trolls Fleece Blanket 100 x 150cm","Character","Kids Throws",NA,"1","Wash at 30","100 x 150cm","Polyester",0.9
"451469","My Little Pony Fleece Blanket 100 x 150cm","Character","Kids Throws",NA,"1","Wash at 30","100 x 150cm","Polyester",0.9
"420596","Marvel Comics Fleece Blanket 120 x 150cm","Marvel","Kids Throws",NA,"1",NA,"120CMX150CM",NA,0.85
"420597","Marvel Comics Cushion 40x40cm","Marvel","Kids Cushions",NA,"1",NA,"40CMX40CM",NA,0.85
"451235","Emoji Embroided Poop Cushion","Other","Kids Cushions",NA,"1","Spot Clean Only","35 x 35cm","Polyester",0.9
"426633","Star Wars Cushion","Star Wars","Kids Cushions",NA,"1","Wipe Clean Only","37cm high x 34cm wide x 8cm deep","100% Polyester",0.95
"340703","Wilko Snuggle Throw Duck Egg Blue 100 x 150cm","Wilko","Kids Throws","Blue",NA,NA,"100 x 150cm",NA,0.85
"341201","Wilko Snuggle Throw Blue 100 x 150cm","Wilko","Kids Throws","Blue",NA,NA,"100 x 150cm","100% Polyester",0.9
"341572","Wilko Snuggle Throw Red 100 x 150cm","Wilko","Kids Throws","Red",NA,NA,"100 x 150cm",NA,0.85
"410454","Wilko Snuggle Throw Lilac 100 x 150cm","Wilko","Kids Throws","Purple","1",NA,"100 x 150cm",NA,0.9
"432850","Wilko Fleece Throw Blue Stars 125 x 150cm","Wilko","Throws",NA,"1",NA,"125 x 150cm","100% POLYESTER",0.9
"432857","Wilko Fleece Pink Flowers 125 x 150cm","Wilko","Throws",NA,"1",NA,"125 x 150cm","100% POLYESTER",0.9
