"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"199744","Kingfisher Gardening Micro Irrigation Kit","Kingfisher","Irrigation System",NA,"20m",1
"304228","Wilko Garden Hose Heavy Duty 15m","Wilko","Hosepipes",NA,"15m",1
"310567","Wilko Sprayer Trigger Teal/Green 550ml","Wilko","Spray Guns",NA,"550ml",1
"447642","Wilko Hose Carrier","Wilko","Hosepipe Carrier",NA,"40.5 x 20 x 2.5cm",1
"7193240","Wilko Functional Trigger Sprayer 960ml","Wilko","Spray Guns",NA,"960ml",1
"313396","Wilko Functional Garden Watering Can Green 6L","Wilko Functional","Watering Cans","Green","6L",1
