"Article","Web Description","DQ Score"
"457169","Farleys Strawberry and Peach Biscotti",0.76
"457170","Heinz Strawberry and Banana Biscotti",0.81
"457171","Heinz Eat Play Peach and Apricot Biscuits",0.81
"457172","Heinz Eat Play Strawberry and Peach Biscuits",0.81
"450059","Cupcake Lunch Bag",0.55
"450060","Polar Gear Owl Lunch Bag",0.9
"450061","Cars 3 Lunch Bag",0.85
"450062","Skull Lunch Bag",0.55
