"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"343875","Wilko Oval Plaque Ivory Small","Wilko","House Plaques","Cream",NA,"Small",NA,0.883333333333333
"343881","Wilko Oval Plaque Gloss Black Small","Wilko","House Plaques","Black",NA,"Small",NA,0.883333333333333
"343907","Wilko Oval Plaque Ivory Medium","Wilko","House Plaques","Cream","1","Medium",NA,0.941666666666667
"343940","Wilko Oval Plaque Black Gloss Medium","Wilko","House Plaques","Black",NA,"Medium",NA,0.883333333333333
"343942","Wilko Oval Plaque Frosted Small","Wilko","House Plaques",NA,NA,"Small",NA,0.825
"343943","Wilko Rectangle Plaque Frosted Small","Wilko","House Plaques",NA,NA,"Small",NA,0.825
"344027","Wilko Brass Letter Plate 10in","Wilko","Letter Box",NA,NA,"10in",NA,0.825
"344030","Wilko Letter Plate Chrome 10in","Wilko","Letter Box",NA,NA,"10in",NA,0.825
"344031","Wilko Number 2 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,0.825
"344032","Wilko Number 3 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,0.825
"344033","Wilko Number 4 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,0.825
"344034","Wilko Number 5 Chrome","Wilko","Chrome Numbers",NA,NA,"8cmx4cm",NA,0.825
"344035","Wilko Number 6/9 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,0.825
"344036","Wilko Number 7 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,0.825
"344037","Wilko Number 8 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,0.825
"344038","Wilko Number 0 Chrome","Wilko","Chrome Numbers",NA,"1","1 Pack",NA,0.883333333333333
"344085","Wilko Contemporary Plaque Frosted Perspex","Wilko","House Plaques",NA,"1","1 Pack",NA,0.883333333333333
"344088","Wilko Contemporary Layered Perspex Plaque","Wilko","House Plaques",NA,"1","1 Pack",NA,0.883333333333333
"344095","Wilko House Number Plate Pullman Design Blackand Silver","Wilko","House Plaques","Black","1","1 Pack",NA,0.941666666666667
"344096","Wilko House Number Plate Pullman Design Blackand Gold","Wilko","House Plaques","Black","1","1 Pack",NA,0.941666666666667
"344098","Wilko Numeral 0 Gold Effect 2in","Wilko","Gold Numbers","Gold","1","2in",NA,0.941666666666667
"344106","Wilko Numeral 1 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,"2in",NA,0.883333333333333
"344108","Wilko Numeral 2 Gold Effect 2in","Wilko","Gold Numbers","Gold","1","2in",NA,0.941666666666667
"344110","Wilko Numeral 3 Gold Effect 2in","Wilko","Gold Numbers","Gold","1","2in",NA,0.941666666666667
"344112","Wilko Numeral 4 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,"2in",NA,0.883333333333333
"344113","Wilko Numeral 5 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,"2in",NA,0.883333333333333
"344115","Wilko Numeral 6 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,"2in",NA,0.883333333333333
"344116","Wilko Numeral 7 Gold Effect 2in","Wilko","Gold Numbers","Gold",NA,"2in",NA,0.883333333333333
