"Article","Web Description","Brand","Type","Power","Pack Qty","Size","DQ Score"
"343737","Eliza Tinsley Fast Eye Pulley Zinc Plated 38mm","Eliza Tinsley","Eye Pulley",NA,"1pk","1.5in",0.93
"343739","Eliza Tinsley Cleat Hook  Zinc Plated 100mm 2pk","Eliza Tinsley","Cleat Hooks",NA,"2pk","4in",0.93
"343740","Eliza Tinsley Plate Staple Galvanized 50 x 50mm2pk","Eliza Tinsley","Ring and Staple Plates",NA,"2pk",NA,0.86
"343795","Eliza Tinsley Single Jack Chain Bright Zinc 2mm x2mm","Eliza Tinsley","Rope, Chain and Webbing",NA,NA,"2m",0.86
"343796","Eliza Tinsley Single Jack Chain Black 2.5mm x 2m","Eliza Tinsley","Rope, Chain and Webbing",NA,NA,"2m",0.86
"344152","Eliza Tinsley Welded Long Link Chain Bright Zinc2m x 4mm","Eliza Tinsley","Rope, Chain and Webbing",NA,NA,"2m",0.86
"344158","Eliza Tinsley Long Link Chain Welded Bright Zinc6mm x 2m","Eliza Tinsley","Rope, Chain and Webbing",NA,NA,"6mmx2m",0.86
"344372","Eliza Tinsley Quick Repair Link Bright Zinc 4mm2pk","Eliza Tinsley","Repair Links",NA,"2pk","4mm",0.93
"344394","Eliza Tinsley Ring and Plate Galvanized 50mm","Eliza Tinsley","Ring and Staple Plates",NA,"1pk",NA,0.86
"324582","Stoppy Ultimate Door and Window Stopper Assorted","Stoppy","Door Stops",NA,"1",NA,0.86
"10360","Wilko Roller Catch Double Zinc Plated","Wilko","Door Catches",NA,"1","1 Pack",0.93
"115020","Wilko Wardrobe Socket Rail Set Chrome Plated 19mm","Wilko","Wardrobe Hooks and Rails",NA,"1",NA,0.86
"159368","Wilko Key Ring Hipster Chrome Effect","Wilko","Key Covers and Fobs",NA,"1",NA,0.86
"159369","Wilko Hook Robe Double Chrome Effect","Wilko","Wardrobe Hooks and Rails",NA,"1",NA,0.86
"159371","Wilko Door Wedge White PVC","Wilko","Door Stops",NA,"1",NA,0.86
"159403","Wilko Automatic Gate Latch Black","Wilko","Gate Furniture",NA,"1",NA,0.86
"159419","Wilko Cabinet Hinge Concealed Sprung 35mm","Wilko","Door Hinges",NA,NA,"35mm",0.86
"159494","Wilko Ferrule Black 15mm","Wilko","Stick Ferrule",NA,"1","15mm",0.93
"159495","Wilko Stick Ferrule Rubber Black 19mm","Wilko","Stick Ferrule",NA,"1","19mm",0.93
"159496","Wilko Hinge Butt Brass 25mm","Wilko","Door Hinges",NA,"2pk","25mm",0.93
"159497","Wilko Stick Ferrule Black 22mm","Wilko","Stick Ferrule",NA,NA,"22mm",0.86
"159498","Wilko Crutch Pad Heavy Duty Black 19mm","Wilko","Stick Ferrule",NA,NA,"19mm",0.86
"159511","Wilko Tower Bolt Straight Blackened 75mm","Wilko","Gate Furniture",NA,NA,"75mm",0.86
"159512","Wilko Tower Bolt Black Japanned 100mm","Wilko","Gate Furniture",NA,NA,"100mm",0.86
"159513","Wilko Tower Bolt Black 150mm","Wilko","Gate Furniture",NA,NA,"150mm",0.86
"160948","Wilko Diecast Gate Handle Black 150mm","Wilko","Gate Furniture",NA,"1","150mm",0.93
"160956","Wilko Veneer Pins Steel 15mm 50g","Wilko","Veneer Pin",NA,"1","50gx15mm",0.93
"160957","Wilko Veneer Pins Steel 20mm 50g","Wilko","Veneer Pin",NA,"1","50gx20mm",0.93
"160958","Wilko Panel Pin Steel  15mm 60g","Wilko","Panel Pin",NA,"1","60gx15mm",0.93
"160959","Wilko Panel Pin Steel 20mm 60g","Wilko","Panel Pin",NA,NA,"60gx20mm",0.86
"160960","Wilko Panel Pin Steel 25mm 60g","Wilko","Panel Pin",NA,"1","60gx25mm",0.93
"160961","Wilko Panel Pin Steel 40mm 60g","Wilko","Panel Pin",NA,"1","60gx40mm",0.93
"160962","Wilko Blue Cut Tack 13mm 50g","Wilko","Tacks",NA,NA,"50gx13mm",0.86
"160964","Wilko Blue Cut Tack 25mm 50g","Wilko","Tacks",NA,NA,"50gx25mm",0.86
"160965","Wilko Carpet Tack 32mm 50g","Wilko","Tacks",NA,NA,"50gx32mm",0.86
