"Article","Web Description","Brand","Type","DQ Score"
"298170","Wilko Skin Therapy Cotton Wool Pads Oval Large50pk","Wilko","Cotton Wool and Buds",1
"298172","Wilko Skin Therapy Cotton Wool Pads Dual Faced100pk","Wilko","Cotton Wool and Buds",1
"298175","Wilko Skin Therapy Cotton Wool Balls 70g","Wilko","Cotton Wool and Buds",1
"437391","Wilko Cosmetic Storage","Wilko","Storage Container",1
