"Article","Web Description","Brand","Type","Power","Pack Qty","Size","DQ Score"
"178606","Air Wick Plug In Refill Air FreshenerCrisp Linen and Lilac","Air Wick","Refills",NA,NA,"17ml",0.86
"182755","Air Wick Air Freshener Electric Refill Lavender17ml","Air Wick","Refills",NA,NA,"21ml",0.86
"293403","Air Wick Plug Refill Vanilla Bean","Air Wick","Refills",NA,"1","17ml",0.93
"333110","Air Wick Electrical Plug In Twin Refill AirFreshener Crisp Linen & Lilac","Air Wick","Refills",NA,"1","2x17ml",0.93
"333111","Air Wick Electric Air Freshener Twin Refill PurpleLavender","Air Wick","Refills",NA,"1","2x17ml",0.93
"429208","Air Wick Electric Plug Single Unit","Air Wick","Units",NA,"1","50g",0.93
"429221","Air Wick Electric Single Refill Pink Sweet Pea","Air Wick","Refills",NA,"1","17ml",0.93
"429226","Air Wick Electric Twin Refill Pink Sweet Pea","Air Wick","Refills",NA,"2","17ml",0.93
"430998","Air wick Electrical Twin Refill Vanilla","Air Wick","Refills",NA,"2","34ml",0.93
"443578","Air Wick Refill Spiced Mulled Wine 17ml","Air Wick","Refills",NA,"1","17ml",0.93
"443579","Air Wick Electric Twin Refill Mulled Wine 34ml","Air Wick","Refills",NA,"1",NA,0.86
"450626","Air Wick Electric Complete Linen And Lilac","Air Wick","Units",NA,"1","6.2 X 11.5 X 15",0.93
"450627","Air Wick Electric Complete Lavender Meadow","Air Wick","Units",NA,"1","6.2 X 11.5 X 15",0.93
"450628","Air Wick Electric Complete Vanilla Bean","Air Wick","Units",NA,"1","6.2 X 11.5 X 15",0.93
"333074","Ambi Pur Plug In Adjustable Diffuser","Ambi Pur","Units","Mains","1",NA,0.93
"333184","Ambi Pur with Febreze GP2 Refill Vanilla","Ambi Pur","Refills",NA,NA,"20ml",0.86
"333197","Ambi Pur 3Volution Plug In Unit","Ambi Pur","Units","Mains","1",NA,0.93
"333198","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Vanilla Bouquet 20ml","Ambi Pur","Refills",NA,NA,"20ml",0.86
"333200","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Cotton Essence 20ml","Ambi Pur","Refills",NA,"1","20ml",0.93
"333208","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Vanilla Bouquet 20ml x 2","Ambi Pur","Refills",NA,NA,"2x20ml",0.86
