"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"324891","Wilko Valance Single White 90 x 190cm","Wilko","Single Valance","White","1","Washable","Single","52% Polyester, 48% Cotton",1
"324893","Wilko Valance King Size White 150 x 200cm","Wilko","Kingsize Valance","White","1","Washable","Kingsize","52% Polyester, 48% Cotton",1
"324898","Wilko Valance Cream Single 90x190cm","Wilko","Single Valance","Cream","1","Washable","Single","52% Polyester, 48% Cotton",1
"324900","Wilko Valance Cream King 150x200cm","Wilko","Kingsize Valance","Cream","1","Washable","Kingsize","52% Polyester, 48% Cotton",1
"324907","Wilko Valance King Size White","Wilko","Kingsize Valance","White","1","Washable","Kingsize","100% Cotton",1
"324922","Wilko Valance Cream Double","Wilko","Double Valance","Brown","1","Washable","Double","100% Cotton",1
"324923","Wilko Valance King Size Parchment","Wilko","Kingsize Valance","Brown","1","Washable","Kingsize","100% Cotton",1
"325402","Wilko Valance  Single Taupe","Wilko","Single Valance","Orange","1","Washable","Single","100% Cotton",1
"325403","Wilko Valance Double Taupe","Wilko","Double Valance","Orange","1","Washable","Double","100% Cotton",1
"325404","Wilko Valance King Size Taupe","Wilko","Kingsize Valance","Orange","1","Washable","Kingsize","100% Cotton",1
"326851","Wilko Best Valance Super King Size White","Wilko Best","Superking Valance","White","1","Washable","Super Kingsize","100% Cotton",1
"326852","Wilko Best Valance  King Size White","Wilko Best","Kingsize Valance","White","1","Washable","Kingsize","100% Cotton",1
