"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"324892","Wilko Valance Double White 140 x 190cm","Wilko","Double Valance","White",NA,"Washable","Double","52% Polyester, 48% Cotton",0.95
"324899","Wilko Valance Cream Double 140x190cm","Wilko","Double Valance","Cream",NA,"Washable","Double","52% Polyester, 48% Cotton",0.95
"324905","Wilko Valance White Single","Wilko","Single Valance","White",NA,"Washable","Single","100% Cotton",0.95
"324906","Wilko Valance Double White","Wilko","Double Valance","White",NA,"Washable","Double","100% Cotton",0.95
"324921","Wilko Valance Single Parchment","Wilko","Single Valance","Brown",NA,"Washable","Single","100% Cotton",0.95
"424611","Wilko Best Valance Single White","Wilko","Single Valance",NA,NA,NA,NA,NA,0.75
"424614","Wilko Best Valanced  Single Cream","Wilko","Single Valance",NA,NA,NA,NA,NA,0.75
"426432","Wilko Valance Single Duck Egg","Wilko","Single Valance",NA,"1",NA,NA,NA,0.8
"426433","Wilko Valance Double Duck Egg","Wilko","Double Valance",NA,"1",NA,NA,NA,0.8
"426434","Wilko Valance King Size Duck Egg","Wilko","Kingsize Valance",NA,"1",NA,NA,NA,0.8
"326853","Wilko Best Valance Double White","Wilko Best","Double Fitted Sheet","White",NA,"Washable","Double","100% Cotton",0.95
"326863","Wilko Best Valance Super King Size Cream","Wilko Best","Superking Valance","Cream",NA,"Washable","Super Kingsize","100% Cotton",0.95
"326864","Wilko Best Valance  King Size Cream","Wilko Best","Kingsize Valance","White",NA,"Washable","Kingsize","100% Cotton",0.95
"326865","Wilko Best Valance Double Cream","Wilko Best","Double Valance","White",NA,"Washable","Double","100% Cotton",0.95
