"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"285150","Wilko Cake Board 25cm/10in","Wilko",NA,"Cake Board","Silver","1","10in",NA,0.9
"305020","Wilko Cake Board 30cm/12in","Wilko",NA,"Cake Board","Silver","1","12in",NA,0.9
"329022","Wilko Cake Stand Glass 32cm","Wilko",NA,"Cake Stand","Clear","1","32cm","Glass",0.95
"434387","Wilko Cake Carousel","Wilko",NA,"Cake Stand",NA,"1",NA,NA,0.8
"435785","Wilko Silicone Chocolate Mould","Wilko",NA,"Cake Moulds",NA,"1",NA,NA,0.8
"435790","Wilko Round Tins Set 3pk","Wilko",NA,"Cake Tins",NA,"3",NA,NA,0.8
"452431","Wilko Cake Tin and Stand","Wilko",NA,"Cake Tins",NA,"1",NA,"Iron",0.85
"452441","Wilko Square Pan 27.5cm","Wilko",NA,"Cake Tins",NA,"1","27.5cm","carbon steel",0.9
"305192","Wilko Best Loaf Tin Medium 24.5 x 15 x 6.5cm","Wilko Best",NA,"Loaf Tins","Metal","1","900g","C.STEEL,TEFLON COAT.",0.95
"305193","Wilko Best Oven Tray Steel 34 x 24 x 1.7cm","Wilko Best",NA,"Baking Trays","Metal",NA,"32x24cm","C.STEEL,TEFLON COAT.",0.9
