PSA_1,PSA_2,Attribute,Category
TOI,MED,Pack Qty,First Aid
TOI,MED,Size,First Aid
PET,DOM,Brand,Fish Tank Ornaments and Decorations
PET,DOM,Type,Fish Tank Ornaments and Decorations
PET,DOM,Colour,Fish Tank Ornaments and Decorations
PET,DOM,Pack Qty,Fish Tank Ornaments and Decorations
PET,DOM,Size,Fish Tank Ornaments and Decorations
PET,100,Brand,Fish Tanks and Aquariums
PET,100,Capacity,Fish Tanks and Aquariums
PET,100,Type,Fish Tanks and Aquariums
PET,100,Colour,Fish Tanks and Aquariums
PET,100,Pack Qty,Fish Tanks and Aquariums
PET,100,Size,Fish Tanks and Aquariums
HOM,BED,Brand,Fitted Sheets
HOM,BED,Type,Fitted Sheets
HOM,BED,Colour,Fitted Sheets
HOM,BED,Pack Qty,Fitted Sheets
HOM,BED,Washable,Fitted Sheets
HOM,BED,Size,Fitted Sheets
HOM,BED,Material,Fitted Sheets
KIT,FOO,Brand,Flasks & Travel Cups
KIT,FOO,Type,Flasks & Travel Cups
KIT,FOO,Colour,Flasks & Travel Cups
KIT,FOO,Pack Qty,Flasks & Travel Cups
KIT,FOO,Size,Flasks & Travel Cups
HOM,BED,Brand,Flat Sheets
HOM,BED,Type,Flat Sheets
HOM,BED,Colour,Flat Sheets
HOM,BED,Pack Qty,Flat Sheets
HOM,BED,Washable,Flat Sheets
HOM,BED,Size,Flat Sheets
HOM,BED,Material,Flat Sheets
HOM,LIG,Brand,Floor Lamps
HOM,LIG,Type,Floor Lamps
HOM,LIG,Colour,Floor Lamps
HOM,LIG,Power,Floor Lamps
