PSA_1,PSA_2,Attribute,Category
HOM,CUS,Washable,Cushions
HOM,CUS,Size,Cushions
HOM,CUS,Material,Cushions
KIT,CUT,Brand,Cutlery
KIT,CUT,Type,Cutlery
KIT,CUT,Colour,Cutlery
KIT,CUT,Pack Qty,Cutlery
KIT,CUT,Size,Cutlery
DIY,CYC,Brand,Cycle Clothing
DIY,CYC,Type,Cycle Clothing
DIY,CYC,Colour,Cycle Clothing
DIY,CYC,Power,Cycle Clothing
DIY,CYC,Pack Qty,Cycle Clothing
DIY,CYC,Washable,Cycle Clothing
DIY,CYC,Size,Cycle Clothing
DIY,CYC,Brand,Cycle Helmets
DIY,CYC,Type,Cycle Helmets
DIY,CYC,Colour,Cycle Helmets
DIY,CYC,Power,Cycle Helmets
DIY,CYC,Pack Qty,Cycle Helmets
DIY,CYC,Size,Cycle Helmets
DIY,MOT,Brand,Cycling Products
DIY,MOT,Type,Cycling Products
DIY,MOT,Colour,Cycling Products
DIY,MOT,Power,Cycling Products
DIY,MOT,Pack Qty,Cycling Products
DIY,MOT,Size,Cycling Products
DEC,WAL,Brand,Damask Wallpaper
DEC,WAL,Type,Damask Wallpaper
DEC,WAL,Coverage,Damask Wallpaper
DEC,WAL,Colour,Damask Wallpaper
DEC,WAL,Pack Qty,Damask Wallpaper
DEC,WAL,Size,Damask Wallpaper
DEC,WAL,Material,Damask Wallpaper
HOM,CUS,Brand,Decelerate Bedroom Collection
HOM,CUS,Type,Decelerate Bedroom Collection
HOM,CUS,Colour,Decelerate Bedroom Collection
HOM,CUS,Size,Decelerate Bedroom Collection
HOM,CUS,Assembly,Decelerate Bedroom Collection
HOM,CUS,Material,Decelerate Bedroom Collection
HOM,COO,Brand,Decelerate Living Room Collection
HOM,COO,Type,Decelerate Living Room Collection
HOM,COO,Colour,Decelerate Living Room Collection
HOM,COO,Size,Decelerate Living Room Collection
HOM,COO,Assembly,Decelerate Living Room Collection
HOM,COO,Material,Decelerate Living Room Collection
SBK,PAR,Brand,Decorations and Tableware
SBK,PAR,Type,Decorations and Tableware
SBK,PAR,Colour,Decorations and Tableware
SBK,PAR,Pack Qty,Decorations and Tableware
SBK,PAR,Size,Decorations and Tableware
GAR,NET,Brand,Decorative Edging
GAR,NET,Type,Decorative Edging
GAR,NET,Colour,Decorative Edging
GAR,NET,Pack Qty,Decorative Edging
GAR,NET,Size,Decorative Edging
