"Article","Web Description","Brand","DQ Score"
"450550","Care Care+ Plus Handwash Coconut Oil and Almond250ml","Carex",0.775
"441277","Marvel Avengers Superhero Body Wash 400ml","Disney",0.8625
"445546","L’Oreal Men Expert Hydra Energetic Shower Gel300ml","L'Oreal",0.8625
"445547","L’Oreal Men Expert Total Clean Shower Gel 300ml","L'Oreal",0.8625
"450667","L’Oreal Men Expert Hydra Sensitive Shower Gel300ml","L'Oreal",0.8625
"450668","L’Oreal Men Expert Invincible Sport Shower Gel300ml","L'Oreal",0.8625
"441275","Despicable Me Minion Made Bubble Bath 400ml","Minions",0.8625
"441276","Despicable Me Giggling Minion Hand Wash 250ml","Minions",0.8625
"436300","Oriiginal Source Shower Milk 250mlSweet Apple and Vanilla Milk","Original Source",0.775
"310012","Shield Soap Aqua 4pk","Sheild",0.8625
"347562","Fruits Body Scrub CFruits Body Scrub Coconut 250ml","Wilko",0.95
"416803","Natural Essence Foam Bath Muscle Soak","Wilko",0.8625
"450522","Kiss Exfoliating Body Scrub 200ml","Wilko",0.95
