"Article","Web Description","DQ Score"
"439945","Finding Dory Stationery Set",0.9
"439950","Finding Dory Filled Pencil Case",0.9
"439938","Star Wars Retro Stationery Set",0.95
"439941","Star Wars Retro Bumper School Pack",0.95
"439942","Star Wars Retro Exercise Book",0.95
