"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Power","DQ Score"
"XMD","LIG","293426","Wilko Battery Operated Tealight","Wilko","4.0CM","3.7CM","3.7CM","Tea Lights","9.5cm","Yellow","1","1 x CR2032 Included",1
"XMD","LIG","440024","Wilko Christmas Suction Cups Giant 2pk","Wilko","18.5CM","2.6CM","10.5CM","Suction Cups",NA,NA,NA,NA,1
"XMD","LIG","440025","Wilko Christmas Gutter Hooks Mini 20pk","Wilko","18.5CM","2.0CM","10.5CM","Light Hooks",NA,NA,NA,NA,1
"XMD","LIG","440026","Wilko Christmas Rope Light Hooks 20pk","Wilko","18.5CM","2.6CM","10.5CM","Light Hooks",NA,NA,NA,NA,1
"XMD","LIG","440027","Wilko Christmas Suction Cups 10pk","Wilko","18.5CM","3.0CM","10.5CM","Suction Cups",NA,NA,NA,NA,1
"XMD","LIG","440028","Wilko Christmas Gutter Hooks Large 10pk","Wilko","18.5CM","2.6CM","10.5CM","Light Hooks",NA,NA,NA,NA,1
"XMD","WIN","119771","Wilko Adult Magic Gloves Black","Wilko","27.0CM","13.0CM","2.0CM","Gloves","One Size","Black","1",NA,1
