"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"XMD","CAR","438937","Wilko Christmas Cardholder Metal with Foilage","Wilko","63.0CM","20.0CM","7.0CM","Card Holders","20 x 63 cm","Multi","1","Metal","No",NA,NA,NA,NA,"3+","M164812",0.65
"XMD","CAR","439013","Wilko Christmas Cardholder Pegs and String 20pk","Wilko","13.0CM","16.0CM","22.0CM","Card Holders","2.5m","Gold","20","Plastic","No",NA,NA,NA,NA,NA,"CW6740-03C24",0.65
"XMD","CAR","439220","Wilko Christmas Cards 40pk","Wilko","19.1CM","14.0CM","5.7CM","Christmas Cards","Assorted","Multi","40","Card","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","CRA","320983","Wilko Christmas Craft Pull Bows Red 4pk","Wilko","16.2CM","11.3CM",".5CM","Ribbons and Bows",NA,"Red","4","Polypropylene","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","CRA","400534","Wilko Christmas Cello Wrap Clear 3m","Wilko","26.0CM","12.0CM",".8CM","Cellophane","300 x 70cm",NA,"1","Polypropylene","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","CRA","401492","Wilko Christmas Craft Hamper Accessory Pack","Wilko","15.0CM","12.0CM","8.0CM","Hamper Accessories",NA,"Multi","1","Polypropylene","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","CRA","401519","Wilko Christmas Craft Ribbons 6 x 1.8mAssorted","Wilko","18.0CM","8.5CM","2.0CM","Ribbons and Bows","6 x 1.8m",NA,"6","Fabric","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","CRA","401525","Wilko Christmas Hamper Basket Bamboo Large","Wilko","15.0CM","28.5CM","23.5CM","Hamper Baskets","23.5 x 28.5 x 15cm",NA,"1","Bamboo","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","CRA","401526","Wilko Christmas Hamper Basket Bamboo Small","Wilko","8.0CM","28.0CM","23.5CM","Hamper Baskets","30 x 20 x 8cm",NA,"1","Bamboo","No",NA,NA,NA,NA,NA,"PT65614",0.65
"XMD","CRA","419785","Wilko Christmas Gift Box with Lid Small Tartan","Wilko","21.5CM","10.5CM","3.5CM","Gift Boxes","21.5 x 10.5 x 3cm",NA,"1","Chipboard","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","CRA","419832","Wilko Christmas Craft Organza Bags 5pk","Wilko","22.0CM","14.5CM",".2CM","Gift Bags","22 x 14.5cm",NA,"5","Polyester","No",NA,NA,NA,NA,"3+","F150602A",0.65
"XMD","CRA","438641","Wilko Christmas Craft Shredded Paper Red 28g","Wilko","17.0CM","10.0CM","5.0CM","Hamper Accessories",NA,"Red","1","Paper","No",NA,NA,NA,NA,"3+",NA,0.65
"XMD","CRA","438672","Wilko Christmas Gift Tag and String Set","Wilko","4.5CM","13.0CM","11.5CM","Gift Tags",NA,"Multi","30","Card","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","CRA","438997","Wilko Christmas Hamper Basket Red Felt","Wilko","8.0CM","22.0CM","10.0CM","Hamper Baskets","22 x 10 x 8cm","Red","1","Felt","No","Wipe Clean Only",NA,NA,NA,NA,"PT69277",0.65
"XMD","FLO","295958","Oasis Christmas Wreath Ring 10in","Oasis","25.0CM","25.0CM","5.0CM","Foam Wreath","10""","Green","1","Oasis","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","335115","Oasis Christmas Hobby Wire Green 10in","Oasis","32.0CM","5.0CM",".2CM","Hobby Wire","10""","Green","1","Metal","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","420053","Oasis Christmas Foam Block","Oasis","23.0CM","11.0CM","8.0CM","Florists Foam","11 x 8 x 23cm",NA,"1","Oasis","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","175267","Wilko Christmas Faux Snow Blanket50cm x 2m","Wilko","44.0CM","28.0CM","3.0CM","Faux Snow","200 x 50cm","White","1","Polyester","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","254886","Wilko Christmas Decoration Faux Snow 100g","Wilko","24.0CM","20.0CM","3.0CM","Faux Snow","100g","White","1","PE","No","Do Not Wash",NA,NA,NA,NA,NA,0.65
"XMD","FLO","281705","Wilko Christmas Over Door Wreath Hanger Silver","Wilko","1.9CM","7.5CM","28.0CM","Wreath Hanger","28 x 7.5 x 1.9cm","Silver","1","Metal","No","Do Not Wash",NA,NA,NA,"3 Years",NA,0.65
"XMD","FLO","306186","Wilko Christmas Garland Ivy Pre Lit 1.9m","Wilko","36.0CM","19.0CM","2.6CM","Pre-lit Garlands","1.9m","White","1","PVC","No",NA,"2 x AA Batteries Included",NA,NA,NA,NA,0.65
"XMD","FLO","322376","Wilko Christmas Decoration Glitter Apples Red 4pk","Wilko","3.2CM","7.6CM","7.6CM","Wreath Accessories","9 x 10 x 3.6cm","Red","4","Styrofoam","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","322379","Wilko Christmas Decoration Metal Jingle Bells Redand White 8pk","Wilko","2.0CM","10.5CM","8.0CM","Wreath Accessories","8 x 10.5 x 1.2cm","White","8","Metal","No",NA,NA,NA,NA,"3 Years",NA,0.65
"XMD","FLO","322383","Wilko Christmas Decoration Holly Sprigs 6pk","Wilko","1.2CM","11.0CM","15.0CM","Wreath Accessories","15 x 11 x 1.2","Red","6","Plastic","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","335114","Wilko Christmas Garland Holly Pre Lit 1.9m","Wilko","34.0CM","23.0CM","2.6CM","Pre-lit Garlands","1.9m","White","1","PVC","No","Do Not Wash","2 x AA Batteries Included",NA,NA,"3 Years",NA,0.65
"XMD","FLO","401770","Wilko Christmas Decoration Snowy Cones with Wires4pk","Wilko","12.0CM","12.0CM","5.0CM","Wreath Accessories","6 x 5cm","Brown","4","Natural","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","401772","Wilko Christmas Decoration Cones and Berries Pick","Wilko","20.0CM","8.0CM","4.0CM","Picks","4 x 8 x 20cm","Brown","1","Natural","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","401987","Wilko Christmas Decoration Cinnamon Bundles 6pk","Wilko","10.5CM","7.0CM","1.3CM","Wreath Accessories","10 x 1.3cm","Brown","6","Natural","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","401988","Wilko Christmas Decoration Holly Pick Small","Wilko","23.0CM","10.0CM","18.4CM","Picks","10 x 18cm","Red","1","Plastic","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","401991","Wilko Christmas Poinsettia Bush","Wilko","40.0CM","30.0CM","18.0CM","Sprays","18 x 30 x 40cm","Red","1","Plastic","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","401992","Wilko Christmas Decoration Holly Pick Large","Wilko","45.0CM","18.0CM","8.0CM","Sprays","8 x 18 x 45cm","Green","1","Plastic","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","401994","Wilko Christmas Decoration Berry Pick Large","Wilko","43.0CM","10.0CM","3.5CM","Sprays","3.5 x 10 x 43cm","Red","1","Plastic","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","419579","Wilko Christmas Decoration Felt Snowy Icicles 1m","Wilko","26.0CM","25.0CM","3.0CM","Faux Snow","1m",NA,"1","Polyester","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","419776","Wilko Christmas Traditional Wreath with Cones andBerries","Wilko","45.0CM","45.0CM","9.0CM","Wreaths","45cm",NA,"1","PVC","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","419781","Wilko Christmas Fabric Bows Asst 3pk","Wilko","12.0CM","7.0CM","1.5CM","Embellishments","12 x 7cm",NA,"3","Jute","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","419909","Wilko Christmas Garland Ivy 1.8m","Wilko","37.0CM","14.0CM","8.0CM","Garlands","1.8m",NA,"1","Plastic","No",NA,NA,NA,NA,"3+","N153005",0.65
"XMD","FLO","419949","Wilko Christmas Decoration Glittery Fern PickAssorted","Wilko","47.0CM","17.0CM","1.0CM","Picks","17 x 47cm","White","1","Plastic","No",NA,NA,NA,NA,"3+ Years","N150401B",0.65
"XMD","FLO","419954","Wilko Christmas Bauble Decoration Fill Your Own 3pk","Wilko","7.0CM","7.0CM","3.0CM","Christmas Craft","7cm","Clear","3","Plastic","No",NA,NA,NA,NA,"3+","P154605",0.65
"XMD","FLO","420391","Wilko Waverley Garland Cones and Berries 2m","Wilko","12.7CM","200.0CM","12.7CM","Garlands","2m","Green","1","PVC","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","420392","Wilko Christmas Garland Green Foliage 3m","Wilko","10.2CM","300.0CM","10.2CM","Garlands","3m","Green","1","PVC","No",NA,NA,NA,NA,NA,NA,0.65
"XMD","FLO","438941","Wilko Christmas Decoration Berries on Wires Gold and Silver 25pk","Wilko","3.2CM","11.0CM","8.0CM","Wreath Accessories","8 x 11cm","Multi","1","Plastic","No",NA,NA,NA,NA,"3+","P153801G",0.65
"XMD","FLO","438942","Wilko Christmas Decoration Mistletoe Bundle with Hanger","Wilko","29.0CM","12.0CM","6.0CM","Wreath Accessories","6X12X29cm","Multi","1","Plastic","No",NA,NA,NA,NA,"3+","N163011B",0.65
"XMD","FLO","438943","Wilko Christmas Eucalyptus with Glitter Spray Effect","Wilko","45.0CM","21.0CM","10.0CM","Sprays","10X21X45cm","Multi","1","Plastic","No",NA,NA,NA,NA,"3+","N163013A",0.65
"XMD","FLO","439626","Wilko Waverley Wreath Cones and Berries","Wilko","59.0CM","59.0CM","14.5CM","Wreaths","60cm","Green","1","PVC","No",NA,NA,NA,NA,NA,"GD20M4C70X00",0.65
"XMD","FOI","439081","Snow Foam Mousse 250ml","Festive","20.0CM","5.0CM","5.0CM","Decorative Spray","250ml","White","1",NA,"No",NA,NA,NA,NA,"16+",NA,0.6
"XMD","FOI","439082","Christmas Traditions Snow Spray and Stencils","Festive","7.0CM","7.0CM","19.2CM","Decorative Spray","150ml","White","1",NA,"No",NA,NA,NA,NA,"16+",NA,0.6
"XMD","FOI","439083","Christmas Traditions Copper Spray 150ml","Festive","17.7CM","4.5CM","4.5CM","Decorative Spray","150ml","Brown","1",NA,"No",NA,NA,NA,NA,"16+",NA,0.6
"XMD","FOI","51182","Christmas Traditions Silver Spray 150ml","Festive","17.7CM","4.5CM","4.5CM","Decorative Spray","150ml","Silver","1",NA,"No",NA,NA,NA,NA,"16+",NA,0.6
