"Article","Web Description","Brand","Type","Pack Qty","Size","Age","DQ Score"
"288514","Aptamil First Milk Stage 1 900g","Aptamil","Powdered Milk",NA,"900g",NA,0.86
"288516","Aptamil Follow On Milk Stage 3 900g","Aptamil","Powdered Milk",NA,"900g",NA,0.86
"288517","Aptamil First Milk 200ml","Aptamil","Milk",NA,"200ml",NA,0.86
"288518","Aptamil Hungry Milk 200ml","Aptamil","Milk","1","200ml",NA,0.93
"288519","Aptamil Follow On Milk Stage 3 200ml","Aptamil","Milk","1","200ml",NA,0.93
"290562","Aptamil Growing Up Milk 1-2 Years 200ml","Aptamil","Milk","1","200ml",NA,0.93
"288457","Cow & Gate Infant Milk Hungrier Babies 900g","Cow n Gate","Powdered Milk","1","900g",NA,0.88
"288458","Cow & Gate First Infant Milk Stage 1 200ml","Cow n Gate","Milk",NA,"200ml",NA,0.81
"288459","Cow & Gate Infant Milk Hungrier Babies 200ml","Cow n Gate","Milk",NA,"200ml",NA,0.81
"288460","Cow And Gate Baby MilkFollow On 2 900g","Cow n Gate","Milk","1","200ml",NA,0.88
"288461","Cow & Gate First Infant Milk Stage 1 900g","Cow n Gate","Powdered Milk","1","900g",NA,0.88
"288512","Cow & Gate Follow on Milk Stage 3 900g","Cow n Gate","Powdered Milk","1","900g",NA,0.88
"288513","Cow & Gate Growing Up Milk 1 Year Plus 900g","Cow n Gate","Powdered Milk",NA,"900g",NA,0.81
"290545","Cow & Gate Pure Baby Rice 100g","Cow n Gate","Cereals and Porridge","1","100g",NA,0.88
"290553","Cow & Gate Spaghetti Bolognese 200g","Cow n Gate","Jars","1","200g",NA,0.88
"290556","Cow & Gate Grandpas  Sunday Lunch 125g","Cow n Gate","Jars","1","125g",NA,0.88
"290563","Cow & Gate Growing Up Milk 1-2 Years 200ml","Cow n Gate","Milk",NA,"200ml",NA,0.81
"288597","Heinz Biscotti Snack Chocolate 60g","Heinz","Finger Foods","1",NA,NA,0.86
"288716","Heinz Farleys Rusk Original 150g","Heinz","Finger Foods",NA,"150g",NA,0.86
"288717","Heinz Cheesy Vegetable Pasta 100g","Heinz","Dinners","1","100g",NA,0.93
"305000","Heinz Biscotti Snack Banana 60g","Heinz","Finger Foods","1","60g",NA,0.93
"305001","Heinz Blueberry Porridge 120g","Heinz","Cereals and Porridge","1","120g",NA,0.93
"315011","Heinz Mediterranean Vegetables with Rice 125g","Heinz","Dinners",NA,"125g",NA,0.86
"316846","Heinz Fruity Banana Custard Pots 4 x 100g","Heinz","Pouches and Pots","1","100g",NA,0.93
"316847","Heinz Fruity Medley Custard Pots 100g","Heinz","Pouches and Pots",NA,"100g",NA,0.86
"338297","Heniz Smooth Apple and Strawberry 100g","Heinz","Pouches and Pots","1","100g",NA,0.88
"338299","Heniz Baby Sweet Potato Parsnip and Apple","Heinz","Pouches and Pots",NA,"100g",NA,0.81
"338300","Heinz Baby Chicken Sunday Dinner 130g","Heinz","Pouches and Pots","1","130g",NA,0.93
"339750","Heniz Sweet Potato Chicken and Veggies 130g","Heinz","Pouches and Pots","1","130g",NA,0.88
"457169","Farleys Strawberry and Peach Biscotti","Heinz","Finger Foods","1",NA,NA,0.76
"457170","Heinz Strawberry and Banana Biscotti","Heinz","Finger Foods","1",NA,NA,0.81
"457171","Heinz Eat Play Peach and Apricot Biscuits","Heinz","Finger Foods","1",NA,NA,0.81
"457172","Heinz Eat Play Strawberry and Peach Biscuits","Heinz","Finger Foods","1",NA,NA,0.81
"288821","Finger Foods Organic Sweetcorn Hoops 20g","Organix","Finger Foods","1","20g",NA,0.88
"289017","Organix Finger Foods Raspberry and BlueberryRice Cakes 50g","Organix","Finger Foods","1","50g",NA,0.93
"289031","Organix Finger Foods Apple Rice Cakes 50g","Organix","Finger Foods","1","50g",NA,0.93
"422426","Organix Finger Foods Creamy Vanilla Biscuit Rings54g","Organix","Finger Foods","1",NA,NA,0.86
"289202","SMA First Infant Milk Stage 1 800g","SMA","Powdered Milk","1","800g",NA,0.93
"289203","SMA Infant Milk Extra Hungry 800g","SMA","Powdered Milk",NA,"800g",NA,0.86
"289204","SMA Follow On Milk Stage 2 800g","SMA","Powdered Milk",NA,"800g",NA,0.86
"290647","SMA  First Infant Milk From Birth  200ml","SMA","Milk",NA,"200ml",NA,0.86
"320285","SMA Toddler Milk 1-3 Years 800g","SMA","Powdered Milk",NA,"800g",NA,0.86
