"Article","Web Description","Brand","Type","Colour","Size","Pack Qty","DQ Score"
"326363","Acctim Newton Wall Clock","Acctim","Wall Clock","Brown","Single","1",1
"287981","Wilko Square Alarm Clock Black","Wilko","Alarm Clock","Black","Single","1",1
