"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"183732","E45 Itch Relief Cream 50g","E45","Dermatological Cream",NA,"50g",0.9125
"201858","E45 Dermatological Cream 125g","E45","Dermatological Cream",NA,"125g",0.9125
"207609","E45 Dermatological Moisturising Lotion 500ml","E45","Dermatological Cream","1",NA,0.9125
"319914","E45 Dermatological Intense Recovery Lotion 400ml","E45","Dermatological Cream",NA,"400ml",0.9125
"302202","Palmers Cocoa Butter Concentrated Cream 60g","Palmers","Dry and Itchy Skin",NA,"60g",0.9125
