"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"274009","Westland Resolva Weedkiller Ready to Use 1L","Resolva","Fast Acting Weedkillers",NA,"1L",0.9125
"428876","Resolva Moss Killer 1L","Resolve","Path and Patio Weedkillers","1",NA,0.8625
"263130","Patio Magic 2.5L","Scotts","Path and Patio Weedkillers",NA,"2.5L",0.8625
"409378","Big Cheese Ultra Power Rat Trap Twinpack","The Big Cheese","Rodenticides","2",NA,0.8625
"285419","Weedol Gun Rootkiller Plus 1L","Weedol","Rootkill Weedkillers",NA,"1L",0.9125
"330962","Weedol Rootkill Plus Weedkiller 8 Tubes","Weedol","Rootkill Weedkillers","6",NA,0.9125
"330943","Westland Resolva Path and Patio WeedkillerReady to Use 1L","Westland","Path and Patio Weedkillers",NA,"1L",0.9125
