"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"148615","Dulux Silk Emulsion PaintViolet White 2.5L","Dulux","Silk Paint","32m²","White","1","2.5L",1
"148625","Dulux Silk Emulsion PaintIvory 2.5L","Dulux","Silk Paint","32m²","Cream","1","2.5L",1
"166460","Dulux Silk Emulsion PaintCalico 2.5L","Dulux","Silk Paint","32m²","White","1","2.5L",1
"166516","Dulux Natural Hints Matt Emulsion PaintApple White 2.5L","Dulux","Matt Paint","32m²","White","1","2.5L",1
"166528","Dulux Natural Hints Matt Emulsion PaintAlmond White 2.5L","Dulux","Matt Paint","32m²","White","1","2.5L",1
"166532","Dulux Natural Hints Matt Emulsion PaintCornflower White 2.5L","Dulux","Matt Paint","32m²","White","1","2.5L",1
"166533","Dulux Matt Emulsion PaintJade White 2.5L","Dulux","Matt Paint","32m²","White","1","2.5L",1
"190586","Dulux Matt Emulsion PaintWellbeing 2.5L","Dulux","Matt Paint","32m²","Green","1","2.5L",1
"190594","Dulux Silk Emulsion PaintIvory Lace 2.5L","Dulux","Silk Paint","32m²","Yellow","1","2.5L",1
"190596","Dulux Silk Emulsion PaintApricot Crush 2.5L","Dulux","Silk Paint","32m²","Orange","1","2.5L",1
"190608","Dulux Silk Emulsion PaintTimeless 2.5L","Dulux","Silk Paint","32m²","White","1","2.5L",1
"190609","Dulux Silk Emulsion PaintWellbeing 2.5L","Dulux","Silk Paint","32m²","Green","1","2.5L",1
"205907","Dulux Silk Emulsion PaintGentle Fawn 2.5L","Dulux","Silk Paint","32m²","Brown","1","2.5L",1
"212369","Dulux Silk Emulsion PaintPutting Green 2.5L","Dulux","Silk Paint","32m²","Green","1","2.5L",1
"212376","Dulux Matt Emulsion PaintSoft Stone 2.5L","Dulux","Matt Paint","32m²","Cream","1","2.5L",1
"212378","Dulux Silk Emulsion PaintSoft Stone 2.5L","Dulux","Silk Paint","32m²","Cream","1","2.5L",1
"2236860","Dulux Silk Emulsion PaintButtermilk 2.5L","Dulux","Silk Paint","32m²","Cream","1","2.5L",1
"241737","Dulux Silk Emulsion PaintAlmost Oyster 2.5L","Dulux","Silk Paint","32m²","Cream","1","2.5L",1
"252860","Dulux Matt Emulsion PaintWhite Mist 2.5L","Dulux","Matt Paint","32m²","White","1","2.5L",1
"252861","Dulux Matt Emulsion PaintWhite Cotton 2.5L","Dulux","Matt Paint","32m²","White","1","2.5L",1
"298490","Dulux Silk Emulsion PaintNutmeg White 2.5L","Dulux","Silk Paint","32m²","White","1","2.5L",1
"332081","Dulux Silk Emulsion PaintCrispy Crumble 2.5L","Dulux","Silk Paint","32m²","Cream","1","2.5L",1
"332424","Dulux Silk Emulsion PaintWarm Pewter 2.5L","Dulux","Silk Paint","32m²","Cream","1","2.5L",1
"434267","Dulux Matt Emulsion PaintBlue Opal 2.5L","Dulux","Matt Paint","13sm per litre","Blue","1","2.5L",1
"434269","Dulux Matt Emulsion PaintGoose Down 2.5L","Dulux","Matt Paint","13sm per litre","Grey","1","2.5L",1
"434271","Dulux Matt Emulsion PaintMuted Sage 2.5L","Dulux","Matt Paint","13sm per litre","Green","1","2.5L",1
"434272","Dulux Matt Emulsion PaintNordic Sky 2.5L","Dulux","Matt Paint","13sm per litre","Blue","1","2.5L",1
"434273","Dulux Matt Emulsion PaintRock Salt 2.5L","Dulux","Matt Paint","13sm per litre","Grey","1","2.5L",1
"434274","Dulux Matt Emulsion PaintSummer Linen 2.5L","Dulux","Matt Paint","13sm per litre","Cream","1","2.5L",1
"434277","Dulux Silk Emulsion PaintGoose Down 2.5L","Dulux","Silk Paint","13sm per litre","Grey","1","2.5L",1
"434279","Dulux Silk Emulsion PaintMuted Sage 2.5L","Dulux","Silk Paint","13sm per litre","Green","1","2.5L",1
"434280","Dulux Silk Emulsion PaintNordic Sky 2.5L","Dulux","Silk Paint","13sm per litre","Blue","1","2.5L",1
"434281","Dulux Silk Emulsion PaintRock Salt 2.5L","Dulux","Silk Paint","13sm per litre","Grey","1","2.5L",1
"434282","Dulux Silk Emulsion PaintSummer Linen 2.5L","Dulux","Silk Paint","13sm per litre","Cream","1","2.5L",1
"434293","Dulux Kitchen+ Matt Emulsion PaintPepper Red 2.5L","Dulux","Kitchen Paint","13sm per litre","Red","1","2.5L",1
"434295","Dulux Bathroom+ Soft Sheen Emulsion PaintRock Salt 2.5L","Dulux","Bathroom Paint","13sm per litre","Grey","1","2.5L",1
"449376","Dulux Easycare Matt Emulsion Paint Denim Drift2.5L","Dulux","Dulux Easycare","13 sq m per litre","Blue","1","2.5L",1
"449380","Dulux Easycare Matt Emulsion Paint Natural Hessian2.5L","Dulux","Dulux Easycare","13 sq m per litre","Cream","1","2.5L",1
"449381","Dulux Easycare Matt Emulsion Paint Natural Calico2.5L","Dulux","Dulux Easycare","13 sq m per litre","Cream","1","2.5L",1
"449383","Dulux Easycare Matt Emulsion Paint Polished Pebble2.5L","Dulux","Dulux Easycare","13 sq m per litre","Grey","1","2.5L",1
"449384","Dulux Easycare Matt Emulsion Tester Pot PolishedPebble 50ml","Dulux","Dulux Easycare","13 sq m per litre","Grey","1","50ml",1
"449385","Dulux Easycare Matt Emulsion Tester Pot Timeless50ml","Dulux","Dulux Easycare","13 sq m per litre","White","1","50ml",1
"449386","Dulux Easycare Matt Emulsion Tester Pot Blush Pink50ml","Dulux","Dulux Easycare","13 sq m per litre","Pink","1","50ml",1
"449387","Dulux Easycare Matt Emulsion Tester Pot ChicShadow 50ml","Dulux","Dulux Easycare","13 sq m per litre","Grey","1","50ml",1
"449388","Dulux Easycare Matt Emulsion Tester Pot DenimDrift 50ml","Dulux","Dulux Easycare","13 sq m per litre","Blue","1","50ml",1
"449389","Dulux Easycare Matt Emulsion Tester Pot EgyptianCotton 50ml","Dulux","Dulux Easycare","13 sq m per litre","Cream","1","50ml",1
"449390","Dulux Easycare Matt Emulsion Tester Pot Mineral MMist 50ml","Dulux","Dulux Easycare","13 sq m per litre","White","1","50ml",1
"449391","Dulux Easycare Matt Emulsion Tester Pot Magnolia50ml","Dulux","Dulux Easycare","13 sq m per litre","Cream","1","50ml",1
"449392","Dulux Easycare Matt Emulsion Tester Pot NaturalHessian 50ml","Dulux","Dulux Easycare","13 sq m per litre","Cream","1","50ml",1
"449393","Dulux Easycare Tester Natural Calico 50ml","Dulux","Dulux Easycare","13 sq m per litre","Cream","1","50ml",1
