"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"457097","Quest Professional Hand Mixer Black 300w","Quest","Mixers","Black","300w",1
"457098","Quest Professional Hand Mixer Red 300w","Quest","Mixers","Red","300w",1
"448413","Tower 1.7L Glass Soup Maker T12019","Tower","Soup Makers","Black","1.7L",1
