"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","Power","Age","Capacity","Coverage","DQ Score"
"326285","Wilko Galaxy Gang Robot Storage Boxes Set of 3","Wilko","Storage Totes","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"327717","Wilko Stars Papershade","Wilko","Kids Light Shades","Silver","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"340690","Wilko Bin Duck Egg","Wilko","Kids Bins","Blue","1",NA,NA,NA,NA,NA,NA,NA,0.93
"340702","Wilko Butterfly String  Lights","Wilko","String Lights","White","1",NA,"1.7m",NA,NA,NA,NA,NA,0.941666666666667
"340703","Wilko Snuggle Throw Duck Egg Blue 100 x 150cm","Wilko","Kids Throws","Blue",NA,NA,"100 x 150cm",NA,NA,NA,NA,NA,0.85
"341201","Wilko Snuggle Throw Blue 100 x 150cm","Wilko","Kids Throws","Blue",NA,NA,"100 x 150cm","100% Polyester",NA,NA,NA,NA,0.9
"341572","Wilko Snuggle Throw Red 100 x 150cm","Wilko","Kids Throws","Red",NA,NA,"100 x 150cm",NA,NA,NA,NA,NA,0.85
"341579","Wilko Bin Red","Wilko","Kids Bins","Red","1",NA,NA,NA,NA,NA,NA,NA,0.93
"342094","Wilko Bin Black","Wilko","Kids Bins","Black","1",NA,NA,NA,NA,NA,NA,NA,0.93
"410430","Wilko Galaxy Cut Out Shade","Wilko","Kids Light Shades",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"410431","Wilko Tote Boxes Dinosaur 3pk","Wilko","Storage Totes",NA,"3",NA,"Set of 3",NA,NA,NA,NA,NA,0.85
"410447","Wilko Butterfly Duvet Set Single","Wilko","Kids Duvet Covers",NA,"1",NA,"135x200cm 50x75cm",NA,NA,NA,NA,NA,0.85
"410448","Wilko Fairy Duvet Set Single","Wilko","Kids Duvet Covers",NA,"1",NA,"135x200cm 50x75cm",NA,NA,NA,NA,NA,0.85
"410449","Wilko Pirate Duvet Set Single","Wilko","Kids Duvet Covers",NA,"1",NA,"Single",NA,NA,NA,NA,NA,0.85
"410454","Wilko Snuggle Throw Lilac 100 x 150cm","Wilko","Kids Throws","Purple","1",NA,"100 x 150cm",NA,NA,NA,NA,NA,0.9
"412883","Wilko New Candy Stripe Duvet Set Single","Wilko","Kids Duvet Covers",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"422992","Wilko Storage Tower Pink 3 Drawer","Wilko","Storage Drawers","Multi","1",NA,"40x40x63cm","Polypropelyne",NA,NA,NA,NA,0.95
"422995","Wilko Underbed Box Blue 45L","Wilko","Storage Box with Lid",NA,"1",NA,"40x60x27cm","Polypropelyne",NA,NA,"45L",NA,0.95
"430986","Wilko Duvet Set Cars and Trucks Design Single","Wilko","Kids Duvet Covers",NA,"1",NA,"135x200 cm","Polycot 52:48",NA,NA,NA,NA,0.9
"430987","Wilko Check and Stars Design Duvet SetSingle Blue","Wilko","Kids Duvet Covers",NA,"1",NA,"135 x 200 cm","Polycot 52:48",NA,NA,NA,NA,0.9
"430988","Wilko Dinosaurs Duvet Set Single","Wilko","Kids Duvet Covers",NA,"1",NA,"135 x 200 cm","Polycot 52:48",NA,NA,NA,NA,0.9
"430990","Wilko Union Jack Patchwork Design Duvet SetSingle Pink","Wilko","Kids Duvet Covers",NA,"1",NA,"135 x 200 cm","Polycot 52:48",NA,NA,NA,NA,0.9
"430991","Wilko Check and Flowers Design Duvet SetSingle Pink","Wilko","Kids Duvet Covers",NA,"1",NA,"135 x 200 cm","Polycot",NA,NA,NA,NA,0.9
"430992","Wilko Pretty Patchwork Duvet Set Single","Wilko","Kids Duvet Covers",NA,"1",NA,"Duvet set = 135x200 cm","Polycot 52:48",NA,NA,NA,NA,0.9
"432848","Wilko Pop Up Storage Blue","Wilko","Pop Up Bins",NA,"1",NA,"37.5cm High, 37.5cm Diameter","POLYPROPYLENE",NA,NA,NA,NA,0.9
"432849","Wilko Fitted Sheet and Pillowcase StarsSingle Blue","Wilko","Single Fitted Sheet",NA,"1",NA,"90 x 190","Polycot 52:48",NA,NA,NA,NA,0.9
"432850","Wilko Fleece Throw Blue Stars 125 x 150cm","Wilko","Throws",NA,"1",NA,"125 x 150cm","100% POLYESTER",NA,NA,NA,NA,0.9
"432852","Wilko Pink Shade","Wilko","Kids Light Shades",NA,"1",NA,"25cm High, 20cm Diameter",NA,NA,NA,NA,NA,0.883333333333333
"432854","Wilko Pop Up Storage Pink","Wilko","Pop Up Bins",NA,"1",NA,"37.5cm High, 37.5cm diameter","POLYPROPYLENE",NA,NA,NA,NA,0.9
"432855","Wilko Fitted Sheet and Pillowcase HeartsSingle Pink","Wilko","Single Fitted Sheet",NA,"1",NA,"90 x 190 + 25 cm","Polycot 52:48",NA,NA,NA,NA,0.9
"432857","Wilko Fleece Pink Flowers 125 x 150cm","Wilko","Throws",NA,"1",NA,"125 x 150cm","100% POLYESTER",NA,NA,NA,NA,0.9
"432874","Wilko Underbed Storage Fabric Blue","Wilko","Under Bed Storage",NA,"1",NA,"75cm Length, 45cm Wide, 20cm High","POLYPROPYLENE",NA,NA,NA,NA,0.9
"432875","Wilko Underbed Storage Fabric Pink","Wilko","Under Bed Storage",NA,"1",NA,"75cm Length, 45cm Wide, 20cm High","POLYPROPYLENE",NA,NA,NA,NA,0.9
