"Article","Web Description","Brand","DQ Score"
"451464","Duvet Set Shimmer and Shine Single","Character",0.9
"451465","Duvet Set Pokemon Single","Character",0.85
"451466","Paw Patrol Pink Fleece Blanket 100 x 150cm","Character",0.9
"451467","Pokemon Fleece Blanket 100 x 150cm","Character",0.9
"451468","Trolls Fleece Blanket 100 x 150cm","Character",0.9
"451469","My Little Pony Fleece Blanket 100 x 150cm","Character",0.9
"432844","Football Illumi Mate","Other",0.783333333333333
"451234","Duvet Set Emoji Multi Reversible Single","Other",0.9
"451235","Emoji Embroided Poop Cushion","Other",0.9
"451479","Paw Patrol Illumi Mate Comfort Light","Other",0.833333333333333
"451480","Shimmer andShine Illumimate Assorted","Other",0.716666666666667
"451647","Duvet Set Blaze Single","Other",0.85
"451648","Duvet Set Trolls Single","Other",0.9
"423198","Wilko Storage Box with Pink Lid 3pk","Wilko Functional",0.95
"423199","Wilko Storage Box with Blue Lid 3pk","Wilko Functional",0.95
"423200","Wilko Fold Flat Crate Pink","Wilko Functional",0.95
"423201","Wilko Fold Flat Crate Blue","Wilko Functional",0.95
"423202","Wilko Waste Bin Pink","Wilko Functional",0.95
"423203","Wilko Waste Bin Blue","Wilko Functional",0.95
"432870","Wilko 3 Drawer Tower Small Pink","Wilko Functional",0.95
"432871","Wilko 3 Drawer Tower Small Blue","Wilko Functional",0.95
