"PSA_1","PSA_2","Article","Web Description","DQ Score"
"DEC","ADH","433385","Unibond Duct Tape 50m x 50mm 2pk",0.833333333333333
"DEC","ADH","433390","Unibond Repair Power Epoxy Permanent Adhesive 1 minute 14ml",0.95
"DEC","FIL","160840","Polycell Fine Surface Polyfilla 400g",0.8625
"DEC","FIL","160843","Polycell Fine Surface Polyfilla 500g",0.8625
"DEC","FIL","457574","Unibond No More Big Gaps Expanding Foam Cream 500ml",0.6
"DEC","FIL","457575","Unibond WhiteTeq Expanding Foam 500ml",0.6
"DEC","PRP","451167","3M Sandblaster Sanding Sponge 180 Grit Fine",0.9
"DEC","PRP","451168","3M Sandblaster Sanding Sponge 100 Grit Medium",0.9
"DEC","PRP","451169","3M Sandblaster Sponge 60 Grit Coarse",0.9
"DEC","PRP","454503","3M Sandblaster Sandpaper 150 Grit Medium 3pk",0.9
"DEC","PRP","454504","3M Sandblaster Sandpaper 240 Grit Fine 3pk",0.9
"DEC","PRP","454568","Unibond Masking Tape Multi-Surface 25mm x 25m",0.6
"DEC","STE","ab00001","Abru 3 Tread Step Ladder Chrome",0.95
"DEC","STE","ab00002","Abru 10Way Combination Step Ladder",0.8625
"DEC","STE","ab00003","Abru 5Way Combination Ladder and Platform",0.8625
"DEC","STE","ab00005","Abru Loft Ladder Access Kit Wood",0.8625
"DEC","STE","ab00006","Abru Triple Extension Ladder Aluminium",0.8625
"DEC","STE","ab00007","Abru 2 Tread Stepstool Chrome",0.8625
"DEC","STE","ab00010","Abru Triple Extension Ladder Aluminium",0.8625
"DEC","STE","ab00011","Abru Step Ezee 2 Step Stepstool",0.8625
"DEC","STE","ab00012","Abru 2 Step Large Stepstool",0.8625
"DEC","STE","ab00013","Abru 5 Tread High Handrail Stepladder",0.8625
"DEC","STE","ab00016","Abru 3 Way Combination ladder with Tray",0.8625
"DEC","STE","ab00017","Abru Easy Stow 3  Section Loft Ladder",0.8625
"DEC","STE","ab00018","Abru Easy Stow 3  Section Loft Ladder",0.8625
"DEC","STE","ab00019","Abru DIY 2.5m Double Extension Ladder",0.95
"DEC","STE","ab00020","Abru DIY 3.4m Double Extension Ladder",0.95
"DEC","STE","ab00021","Abru DIY 2.8m Triple Extension Ladder",0.95
"DEC","WAL","409956","1Wall Wallpaper Orchid Flower Mural",0.9
"DEC","WAL","409969","1Wall Wallpaper Rustic Red Brick Mural",0.9
"DEC","WAL","409533","Arthouse Wallpaper Woodland Duck Egg 630700",0.6
"DEC","WAL","436340","Arthouse Wallpaper Whisper Teal",0.9
"DEC","WAL","436341","Arthouse Wallpaper Whisper Black and White",0.6
"DEC","WAL","436343","Arthouse Wallpaper Selina Gunmetal",0.6
"DEC","WAL","449722","Arthouse Wallpaper Tropical Palm",0.95
"DEC","WAL","449723","Arthouse Wallpaper Reign Pewter",0.95
"DEC","WAL","449724","Arthouse Wallpaper White Wood",0.95
"DEC","WAL","449730","Arthouse Wallpaper Montague Silver and White Stripe",0.95
"DEC","WAL","449731","Arthouse Wallpaper Ashwood Silver",0.95
"DEC","WAL","449732","Arthouse Wallpaper Chinese Garden Pink",0.95
"DEC","WAL","449733","Arthouse Wallpaper Chinese Garden Yellow",0.95
"DEC","WAL","449734","Arthouse Wallpaper Cornish Stone",0.95
"DEC","WAL","449735","Arthouse Wallpaper Fine and Dandy Teal",0.95
"DEC","WAL","449736","Arthouse Wallpaper Quartz Yellow",0.95
"DEC","WAL","450113","Arthouse Wallpaper Rustic Heart Natural",0.95
"DEC","WAL","450114","Arthouse Wallpaper Super Stripe Pink and Teal",0.95
"DEC","WAL","454058","Arthouse Wallpaper Glitterati Plain Black",0.95
"DEC","WAL","454059","Arthouse Wallpaper Glitterati Plain Purple",0.9
"DEC","WAL","454060","Arthouse Wallpaper Glitterati Plain Fuchsia",0.9
"DEC","WAL","454061","Arthouse Wallpaper Glitterati Plain Emerald Green",0.9
"DEC","WAL","454062","Arthouse Wallpaper Glitterati Plain Mink",0.9
"DEC","WAL","454063","Arthouse Wallpaper Glitterati Plain Silver",0.9
"DEC","WAL","454064","Arthouse Wallpaper Glitterati Plain Platinum",0.9
