"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Coverage","DQ Score"
"DEC","ADH","437143","Wilko DIY Tape 50mm x 10m Silver","Wilko","5.2CM","9.3CM","9.3CM","DIY Tape","Wilko DIY Tape Silver 50mmx10m","Silver","1",NA,NA,1
"DEC","ADH","437144","Wilko DIY Tape 50mm x 10m White","Wilko","5.2CM","9.3CM","9.3CM","DIY Tape","Wilko DIY Tape White 50mmx10m","White","1",NA,NA,1
"DEC","ADH","437145","Wilko DIY Tape 50mm x 10m Black","Wilko","5.2CM","9.3CM","9.3CM","DIY Tape","Wilko DIY Tape Black 50mmx10m","Black","1",NA,NA,1
"DEC","ADH","437146","Wilko DIY Tape 50mm x 10m Beige","Wilko","5.2CM","9.5CM","9.5CM","DIY Tape","Wilko DIY Tape Beige 50mmx10m","Brown","1",NA,NA,1
"DEC","ADH","437147","Wilko DIY Tape 50mm x 10m Red","Wilko","5.2CM","9.5CM","9.5CM","DIY Tape","Wilko DIY Tape Red 50mmx10m","Red","1",NA,NA,1
"DEC","ADH","437148","Wilko Rug Tape 50mm x 5m","Wilko","5.1CM","9.2CM","9.2CM","Rug Tape","Rug tape 50mmx5m","Brown","1",NA,NA,1
"DEC","ADH","437149","Wilko Double Sided Tape 50mm x 10m","Wilko","5.2CM","9.7CM","9.7CM","Adhesive Tape and dispensers","Wilko Double Sided Tape 50mmx10m","White","1","Plastic",NA,1
"DEC","ADH","437151","Wilko All Weather Tape 50mm x 10m","Wilko","5.2CM","9.3CM","9.3CM","All Weather Tape","Wilko All Weather Tape 50mmx10m","Clear","1",NA,NA,1
"DEC","ADH","437153","Wilko DIY Tape 50mm x 50m Black","Wilko","5.1CM","13.3CM","13.3CM","DIY Tape","Wilko DIY Tape Black 50mmx50m","Black","1",NA,NA,1
"DEC","ADH","432835","Wilko Functional Super Glue Tubes 8 x 2g","Wilko Functional","1.2CM","2.1CM","8.5CM","Superglue","8 x 2g",NA,"8pk",NA,NA,1
"DEC","CAR","2848950","Wilko Carpet Cover Joining Strip Gold 900mm","Wilko","96.5CM","7.5CM",".9CM","Carpet Edging","900mm","Gold","1",NA,NA,1
"DEC","FIL","159721","Polycell Weather Proof Polyfilla 330g","Polycell","22.5CM","7.5CM","4.5CM","Ready Mixed Filler","330g",NA,"1",NA,NA,1
"DEC","FIL","288364","Polycell Cement Quick Set 2kg","Polycell","21.7CM","16.0CM","6.5CM","Cement","2kg",NA,"1",NA,NA,1
"DEC","FIL","3106940","Polycell Multi Purpose Polyfilla 450g","Polycell","22.3CM","9.5CM","4.8CM","Powdered Filler","450g",NA,"1",NA,NA,1
"DEC","FIL","315533","Polycell Stain Stop Aerosol 250ml","Polycell","20.5CM","5.5CM","5.5CM","Stain Remover","250ml",NA,"1",NA,NA,1
"DEC","FIL","162075","Unibond All-Purpose No More Cracks Ready Mixed Filler 600g","Unibond","6.0CM","14.7CM","9.5CM","Ready Mixed Filler","600g",NA,"1",NA,NA,1
"DEC","FIL","158724","Wilko Wood Filler Flexible Ready Mixed Brown 1kg","Wilko","13.0CM","10.5CM","10.5CM","Wood Filler","1kg",NA,"1",NA,NA,1
"DEC","FIL","215768","Wilko Decorator Interior Filler Lightweight ReadyMixed 600ml","Wilko","13.0CM","10.5CM","10.5CM","Ready Mixed Filler","600ml",NA,"1",NA,NA,1
"DEC","FIL","215770","Wilko Ready Mix Quick Dry Filler 1kg","Wilko","13.1CM","10.8CM","10.8CM","Ready Mixed Filler","1kg",NA,"1",NA,NA,1
"DEC","FIL","245441","Wilko Decorators Caulk 300ml","Wilko","23.2CM","4.9CM","4.9CM","Decorators Caulk","300ml",NA,"1",NA,NA,1
"DEC","FIL","3126940","Wilko Putty Multi-Purpose Linseed Oil 1kg","Wilko","8.0CM","11.2CM","11.7CM","Putty","1kg",NA,"1",NA,NA,1
"DEC","FIL","342401","Wilko All Purpose Powder Filler  1.5Kg","Wilko","21.5CM","16.5CM","6.2CM","Powdered Filler","1.5kg",NA,"1",NA,NA,1
"DEC","FIL","342404","Wilko Deep Gap Filler 1Ltr","Wilko","13.5CM","12.8CM","12.8CM","Filler","1L",NA,"2pk",NA,NA,1
"DEC","FIL","342733","Wilko Fungicidal Spray 500ml","Wilko","25.0CM","9.5CM","4.5CM","Fungicidal Spray","500ml",NA,"1",NA,NA,1
"DEC","FIL","49900","Wilko Filler All-Purpose Ready Mixed 330g","Wilko","22.5CM","7.5CM","4.5CM","Ready Mixed Filler","330g",NA,"1",NA,NA,1
"DEC","FIL","77959","Wilko Wood Filler Flexible Ready Mixed White 330g","Wilko","22.0CM","7.7CM","4.4CM","Wood Filler","330g",NA,"1",NA,NA,1
"DEC","FIL","77960","Wilko Wood Filler Flexible Ready Mixed White 1kg","Wilko","13.0CM","10.5CM","10.5CM","Wood Filler","1kg",NA,"1",NA,NA,1
"DEC","INS","410263","Kilrock Damp Clear Refill Sachets 1kg 2pk","Kilrock","34.6CM","14.5CM","5.8CM","Moisture and Humidity Traps","1kg","White","1",NA,NA,1
"DEC","INS","236112","Wilko Door and Window Seal Brown 5m","Wilko","18.0CM","18.3CM","2.0CM","Draught Excluder","5m","Brown","1",NA,NA,1
"DEC","PRP","315920","Bartoline Clean Spirit 750ml","Bartoline","24.7CM","7.3CM","7.3CM","Brush Cleaner","750ml",NA,"1",NA,NA,1
"DEC","PRP","187335","Wilko Decorator Filling Tool","Wilko","2.0CM","8.0CM","31.0CM","Filling Knife","1 Pack",NA,"1",NA,NA,1
"DEC","PRP","2699240","Wilko White Spirit 2L","Wilko","25.4CM","13.3CM","9.1CM","Brush Cleaner","2L",NA,"1",NA,NA,1
"DEC","ROL","288317","Wilko Paint Kettle 2L","Wilko","15.0CM","21.1CM","19.6CM","Painting Tools","2L",NA,"1",NA,NA,1
"DEC","STE","147042","ABRU Combination Ladder 3 Way","Abru","186.0CM","46.0CM","15.1CM","Multi Purpose Ladders","H:186xW:46xD:15.1cm",NA,NA,"Aluminium",NA,1
"DEC","STE","2788040","Abru 4 Tread Step Ladder","Abru","140.0CM","42.0CM","12.0CM","Step Ladders","H:140cxW:42xD:12cm",NA,NA,"Aluminium",NA,1
"DEC","STE","74762","Abru Domestic Step Ladder Aluminium 2 Tread","Abru","110.0CM","31.5CM","11.5CM","Step Ladders","H:110xW:31.5xD:11.5cm",NA,NA,"Aluminium",NA,1
"DEC","TIL","288813","UniBond Weather-Guard Outdoor Sealant Roof and Gutter Flexible Black","Unibond","23.2CM","4.9CM","4.9CM","Outdoor Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","288814","UniBond Sealant Finishing Tool","Unibond","18.5CM","10.0CM","2.0CM","Sealant Smoother","1 Pack",NA,"1",NA,NA,1
"DEC","TIL","288853","UniBond Weather Guard Outdoor Window and Frame Sealant White","Unibond","23.2CM","4.9CM","4.9CM","Window Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","288855","UniBond Super Window and Door Frame Interior and Exterior Sealant Brown 300ml","Unibond","23.2CM","4.9CM","4.9CM","Window Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","3144548","Unibond Super All Purpose Silicone Sealant Translucent 300ml","Unibond","23.2CM","4.9CM","4.9CM","All Purpose Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","3144578","Unibond Super All Purpose Silicone Sealant White 300ml","Unibond","23.2CM","4.9CM","4.9CM","All Purpose Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","322243","Unibond Kitchen and Bathroom Sealant Anti-Mould Translucent   150ml","Unibond","20.0CM","8.0CM","4.8CM","Bathroom and Kitchen Sealant","150ml",NA,"1",NA,NA,1
"DEC","TIL","335312","Unibond Shower, Bathroom and Kitchen Speed Seal Sealant White 300ml","Unibond","23.7CM","4.9CM","4.9CM","Bathroom and Kitchen Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","335313","Unibond Shower Bathroom and Kitchen Anti-Mould Sealant Triple Protection White 300ml","Unibond","23.2CM","4.9CM","4.9CM","Bathroom and Kitchen Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","341323","Unibond Go Seal 100ml","Unibond","22.5CM","5.4CM","5.4CM","Sealant","100ml",NA,"1",NA,NA,1
"DEC","TIL","433396","Unibond Re-New Silicone Sealant Ice White 130g","Unibond","21.5CM","12.0CM","3.1CM","Sealant Cleaner","130g",NA,"1",NA,NA,1
"DEC","TIL","64067","Unibond All Purpose Interior Sealant White 467g","Unibond","23.2CM","4.9CM","4.9CM","All Purpose Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","157232","Wilko Decorator Sealant All-Purpose Silicone White300g","Wilko","23.2CM","4.9CM","4.9CM","All Purpose Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","157233","Wilko All-Purpose Silicone Sealant Translucent 300g","Wilko","23.2CM","4.9CM","4.9CM","All Purpose Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","228982","Wilko Decorator Bathroom and Kitchen Silicone Sealant Translucent 300ml","Wilko","23.2CM","4.9CM","4.9CM","Bathroom and Kitchen Sealant","300ml",NA,"1",NA,NA,1
"DEC","TIL","288922","Wilko Sealing Strip Bathroom and Kitchen 38mmx3.35m","Wilko","17.0CM","14.0CM","4.6CM","Sealing Strip","38mmx3.35m",NA,"1",NA,NA,1
"DEC","TIL","343757","Wilko Tile Spacers 4mm 200pk","Wilko","20.0CM","12.0CM","2.0CM","Tools","4mm","White","200pcs",NA,NA,1
"DEC","TIL","343767","Wilko Combination Spreader","Wilko","1.0CM","8.0CM","18.0CM","Tools","18 x 8cm","Red","1",NA,NA,1
"DEC","TIL","427805","Wilko Heavy Duty Sealant Gun 11in","Wilko","6.0CM","20.0CM","42.0CM","Sealant Gun","11in",NA,"1",NA,NA,1
"DEC","WAL","436910","Disney Wallpaper Cars 2","Disney","1000.0CM","52.0CM",".1CM","Kids Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436948","Disney Wallpaper Frozen Snow Queen","Disney","1000.0CM","52.0CM",".1CM","Kids Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436950","Disney Wallpaper Pretty As A Princess","Disney","1000.0CM","52.0CM",".1CM","Kids Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436895","Fresco Wallpaper Brick Floral Frames","Fresco","1000.0CM","52.0CM",".1CM","Brick Effect Wallpaper","10m x 0.52m","White","1","Paper","5.2m²",1
"DEC","WAL","436896","Fresco Wallpaper Trinket Box","Fresco","1000.0CM","52.0CM",".1CM","Motif Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m²",1
"DEC","WAL","436916","Fresco Wallpaper Dulcie Blue","Fresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436917","Fresco Wallpaper Red Brick Wall","Fresco","1000.0CM","52.0CM",".1CM","Brick Effect Wallpaper","10m x 0.52m","Red","1","Paper","5.2m²",1
