"PSA_1","PSA_2","Article","Web Description","Brand","Type","Size","Material","Colour","Pack Qty","Coverage","DQ Score"
"DEC","ADH","441733","Gorilla Heavy Duty Mounting Tape 25.4mm x 1.52m","Gorilla Glue","Mounting Tape","1.52m",NA,NA,"1",NA,0.833333333333333
"DEC","ADH","222915","Loctite Super Glue Water Resistant Brush On 5g","Loctite","Superglue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","295291","Loctite Power Easy Gel 3g","Loctite","Superglue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","74309","Loctite Super Glue 5g","Loctite","Superglue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","74310","Loctite Super Glue Universal 3g","Loctite","Superglue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","237184","Unibond No More Nails Strips Removable Interior and Exterior 10pk","Unibond","No More Nails",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","245982","Unibond No More Nails Original Adhesive 300ml","Unibond","No More Nails",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","245983","Unibond No More Nails Original Interior 200ml","Unibond","No More Nails",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","323466","Unibond Power Tape Extra Strong Silver 50mmx25m","Unibond","DIY Tape",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","433385","Unibond Duct Tape 50m x 50mm 2pk","Unibond","Duct Tape","50mm x 50m",NA,NA,"2",NA,0.833333333333333
"DEC","ADH","433389","Unibond Strong Packaging Tape 50mm x 50m","Unibond","Packaging Tape","50mm x 50m",NA,NA,"1",NA,0.883333333333333
"DEC","ADH","433394","Unibond One For All Universal White 390g","Unibond","Bonding Glue","390g",NA,NA,"1",NA,0.93
"DEC","ADH","209358","Wilko Glass Glue 3g","Wilko","Glass Glue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","209359","Wilko Plastic Glue 20ml","Wilko","Plastic Glue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","288947","Wilko Fabric Glue 20ml","Wilko","Fabric Glue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","288948","Wilko Leather Glue 20ml","Wilko","Leather Glue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","81176","Wilko Super Glue 3g","Wilko","Super Glue",NA,NA,NA,NA,NA,0.883333333333333
"DEC","CAR","151437","RolaBond Carpet and Vinyl Metal Edgings Z SectionSilver 800mm","RolaBond","Carpet Edging","800mm",NA,NA,"1",NA,0.93
"DEC","CAR","169786","RolaBond Universal Carpet Gripper 12.2m/40ft/Approx.","RolaBond","Carpet Gripper","12.2m Approx",NA,NA,"8pk",NA,0.93
"DEC","CAR","2848740","RolaBond Carpet and Vinyl Metal Edgings Dual GripStandard Silver 800mm","RolaBond","Carpet Edging","800mm",NA,NA,NA,NA,0.86
"DEC","CAR","2848940","RolaBond Metal Edging Coverstrip Aluminium M104","RolaBond","Carpet Edging","800mm",NA,NA,"1",NA,0.93
"DEC","CAR","2849140","RolaBond Carpet and Vinyl Metal Edgings Vinyl EdgeSmall Silver 90cmx2.8cm","RolaBond","Carpet Edging","90cmx2.8cm",NA,NA,NA,NA,0.86
"DEC","CAR","2849240","RolaBond Hardwood and Vinyl Metal Edgings Vinyl Cover Strip Silver M107 90cmx2.5cm","RolaBond","Carpet Edging","90cmx2.5cm",NA,NA,NA,NA,0.86
"DEC","CAR","59489","RolaBond Hardwood and Vinyl Metal Edgings Coverstrip Extra Wide Silver 90cm x 6cm","RolaBond","Carpet Edging","90cmx6cm",NA,NA,"1",NA,0.93
"DEC","CAR","341317","Unibond Double Sided Tape 38mm x 5m","Unibond","Adhesive Tape and dispensers","38mmx5m",NA,NA,"1",NA,0.93
"DEC","CAR","341319","Unibond Permanent Carpet Tape 38mm x 5m","Unibond","Carpet Tape","38mmx5m",NA,NA,"1",NA,0.93
"DEC","CAR","151446","Wilko Natural Wood Flooring Trim H100-N 80cm x 9cm","Wilko","Wood Floor Trim","80x9cm",NA,NA,"1",NA,0.93
"DEC","CAR","340855","Wilko Laminate Curved Edge Silver M131","Wilko","Carpet Edging","1 Pack",NA,NA,"1",NA,0.93
"DEC","CAR","342921","Wilko Heavy Duty Spray Adhesive For Carpets","Wilko","Adhesive Spray",NA,NA,NA,"1",NA,0.86
"DEC","FIL","159219","Polycell 3 in 1 Mould Killer 500ml","Polycell","Mould Killer Spray","500ml",NA,NA,NA,NA,0.8
"DEC","FIL","160840","Polycell Fine Surface Polyfilla 400g","Polycell","Ready Mixed Filler","400g",NA,NA,NA,NA,0.8625
"DEC","FIL","160843","Polycell Fine Surface Polyfilla 500g","Polycell","Ready Mixed Filler","500g",NA,NA,NA,NA,0.8625
"DEC","FIL","162078","Polycell Finishing Skim Polyfilla 1L","Polycell","Skimming Filler","1L",NA,NA,NA,NA,0.9125
"DEC","FIL","200275","Polycell Quick Drying Polyfilla 500g","Polycell","Ready Mixed Filler","500g",NA,NA,NA,NA,0.9125
"DEC","FIL","237632","Polycell Damp Seal 500ml","Polycell","Damp Seal","500ml",NA,NA,NA,NA,0.9125
"DEC","FIL","237633","Polycell Damp Seal One Coat 1L","Polycell","Damp Seal","1L",NA,NA,NA,NA,0.9125
"DEC","FIL","288363","Polycell Finishing Skim Ready Mixed 2.5L","Polycell","Skimming Filler","25L",NA,NA,NA,NA,0.9125
"DEC","FIL","288365","Polycell Polyfilla Deep Gap 1L","Polycell","Ready Mixed Filler","1L",NA,NA,NA,NA,0.9125
"DEC","FIL","288366","Polycell Plaster Repair Ready Mixed 2.5L","Polycell","Plaster Repair","2.5L",NA,NA,NA,NA,0.9125
"DEC","FIL","3107040","Polycell Multi Purpose Polyfilla 1.8kg","Polycell","Powdered Filler","1.8kg",NA,NA,NA,NA,0.9125
"DEC","FIL","3111740","Polycell Multi Purpose Polyfilla 1kg","Polycell","Ready Mixed Filler","1kg",NA,NA,NA,NA,0.9125
"DEC","FIL","315534","Polycell Stain Stop Can 1L","Polycell","Stain Remover","1L",NA,NA,NA,NA,0.9125
"DEC","FIL","332445","Polycell Polyfilla Spray 300ml","Polycell","Spray Filler","300ml",NA,NA,NA,NA,0.9125
"DEC","FIL","92207","Polycell Multi Purpose Polyfilla 330g","Polycell","Ready Mixed Filler","330ml",NA,NA,NA,NA,0.9125
"DEC","FIL","77798","Polycell Flexible Gap Polyfilla Standard Cartridge290ml","Polyfilla","Ready Mixed Filler",NA,NA,NA,"1",NA,0.9125
"DEC","FIL","150102","Ronseal High Performance Wood Filler White PaintedFinish 275g","Ronseal","Wood Filler","275g",NA,NA,NA,NA,0.9125
"DEC","FIL","150111","Ronseal High Performance Wood Filler Natural Pine275g","Ronseal","Wood Filler","275g",NA,NA,NA,NA,0.9125
"DEC","FIL","150116","Ronseal Wet Rot Wood Hardener 250ml","Ronseal","Wood Hardener","250ml",NA,NA,NA,NA,0.9125
"DEC","FIL","199563","Ronseal Multi Purpose Wood Filler Natural Pine 100g","Ronseal","Wood Filler","100g",NA,NA,NA,NA,0.9125
"DEC","FIL","199566","Ronseal Multi Purpose Wood Filler Light Antique Pine 100g","Ronseal","Wood Filler","100g",NA,NA,NA,NA,0.9125
"DEC","FIL","199567","Ronseal Multi Purpose Wood Filler Medium Mahogany100g","Ronseal","Wood Filler","100g",NA,NA,NA,NA,0.9125
"DEC","FIL","199569","Ronseal Multi Purpose Wood Filler White Painted Finish 100g","Ronseal","Wood Filler","100g",NA,NA,NA,NA,0.9125
"DEC","FIL","127764","Wilko Decorator Exterior Filler Ready Mixed 330g","Wilko","Ready Mixed Filler","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","158725","Wilko Wood Filler Flexible Ready Mixed Brown 330g","Wilko","Wood Filler","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","215766","Wilko Ready Mix Quick Dry Filler 330g","Wilko","Ready Mixed Filler","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","215767","Wilko Filler All-Purpose Flexible Ready Mixed 330g","Wilko","Ready Mixed Filler","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","3106440","Wilko Filler All Purpose Ready Mixed 600g","Wilko","Ready Mixed Filler","600g",NA,NA,NA,NA,0.9125
"DEC","FIL","3112040","Wilko Fine Surface Filler 600g","Wilko","Ready Mixed Filler","600g",NA,NA,NA,NA,0.9125
"DEC","FIL","3112340","Wilko Decorator All-Purpose Filler Ready Mixed 1kg","Wilko","Ready Mixed Filler","1kg",NA,NA,NA,NA,0.9125
"DEC","FIL","342036","Wilko Damp Seal   White 0.75L","Wilko","Damp Seal","0.75L",NA,NA,NA,NA,0.9125
"DEC","FIL","342402","Wilko Patching Plaster 1.5Kg","Wilko","Plaster","1.5gk",NA,NA,NA,NA,0.9125
"DEC","FIL","342403","Wilko Exterior Powder  Filler 1.5Kg","Wilko","Powdered Filler","1.5kg",NA,NA,NA,NA,0.9125
"DEC","FIL","77958","Wilko Ready Mix Fine Surface Filler 330g","Wilko","Ready Mixed Filler","330g",NA,NA,NA,NA,0.9125
"DEC","FIL","77961","Wilko Filler Ready Mixed Flexible 310ml","Wilko","Ready Mixed Filler","310ml",NA,NA,NA,NA,0.9125
"DEC","INS","135521","Kilrock Damp Clear Moisture Trap","Kilrock","Moisture and Humidity Traps","500g",NA,NA,NA,NA,0.86
"DEC","INS","286004","Kilrock Gel-Safe Moisture Trap","Kilrock","Moisture and Humidity Traps",NA,NA,NA,"1",NA,0.86
"DEC","INS","286005","Kilrock Gel-Safe Moisture Trap Refill x 2","Kilrock","Moisture and Humidity Traps","2 Pack",NA,NA,"1",NA,0.93
"DEC","INS","286745","Unibond Aero 360 Moisture Absorber 450g","Unibond","Moisture and Humidity Traps","450g",NA,NA,"1pk",NA,0.93
"DEC","INS","286746","Unibond Aero 360 Moisture Refill 2x450g","Unibond","Moisture and Humidity Traps","2x450g",NA,NA,"2pk",NA,0.93
"DEC","INS","315541","Unibond Humidity Absorber Kit 300g","Unibond","Moisture and Humidity Traps","300g",NA,NA,NA,NA,0.86
"DEC","INS","315542","Unibond Humidity Absorber Refill Tablets 300g 2pk","Unibond","Moisture and Humidity Traps","300g",NA,NA,NA,NA,0.86
"DEC","INS","427654","Unibond Aero 360 Refill 2pk","Unibond","Aero 360 Refill","450g x 2",NA,NA,"2pk",NA,0.93
"DEC","INS","147738","Wilko Pipe Insulation 15mmx1m 5pk","Wilko","Pipe Insulation","1m",NA,NA,"1",NA,0.93
"DEC","INS","236113","Wilko Door and Window Seal White 5m","Wilko","Draught Excluder","5m",NA,NA,"1",NA,0.93
"DEC","INS","286006","Wilko Reflective Radiator Foil 50cmx5m","Wilko","Radiator Reflective Foil","5m x 50cm",NA,NA,"1",NA,0.93
"DEC","INS","344882","Wilko Pipe Insulation 1m x 22mm 5pk","Wilko","Pipe Insulation","5x1mx22mm",NA,NA,"1",NA,0.93
"DEC","INS","344883","Wilko Self Adhesive Door Strip Brown","Wilko","Draught Excluder",NA,NA,NA,"1",NA,0.86
"DEC","INS","344884","Wilko Self Adhesive Door Strip White","Wilko","Draught Excluder",NA,NA,NA,"1",NA,0.86
"DEC","INS","5641040","Wilko Condensation Drip Strip 6m","Wilko","Condensation Drip Strip","6m",NA,NA,"1",NA,0.93
"DEC","INS","97157","Draught Seal E White SFDP210 6m","Wilko","Draught Seals","6m",NA,NA,"1",NA,0.88
"DEC","INS","97160","Wilko Door and Window E Seal Brown 6m","Wilko","Draught Excluder","6m",NA,NA,"1",NA,0.93
"DEC","INS","97190","Draught Seal White SFDP12 15m","Wilko","Draught Excluder","15m",NA,NA,NA,NA,0.81
"DEC","INS","97192","Draught Seal P White SFDP220 6m","Wilko","Draught Seals","6m",NA,NA,"1",NA,0.88
