"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"DEC","ADH","4224040","Copydex Adhesive 125ml","Copydex","10.5CM","4.9CM","4.9CM","Strong Adhesive",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","421517","Gorilla Tape 11m","Gorilla Glue","11.5CM","11.5CM","5.0CM","DIY Tape",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421519","Gorilla Tape Handy Roll 9.14m x 25mm","Gorilla Glue","14.4CM","8.3CM","3.0CM","Adhesive Tape and dispensers",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421525","Gorilla Glue 60ml","Gorilla Glue","17.0CM","8.5CM","3.2CM","Multi Purpose Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","421526","Gorilla Glue 115ml","Gorilla Glue","17.0CM","6.4CM","4.6CM","Multi Purpose Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","421527","Gorilla Glue 250ml","Gorilla Glue","17.7CM","5.6CM","5.6CM","Multi Purpose Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","421528","Gorilla Wood Glue 118ml","Gorilla Glue","15.4CM","6.3CM","2.7CM","Wood Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421530","Gorilla Wood Glue 532ml","Gorilla Glue","23.9CM","6.5CM","6.5CM","Wood Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421531","Gorilla Epoxy Glue 25ml","Gorilla Glue","22.0CM","8.6CM","3.6CM","Epoxy Glue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421532","Gorilla Superglue 3g 2pk","Gorilla Glue","16.8CM","8.5CM","1.5CM","Superglue",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421533","Gorilla Superglue 15g","Gorilla Glue","16.8CM","8.5CM","3.0CM","Superglue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","421534","Gorilla Superglue Gel 15g","Gorilla Glue","16.8CM","8.5CM","3.0CM","Superglue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","441732","Gorilla Heavy Duty Grab Adhesive 290ml","Gorilla Glue","23.5CM","5.0CM","5.0CM","Bonding Glue","290ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","441733","Gorilla Heavy Duty Mounting Tape 25.4mm x 1.52m","Gorilla Glue","15.2CM","8.6CM","3.2CM","Mounting Tape","1.52m",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DEC","ADH","169379","Unibond Powertape Black 50mmx25m","Henkel","11.7CM","11.7CM","5.1CM","Waterproof Tape",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","ADH","150185","Loctite Super Glue Powerflex Gel 3g","Loctite","16.5CM","9.8CM","2.9CM","Superglue",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"DEC","ADH","222915","Loctite Super Glue Water Resistant Brush On 5g","Loctite","16.5CM","9.8CM","1.5CM","Superglue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","295291","Loctite Power Easy Gel 3g","Loctite","16.5CM","9.8CM","1.8CM","Superglue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","433384","Loctite 60 Seconds All Purpose Glue 20g","Loctite","21.5CM","12.0CM","1.6CM","All Purpose Glue","20g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
