"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","DQ Score"
"203197","Astral Original All Over Moisturiser 200ml","Astral","Body Moisturiser",NA,"200ml",NA,0.9125
"136386","Clean & Clear Deep Cleansing Lotion 200ml","Clean & Clear","Cleansing Lotion",NA,"200ml",NA,0.9125
"150074","Clean & Clear Cream Wash 150ml","Clean & Clear","Face Wash",NA,"150ml",NA,0.9125
"201874","Clean & Clear Blackhead Cleanser 200ml","Clean & Clear","Face Wash",NA,"200ml",NA,0.9125
"171523","Dove Essential Nourishing Body Lotion 250ml","Dove","Body Moisturiser",NA,"250ml",NA,0.9125
"204689","Dove Essential Nourishing Lotion 400ml","Dove","Body Moisturiser",NA,"400ml",NA,0.9125
"228640","Dove Rich Moisturising Creme 150ml","Dove","Body Moisturiser",NA,"150ml",NA,0.9125
"278452","Dove Intensive Nourishment Body Butter 250ml","Dove","Body Butter",NA,"250ml",NA,0.9125
"428329","Dove Derma Spa Summer Revived Medium to Dark SkinBody Lotion 200ml","Dove","Body Moisturiser",NA,"200ml",NA,0.9125
"454552","Dove Marula Oil and Mango Cream 250ml","Dove","Body Moisturiser","1",NA,NA,0.9125
"454556","Dove Coconut and Almond Milk Lotion 400ml","Dove","Body Moisturiser","1",NA,NA,0.8625
"454559","Dove Marula Oil and Mango Lotion 400ml","Dove","Body Moisturiser","1",NA,NA,0.8625
"183732","E45 Itch Relief Cream 50g","E45","Dermatological Cream",NA,"50g",NA,0.9125
"201858","E45 Dermatological Cream 125g","E45","Dermatological Cream",NA,"125g",NA,0.9125
"207609","E45 Dermatological Moisturising Lotion 500ml","E45","Dermatological Cream","1",NA,NA,0.9125
"319914","E45 Dermatological Intense Recovery Lotion 400ml","E45","Dermatological Cream",NA,"400ml",NA,0.9125
"408917","E45 Dermatological Intense RecoveryHand Cream 50ml","E45","Hand Cream","1",NA,NA,0.9125
"338589","Freederm Deep Pore Cleansing Wipes 25pk","Freedom","Face Wipes and Pads","25pk",NA,NA,0.8625
"338590","Freederm Exfoliating Daily Wash 150ml","Freedom","Face Wash",NA,"150ml",NA,0.8625
"338592","Freederm Face Gel 10g","Freedom","Spot Creams and Pens",NA,"10g",NA,0.8625
"218472","Garnier Skin Naturals Ultra Lift Anti WrinkleFirming Day Cream 50ml","Garnier","Facial Moisturisers",NA,"50ml",NA,0.9125
"244504","Garnier Summer Body Light Gradual Tan Moisturiser250ml","Garnier","Body Moisturiser",NA,"250ml",NA,0.9125
"244505","Garnier Summer Body Dark Gradual Tan Moisturiser250ml","Garnier","Body Moisturiser",NA,"250ml",NA,0.9125
"309833","Garnier Simply Essential Facial Cleansing Wipes25pk","Garnier","Face Wipes and Pads","25pk",NA,NA,0.9125
"310754","Garnier Intensive 7 Days Mango Body Lotion DrySkin 250ml","Garnier","Body Moisturiser",NA,"250ml",NA,0.9125
"439892","Garnier Ultimate Blends Oat Body Lotion SensitiveSkin 400ml","Garnier","Body Moisturiser","1",NA,NA,0.9125
"446032","Derma Rescue Oil 75ml","Healthpoint","Body Moisturiser","1",NA,NA,0.8625
"163845","Johnsons Face Care Wipes 25pk","Johnsons","Face Wipes and Pads","25pk",NA,NA,0.9125
"281696","Johnsons 3in1 Normal Refresh Wipes 25pk","Johnsons","Face Wipes and Pads","25",NA,NA,0.9125
"303351","Johnsons Daily Essential Moisturisng  Wipes 25pk","Johnsons","Face Wipes and Pads","25pk",NA,NA,0.9125
"331759","Clean & Clear Exfoliating Wash 150ml","Johnsons","Face Wash","1",NA,NA,0.8625
"207774","L'Oreal Paris Revitalift Anti Wrinkle Firming DayCream 50ml","L'Oreal","Facial Moisturisers",NA,"50ml",NA,0.9125
"207779","L'Oreal Paris Revitalift Anti Wrinkle Night Cream 50ml","L'Oreal","Facial Moisturisers",NA,"50ml",NA,0.9125
"207782","L'Oreal Paris Age Perfect Hydrating Night Cream50ml","L'Oreal","Facial Moisturisers",NA,"50ml",NA,0.9125
"295311","L'Oreal Paris Triple Active Day MoisturiserNormal to Combination Skin 50ml","L'Oreal","Facial Moisturisers",NA,"50ml",NA,0.9125
"295312","L'Oreal Paris Triple Active Day Moisturiser Dryand Sensitive Skin 50ml","L'Oreal","Facial Moisturisers",NA,"50ml",NA,0.9125
"310862","L'Oreal Paris Age Perfect Cleansing Milk 200ml","L'Oreal","Cleansing Lotion",NA,"200ml",NA,0.9125
"310863","L'Oreal Paris Age Perfect Refreshing Toner 200ml","L'Oreal","Facial Moisturisers",NA,"200ml",NA,0.9125
"310864","L'Oreal Paris Age Perfect Cleansing Wipes x25","L'Oreal","Face Wipes and Pads","1",NA,NA,0.9125
"310866","L'Oreal Paris Triple Active Day Moisturiser VeryDry Skin 50ml","L'Oreal","Facial Moisturisers",NA,"50ml",NA,0.9125
"163986","Norwegian Formula Hand Cream 50ml","Neutrogena","Hand Cream",NA,"50ml",NA,0.8625
"319836","Neutrogena Fast Absorbing Hand Cream LightTexture 75ml","Neutrogena","Hand Cream",NA,"75ml",NA,0.9125
"100667","Nivea Creme 200ml","Nivea","Body Moisturiser",NA,"200ml",NA,0.9125
"101052","Nivea Q10 Plus Anti-Wrinkle Day Cream SPF 15 50ml","Nivea","Facial Moisturisers",NA,"50ml",NA,0.9125
"101055","Nivea Body Rich Nourishing Moisturiser 250ml","Nivea","Body Moisturiser",NA,"250ml",NA,0.9125
"154755","Nivea Daily Essentials 3 in 1 Refreshing CleansingWipes Normal Skin 20s","Nivea","Face Wipes and Pads","20",NA,NA,0.9125
"160479","Nivea Q10 Plus Anti-Wrinkle Night Cream 50ml","Nivea","Facial Moisturisers",NA,"50ml",NA,0.9125
"181982","Nivea Lotion Dry Skin 250ml","Nivea","Body Moisturiser",NA,"250ml",NA,0.9125
"182025","Nivea Q10 Plus Anti-Wrinkle Eye Cream 15ml","Nivea","Eye Care",NA,"15ml",NA,0.9125
"182128","Nivea Lotion Normal Skin 250ml","Nivea","Body Moisturiser",NA,"250ml",NA,0.9125
"197685","Nivea Daily Essentials 3 in 1 Gentle CleansingWipes Dry Skin 20s","Nivea","Face Wipes and Pads","20",NA,NA,0.9125
"249650","Nivea Visage Tinted Moisturising Day Cream Natural50ml","Nivea","Facial Moisturisers",NA,"50ml",NA,0.9125
"249652","Nivea Pearly Shine Lip Balm 4.8g","Nivea","Balms","1","4.8g",NA,0.93
"249653","Nivea Daily Essentials Rich Moisturising DayCream SPF 15 50ml","Nivea","Facial Moisturisers",NA,"50ml",NA,0.9125
"306724","Nivea Hydro Care Lip Balm SPF 15 4.8g","Nivea","Lip Balm",NA,NA,NA,0.825
"335307","Nivea Daily Essentials Express Hydration PrimerNormal Skin 50ml","Nivea","Facial Moisturisers",NA,"50ml",NA,0.9125
"338506","Nivea In-Shower Body Moisturiser Nourishing 250ml","Nivea","Body Moisturiser",NA,"250ml",NA,0.9125
"338596","Nivea Lip Butter Raspberry Rosé 19ml","Nivea","Lip Butter","1","19ml",NA,0.93
"351604","Nivea Lip Butter Vanilla and Macadamia 19ml","Nivea","Lip Butter","1","16.7g",NA,0.93
"433807","Nivea Facial Cleansing Wipes 25pk","Nivea","Face Wipes","25",NA,NA,0.9125
"433813","Nivea Fruity Shine Strawberry Lip Balm 4.8g","Nivea","Lip Balm","1","4.8G",NA,0.93
"433814","Nivea Fruity Shine Peach Lip Balm 4.8g","Nivea","Lip Balm","1","4.8G",NA,0.93
"433815","Nivea Fruity Shine Cherry Lip Balm 4.8g","Nivea","Lip Balm","1","4.8G",NA,0.93
"433816","Nivea Fruity Shine Watermelon Lip Balm 4.8g","Nivea","Lip Balm","1","4.8G",NA,0.93
"444216","Nivea Original Care Lip Balm 4.8g","Nivea","Lip Balm","1",NA,NA,0.86
"447464","Nivea Daily Essentials 3 in 1 Cleansing MicellarWipes All Skin Types 25s","Nivea","Face Wipes","25",NA,NA,0.9125
"125950","Olay Beauty Fluid Sensitive 200ml","Olay","Facial Moisturisers",NA,"200ml",NA,0.9125
"142641","Olay Gentle Cleansers Conditioning Milk Normal/Dry/Sensitive Skin 200ml","Olay","Cleansing Lotion",NA,"200ml",NA,0.9125
"146754","Olay Complete Care Day Fluid UV Normal/Oily SPF 15100ml","Olay","Facial Moisturisers",NA,"200ml",NA,0.9125
"171438","Olay Daily Facials Refill Normal to Dry 30pk","Olay","Facial Moisturisers","1",NA,NA,0.9125
"248483","Olay Anti Wrinkle Firming Day Cream SPF 15 50ml","Olay","Facial Moisturisers",NA,"50ml",NA,0.9125
"249622","Olay Complete Care Day Fluid UV Sensitive SPF15100ml","Olay","Facial Moisturisers",NA,"100ml",NA,0.9125
"264905","Olay Gentle Cleanser Cleaning Wipes 20pk","Olay","Face Wipes and Pads","1",NA,NA,0.9125
"277772","Olay Anti-Wrinkle Provital Day Cream Mature SkinSPF15 50ml","Olay","Facial Moisturisers",NA,"50ml",NA,0.9125
"277774","Olay Anti Wrinkle Provital Night Cream MatureSkin 50ml","Olay","Facial Moisturisers",NA,"50ml",NA,0.9125
"277780","Olay Complete Care Enriched Night Cream Normaland Dry Skin 50ml","Olay","Facial Moisturisers",NA,"50ml",NA,0.9125
"277818","Olay Double Action Day Cream Sensitive 50ml","Olay","Facial Moisturisers",NA,"50ml",NA,0.9125
"278820","Olay Anti Wrinkle Instant Hydration Day Cream 50ml","Olay","Facial Moisturisers",NA,"50ml",NA,0.9125
"281330","Olay Anti Wrinkle Instant Hydration Day Serum 50ml","Olay","Serums",NA,"50ml",NA,0.9125
"309636","Olay Anti Wrinkle Firm and Lift 2in1 Day Creamand Serum 50ml","Olay","Serums",NA,"50ml",NA,0.9125
"329445","OLAY Total Effects 2in1 Serum 40ml","Olay","Serums",NA,"40ml",NA,0.9125
"427748","Olay Anti Wrinkle Firm and Lift Lotion 30ml","Olay","Facial Moisturisers","1",NA,NA,0.9125
"433559","Olay Total Effects Feather Weight Moisturiser 50ml","Olay","Face Cream",NA,"50ml",NA,0.8625
"302202","Palmers Cocoa Butter Concentrated Cream 60g","Palmers","Dry and Itchy Skin",NA,"60g",NA,0.9125
"433545","Sanex Advance Atopi Care Body Lotion 250ml","Sanex","Body Moisturiser",NA,NA,NA,0.825
"433547","Sanex Advance Hydrate 24 HourHand Cream 75ml","Sanex","Hand Cream",NA,NA,NA,0.825
"433548","Sanex Advance Atopi Care Hand Cream 75ml","Sanex","Hand Cream",NA,NA,NA,0.825
"433550","Sanex Advance Hydrate 24 Hour Body Lotion 400ml","Sanex","Body Moisturiser",NA,"400ml",NA,0.9125
"433551","Sanex Advance Atopi Care Body Lotion 400ml","Sanex","Body Moisturiser",NA,NA,NA,0.825
"159831","Simple Cleansing Wipes 25pk","Simple","Face Wipes and Pads","25",NA,NA,0.9125
"33455","Simple Hydrating  Lotion 125ml","Simple","Body Moisturiser",NA,"125ml",NA,0.9125
"338352","Simple Kind to Eyes Soothing Eye Balm 15ml","Simple","Eye Care",NA,"15ml",NA,0.9125
"338353","Simple Kind to Skin Refreshing Facial Wash Gel 150ml","Simple","Face Wash",NA,"150ml",NA,0.9125
"351175","Simple Spotless Triple Action Facewash 150ml","Simple","Face Wash",NA,"15ml",NA,0.9125
"351177","Simple Spotless Skin Quick Fix Cleansing Wipes25pk","Simple","Face Wipes and Pads","1",NA,NA,0.9125
"351181","Simple Spotless Rapid Action Spot Zapper 15ml","Simple","Spot Creams and Pens","1",NA,NA,0.9125
"433797","Simple Kind To Skin Micellar Cleansing Wipes 25pk","Simple","Make Up Remover",NA,NA,NA,0.825
"433798","Simple Kind To Skin Micellar Cleansing Water 200ml","Simple","Make Up Remover",NA,NA,NA,0.825
"437554","Simple Anti Blemish Moisturiser 75ml","Simple","Face Cream",NA,"75ml",NA,0.9125
"279560","St Ives Fresh Skin Apricot Facial Scrub 150ml","St Ives","Face Washes and Body Scrubs",NA,"150ml",NA,0.9125
"154756","Vaseline Lip Therapy Original 20g","Vaseline","Balms",NA,"20g",NA,0.86
"214587","Vaseline Lip Therapy Aloe Vera 20g","Vaseline","Balms","1",NA,NA,0.86
"222075","Vaseline Advanced Repair Lotion 400ml","Vaseline","Body Moisturiser",NA,"400ml",NA,0.9125
"338351","Vaseline Lip Therapy Rosy Lip Balm 20g","Vaseline","Balms","1","20g",NA,0.93
"338369","Vaseline Intensive Care Cocoa Lotion 400ml","Vaseline","Body Moisturiser",NA,"400ml",NA,0.9125
"351187","Vaseline Lip Therapy Cocoa Butter 20g","Vaseline","Balms","1","20g",NA,0.93
"419518","Vaseline Intensive Care Cocoa Spray Moisturiser190ml","Vaseline","Body Moisturiser",NA,"190ml",NA,0.9125
"419519","Vaseline Intensive Care Aloe Soothe SprayMoisturiser 190ml","Vaseline","Body Moisturiser",NA,"190ml",NA,0.9125
"66518","Vaseline Intensive Care Healthy Hands andStronger Nails Hand Cream 75ml","Vaseline","Hand Cream",NA,"75ml",NA,0.9125
"347843","Skin Therapy Sensitive Skin Fragrance Free Wipes25pk","Wilko","Face Wipes and Pads","25",NA,NA,0.8625
"347844","Skin Therapy Normal and Combination LightyFragranced Wipes 25pk","Wilko","Face Wipes and Pads","25",NA,NA,0.8625
"347845","Skin Therapy Tea Tree  Wipes 25pk","Wilko","Face Wipes and Pads","25",NA,NA,0.8625
"347909","Skin Therapy Sensitive Skin Cleanser 150ml","Wilko","Cleansing Lotion","1",NA,NA,0.8625
"347920","Wilko Anti Ageing Hand Lotion 75ml","Wilko","Hand Cream","1",NA,NA,0.9125
"348862","Kiss Lip Scrub 10g","Wilko","Lip Scrub","1","10g",NA,0.88
"437773","Wilko Spotless Exfoliating Wash 150ml","Wilko","Face Wash","1",NA,NA,0.9125
