"Article","Web Description","DQ Score"
"454556","Dove Coconut and Almond Milk Lotion 400ml",0.8625
"454559","Dove Marula Oil and Mango Lotion 400ml",0.8625
"303391","Nivea Pure and Natural Soothing Day Cream 50ml",0.95
"304155","Nivea Pure and Natural Moisturising Day Cream 50ml",0.95
"433559","Olay Total Effects Feather Weight Moisturiser 50ml",0.8625
"419517","Vaseline Moisturiser Aerosol Essential 190ml",0.95
