"Article","Web Description","Brand","Type","Pack Qty","DQ Score"
"257784","Gold Stars Start to Write Educational Workbook Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books","1",1
"431391","Gold Stars Reception Maths Ages 4-5 Years","Gold Stars","Study & Revision Books","1",1
"431392","Gold Stars Reception English Ages 4-5 Years","Gold Stars","Study & Revision Books","1",1
"431393","Gold Stars Ready for School Big Workbook Assorted","Gold Stars","Study & Revision Books","1",1
"431044","Help with Homework First Learning Counting and Alphabet Ages 3-5 Years Assorted","Help With Homework","Study & Revision Books","1",1
"431048","Help with Homework Key Stage 1 Spelling and Numbers Ages 5-7 Years Assorted","Help With Homework","Study & Revision Books","1",1
"431346","Help with Homework Maths and English Ages 5+ YearsAssorted","Help With Homework","Study & Revision Books","1",1
"431347","Help with Homework First Time Learning Books Ages3+ Years","Help With Homework","Study & Revision Books","1",1
"431379","Help with Homework First Time Learning Wipe CleanPad Ages 3+ Years Assorted","Help With Homework","Study & Revision Books","1",1
"431380","Help with Homework Reward Pads Ages 5+ Years Assorted","Help With Homework","Study & Revision Books","1",1
"431381","Help with Homework Handwriting Ages 5+ Years","Help With Homework","Study and Revision Books","1",1
"431382","Help with Homework Bumper Workbook","Help With Homework","Study & Revision Books","1",1
"431456","Help with Homework Pad Maths Ages 5+ Years","Help With Homework","Study & Revision Books","1",1
"431457","Help with Homework Adding and Subtracting Ages 7+Years","Help With Homework","Study & Revision Books","1",1
"411716","Wilko Pocket Puzzles Crosswords","Wilko","Puzzle Books","1",1
"411717","Wilko Pocket Puzzles Sudoku","Wilko","Puzzle Books","1",1
"411718","Wilko Pocket Puzzles Wordsearch","Wilko","Puzzle Books","1",1
"411719","Wilko Pocket Puzzles Kriss Kross","Wilko","Puzzle Books","1",1
"411720","Wilko Pocket Puzzles Brain Training Teasers","Wilko","Puzzle Books","1",1
"411728","Wilko Crosswords Large Print","Wilko","Puzzle Books","1",1
"411730","Wilko Spot The Difference","Wilko","Puzzle Books","1",1
"411732","Wilko Number Fun Sudoku","Wilko","Puzzle Books","1",1
"411733","Wilko Mind Melting Crosswords","Wilko","Puzzle Books","1",1
"411734","Wilko Puzzle Tastic Wordsearch","Wilko","Puzzle Books","1",1
