"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"453407","HandiPOD Purple Poop Bag Dispenser andAntibacterial Hand Sanitiser","HandiPOD","Waste Bags","Purple","1","14.5 x 4.5 x 4.5cm",1
"9506240","Wilko Vinyl Pet Flea and Tick Collar","Wilko","Flea Collar","Black","1","From 12 weeks",1
