"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"434601","Crown Matt Emulsion PaintCity Break 2.5L","Crown","Matt Paint","35 Square metres","Grey","1","2.5L",1
"434602","Crown Matt Emulsion PaintClay White 2.5L","Crown","Matt Paint","35 Square metres","White","1","2.5L",1
"434603","Crown Matt Emulsion PaintCloud Burst 2.5L","Crown","Matt Paint","35 Square metres","Grey","1","2.5L",1
"434604","Crown Matt Emulsion PaintCover Story 2.5L","Crown","Matt Paint","35 Square metres","Purple","1","2.5L",1
"434605","Crown Matt Emulsion PaintCream White 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434607","Crown Matt Emulsion PaintCrushed Chocolate 2.5L","Crown","Matt Paint","35 Square metres","Brown","1","2.5L",1
"434609","Crown Matt Emulsion PaintDelicate Cream 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434610","Crown Matt Emulsion PaintDream White 2.5L","Crown","Matt Paint","35 Square metres","White","1","2.5L",1
"434611","Crown Matt Emulsion PaintDuck Egg 2.5L","Crown","Matt Paint","35 Square metres","Blue","1","2.5L",1
"434612","Crown Matt Emulsion PaintEnglish Fire 2.5L","Crown","Matt Paint","35 Square metres","Red","1","2.5L",1
"434613","Crown Matt Emulsion PaintEnglish Muffin 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434614","Crown Matt Emulsion PaintFairy Dust 2.5L","Crown","Matt Paint","35 Square metres","Pink","1","2.5L",1
"434616","Crown Matt Emulsion PaintGentle Olive 2.5L","Crown","Matt Paint","35 Square metres","Green","1","2.5L",1
"434617","Crown Matt Emulsion PaintGranite Dust 2.5L","Crown","Matt Paint","35 Square metres","Grey","1","2.5L",1
"434618","Crown Matt Emulsion PaintHappy Daze 2.5L","Crown","Matt Paint","35 Square metres","Yellow","1","2.5L",1
"434620","Crown Matt Emulsion PaintHoney Dip 2.5L","Crown","Matt Paint","35 Square metres","Yellow","1","2.5L",1
"434621","Crown Matt Emulsion PaintIvory Cream 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434622","Crown Matt Emulsion PaintLavender Cupcake 2.5L","Crown","Matt Paint","35 Square metres","Purple","1","2.5L",1
"434624","Crown Matt Emulsion PaintLupin 2.5L","Crown","Matt Paint","35 Square metres","Blue","1","2.5L",1
"434625","Crown Matt Emulsion PaintMagnolia 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434626","Crown Matt Emulsion PaintMellow Sage 2.5L","Crown","Matt Paint","35 Square metres","Green","1","2.5L",1
"434627","Crown Matt Emulsion PaintMilk White 2.5L","Crown","Matt Paint","35 Square metres","White","1","2.5L",1
"434629","Crown Matt Emulsion PaintMustard Jar 2.5L","Crown","Matt Paint","35 Square metres","Yellow","1","2.5L",1
"434633","Crown Matt Emulsion PaintPaper Heart 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434634","Crown Matt Emulsion PaintPicnic Basket 2.5L","Crown","Matt Paint","35 Square metres","Brown","1","2.5L",1
"434636","Crown Matt Emulsion PaintPowder Blue 2.5L","Crown","Matt Paint","35 Square metres","Blue","1","2.5L",1
"434638","Crown Matt Emulsion PaintSail White 2.5L","Crown","Matt Paint","35 Square metres","White","1","2.5L",1
"434639","Crown Matt Emulsion PaintSandcastle 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434640","Crown Matt Emulsion PaintSeldom Seen 2.5L","Crown","Matt Paint","35 Square metres","Grey","1","2.5L",1
"434641","Crown Matt Emulsion PaintSerene White 2.5L","Crown","Matt Paint","35 Square metres","White","1","2.5L",1
"434642","Crown Matt Emulsion PaintSmoked Glass 2.5L","Crown","Matt Paint","35 Square metres","Grey","1","2.5L",1
"434644","Crown Matt Emulsion PaintSnowfall 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434646","Crown Matt Emulsion PaintSoft Lime 2.5L","Crown","Matt Paint","35 Square metres","Green","1","2.5L",1
"434647","Crown Matt Emulsion PaintSoft Linen 2.5L","Crown","Matt Paint","35 Square metres","Cream","1","2.5L",1
"434649","Crown Matt Emulsion PaintSpotlight 2.5L","Crown","Matt Paint","35 Square metres","Grey","1","2.5L",1
"434650","Crown Matt Emulsion PaintSpring White 2.5L","Crown","Matt Paint","35 Square metres","White","1","2.5L",1
"434651","Crown Matt Emulsion PaintStepping Stone 2.5L","Crown","Matt Paint","35 Square metres","Blue","1","2.5L",1
"434653","Crown Matt Emulsion PaintSunrise 2.5L","Crown","Matt Paint","35 Square metres","Yellow","1","2.5L",1
"434654","Crown Matt Emulsion PaintSweet Dreams 2.5L","Crown","Matt Paint","35 Square metres","Purple","1","2.5L",1
