"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","Material","DQ Score"
"436895","Fresco Wallpaper Brick Floral Frames","Fresco","Brick Effect Wallpaper","5.2m²","White","1","10m x 0.52m","Paper",1
"436896","Fresco Wallpaper Trinket Box","Fresco","Motif Wallpaper","5.2m²","Grey","1","10m x 0.52m","Paper",1
"436921","Fresco Wallpaper Flutter Forest Multicoloured","Fresco","Animal Print Wallpaper","5.2m²","Multi","1","10m x 0.52m","Paper",1
"436934","Fresco Wallpaper Bookcases Multicoloured","Fresco","Motif Wallpaper","5.2m²","Multi","1","10m x 0.52m","Paper",1
"436936","Fresco Wallpaper Wood Panel Neutral","Fresco","Wooden Effect Wallpaper","5.2m²","Cream","1","10m x 0.52m","Paper",1
"439101","Fresco Wallpaper Plank Love Heart","Fresco","Wooden Effect Wallpaper","5.2m²","Grey","1","10m x 0.52m","Paper",1
"439104","Fresco Wallpaper Vintage Frames Neutral","Fresco","Motif Wallpaper","5.2m²","Cream","1","10m x 0.52m","Paper",1
"439107","Fresco Wallpaper Wine Bottles","Fresco","Motif Wallpaper","5.2m²","Brown","1","10m x 0.52m","Paper",1
"450111","Superfresco Wallpaper Romantic Wood","Fresco","Wooden Effect Wallpaper","5.2m²","Multi","1","10m x 0.52m","Paper",1
"436877","Superfresco Wallpaper Aria Neutral","Superfresco","Plain and Textured Wallpaper","5.2m²","Cream","1","10m x 0.52m","Paper",1
"436882","Superfresco Wallpaper Milan Taupe","Superfresco","Plain and Textured Wallpaper","5.2m²","Gold","1","10m x 0.52m","Paper",1
"436888","Superfresco Wallpaper Matrix Taupe","Superfresco","Plain and Textured Wallpaper","5.2m²","Brown","1","10m x 0.52m","Paper",1
"436919","Superfresco Wallpaper Classica Damask Neutral","Superfresco","Damask Wallpaper","5.2m²","Cream","1","10m x 0.52m","Paper",1
"436938","Superfresco Wallpaper Apollo Mink","Superfresco","Plain and Textured Wallpaper","5.2m²","Grey","1","10m x 0.52m","Paper",1
"436940","Superfresco Wallpaper Vienna Cream/Silver","Superfresco","Plain and Textured Wallpaper","5.2m²","Multi","1","10m x 0.52m","Paper",1
"436951","Superfresco Wallpaper Silken Stria White Shimmer","Superfresco","Plain and Textured Wallpaper","5.2m²","Cream","1","10m x 0.52m","Paper",1
"439141","Superfresco Easy Wallpaper Aura Taupe","Superfresco","Floral Wallpaper","5.2m²","Brown","1","10m x 0.52m","Paper",1
"439145","Superfresco Wallpaper Easy Eternal Chocolate/Bronze","Superfresco","Floral Wallpaper","5.2m²","Brown","1","10m x 0.52m","Paper",1
"439146","Superfresco Wallpaper Easy Eternal Cream/Gold","Superfresco","Floral Wallpaper","5.2m²","Cream","1","10m x 0.52m","Paper",1
"439147","Superfresco Easy Wallpaper Eternal Grey","Superfresco","Floral Wallpaper","5.2m²","Grey","1","10m x 0.52m","Paper",1
"439150","Superfresco Wallpaper Easy Innocence Mushroom","Superfresco","Leaf Print Wallpaper","5.2m²","Brown","1","10m x 0.52m","Paper",1
"439163","Superfresco Wallpaper Optimum White/Duck Egg","Superfresco","Geometric Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
"439164","Superfresco Wallpaper Vienna White/Silver","Superfresco","Plain and Textured Wallpaper","5.2m²","Silver","1","10m x 0.52m","Paper",1
"439479","Superfresco Easy Wallpaper Karma Taupe and Charcoal Grey","Superfresco","Floral Wallpaper","5.2m²","Grey","1","10m x 0.52m","Paper",1
"449746","Superfresco Wallpaper Sprig Silver","Superfresco","Floral Wallpaper","5.2m²","Silver","1","10m x 0.52m","Paper",1
"449756","Superfresco Wallpaper Lotus Flower","Superfresco","Floral Wallpaper","5.2m²","White","1","10m x 0.52m","Paper",1
"450110","Superfresco Wallpaper Easy Aura Grey","Superfresco","Floral Wallpaper","5.2m²","Grey","1","10m x 0.52m","Paper",1
"436920","Wilko Wallpaper Branches Neutral","Wilko","Leaf Print Wallpaper","5.2m²","Cream","1","10m x 0.52m","Paper",1
"449726","Wilko Wallpaper Sanctuary Green","Wilko","Leaf Print Wallpaper","5.33m²","Green","1","10.05m x 0.53m","Paper",1
"449743","Wilko Wallpaper Cheese Plant White and Silver","Wilko","Floral Wallpaper","5.2m²","Silver","1","10m x 0.52m","Paper",1
"449744","Wilko Wallpaper Cherry Blossom Neutral","Wilko","Floral Wallpaper","5.2m²","Cream","1","10m x 0.52m","Paper",1
"449745","Wilko Wallpaper Cherry Blossom Red","Wilko","Floral Wallpaper","5.2m²","Red","1","10m x 0.52m","Paper",1
"449749","Wilko Wallpaper Jackson Stripe Neutral","Wilko","Striped Wallpaper","5.2m²","Brown","1","10m x 0.52m","Paper",1
"449750","Wilko Wallpaper Jackson Stripe Green","Wilko","Striped Wallpaper","5.2m²","Green","1","10m x 0.52m","Paper",1
"449753","Wilko Wallpaper Damask Silver","Wilko","Damask Wallpaper","5.2m²","Silver","1","10m x 0.52m","Paper",1
"449755","Wilko Wallpaper Damask White","Wilko","Damask Wallpaper","5.2m²","White","1","10m x 0.52m","Paper",1
