"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","DQ Score"
"290168","Wilko Scented Tealights Melon & Rhubarb 30pk","Wilko","Tealights","Green","30 Pack","No",NA,0.941666666666667
"290173","Wilko Scented Candle Melon and Rhubarb 7x14.5cm","Wilko","Pillar Candle","Green","7x14.5cm","No",NA,0.941666666666667
"292917","Wilko Scented Candle Melon and Rhubarb 6x9.5cm","Wilko","Pillar Candle","Green","6x9.5cm","No",NA,0.941666666666667
"341148","Wilko Pot Pourri Apple","Wilko","Pot Pourri","Green",NA,"No",NA,0.883333333333333
"341171","Wilko Cushion Chenille Green 43 x 43cm","Wilko","Plain Cushion","Green","43x43cm","No",NA,0.941666666666667
"406710","Wilko Embossed Tin Jug Cream","Wilko","Home Accessories","Cream",NA,"No",NA,0.883333333333333
"406744","Wilko Hurricane Vase Green","Wilko","Hurricane Vase","Green",NA,"No","100% Glass",0.941666666666667
"418556","Wilko Faux Mongolian Duck Egg 43 x 43cm","Wilko","Mongolian Cushion",NA,"43x43cm","No",NA,0.883333333333333
"418610","Wilko Leaf Etched Votive Holder","Wilko","Candle Holders",NA,NA,"No","100% Glass",0.883333333333333
"427057","Wilko Tealight Holder Green","Wilko","Tealight Holders",NA,NA,"No",NA,0.825
"427101","Wilko Candle Jar White Linen and Lily55 Hours Burn Time","Wilko","Fragranced Candles",NA,"9.7 x 9.7 x 11.5cm","No",NA,0.883333333333333
"427107","Wilko Candle Square Glass Jar White Linen and Lily30 Hours Burn Time","Wilko","Fragranced Candles",NA,"8 x 8 x 8cm","No",NA,0.883333333333333
"427110","Wilko Candle Square Glass Jar Green Melon andRhubarb 30 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"427130","Wilko Oasis Metal Cage Bird Pot Pourri","Wilko","Pot Pourri",NA,NA,"No",NA,0.825
"427131","Wilko Pot Pourri Melon and Rhubarb Small","Wilko","Pot Pourri",NA,NA,"No",NA,0.825
"427132","Wilko Oasis Decorative Balls","Wilko","Decorative Accessories",NA,NA,"No",NA,0.825
"427201","Wilko Wooden Hanging Plaque Set of 3","Wilko","Plaques",NA,"2 x 18 x 30cm","No","Wood",0.941666666666667
"437890","Wilko Cream Lit Twigs","Wilko","Decorative Lighting",NA,NA,"No",NA,0.825
"437917","Wilko Artificial Succulent in Fabric Pot","Wilko","Home Accessories",NA,NA,"No",NA,0.825
"438254","Wilko Green Forest 60 x 90cm","Wilko","Wall Art",NA,"60cm x 90cm","No",NA,0.883333333333333
"438290","Wilko Love Tealight Holders 4pk","Wilko","Tealight Holders",NA,"Each tealight holder size: Dia 5.5 x H 7.0cm","No","Stoneware",0.941666666666667
"446499","Wilko Fabric Hanging Plaque","Wilko","Wall Art",NA,NA,"No",NA,0.825
"446501","Wilko Tin Jug Green","Wilko","Jugs",NA,NA,"No",NA,0.825
"446582","Wilko Faux Silk Green Stripe Cushion 43x43cm","Wilko","Cushions",NA,"43 x 43cm","No",NA,0.883333333333333
"446596","Wilko Striped Chenille Cushion Duck Egg 43x43cm","Wilko","Cushions",NA,"43 x 43cm","No",NA,0.883333333333333
"446976","Wilko Candle and Diffuser Set","Wilko","Candles",NA,NA,"No",NA,0.825
"447211","Wilko Faux Grass In Pot","Wilko","Succulents","Green","22 x 22 x 27cm","No",NA,0.941666666666667
"455731","Wilko Butterfly Cushion 43 x 43cm","Wilko","Cushions","Blue","43 x 43cm","No",NA,0.941666666666667
"455738","Wilko Velour Cushion Green 50 x 50cm","Wilko","Cushions","Green","50 x 50cm","No",NA,0.941666666666667
