"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"445343","Barracuda Icon Alloy 18 Speed Jump Bike White/Black, 24"" Wheel","Barracuda","Junior Trail Bike","White","130cm x 20cm x 76xm",1
"445345","Barracuda Lynx 18 Speed Dual Suspension Mountain Bike Pink/White, 24"" Wheel","Barracuda","Mountain Bikes","Pink","130cm x 20cm x 76xm",1
"445348","Barracuda Draco 1 Mountain Bike Black/Blue, 20"" Wheel","Barracuda","Mountain Bike","Black","130cm x 20cm x 76xm",1
"445349","Barracuda Draco 1 Mountain Bike Black/Blue, 22"" Wheel","Barracuda","Mountain Bike ","Black","130cm x 20cm x 76xm",1
"445350","Barracuda Draco 1 Mountain Bike Black/Blue, 15"" Wheel","Barracuda","Mountain Bike ","Black","130cm x 20cm x 76xm",1
"445351","Barracuda Draco 1 Mountain Bike Black/Blue, 17"" Wheel","Barracuda","0445351Barracuda Draco 1 Mountain Bike Black/Blue, 18"" The Draco 1 Mountain Bike is the first model of the Barracuda Mountain bike range and offers a basic all-terrain bike style, equipped with a 18 inch frame and 26 inch wheels. Key features include a 6061 aluminium frame, Shimano Tourney 18-speed gears with Shimano Revo shift, powerful V-type brakes, comfort geometry and a padded saddle. ","Black","130cm x 20cm x 76xm",1
"445360","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","Trekking Bike ","Silver","130cm x 20cm x 76xm",1
"445361","Barracuda Liberty Trekking Bike Silver/Black, 21""Wheel","Barracuda","Trekking Bike ","Silver","130cm x 20cm x 76xm",1
"445362","Barracuda Liberty Trekking Bike Silver/Black, 17""Wheel","Barracuda","Trekking Bike ","Silver","130cm x 20cm x 76xm",1
"445363","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","Trekking Bike ","Silver","130cm x 20cm x 76xm",1
"445340","Classic Touriste Commuter Bike White, 19"" Wheel","Classic","Road and Commuting Bikes","White","130cm x 20cm x 76xm",1
"445324","Flite Panic BMX Bike Pink 20in Wheel","Flite","BMX Bikes","Pink","108cm x 20cm x 59cm",1
"445325","Flite Panic BMX Bike Green, 20"" Wheel","Flite","BMX Bikes","Green","108cm x 20cm x 59cm",1
"445327","Flite Panic Mag BMX Bike Pink, 20"" Wheel","Flite","BMX Bikes","Pink","108cm x 20cm x 59cm",1
"445328","Flite Turbo Six Speed Full Suspension Junior BikeWhite/Green, 20"" Wheel","Flite","Kids Bike","Green","108cm x 20cm x 59cm",1
"445329","Flite Delta Trials Bike Blue, 24"" Wheel","Flite","Junior Mountain Bike","Blue","130cm x 20cm x 76xm",1
"445334","Flite Active Hardtail Mountain Bike Blue 20"" Wheel","Flite","Mountain Bikes","Blue","130cm x 20cm x 76xm",1
"445335","Flite Active Hardtail Mountain Bike Purple18 Gears 26in Wheel","Flite","Mountain Bikes","Purple","130cm x 20cm x 76xm",1
"445337","Flite Taser II Dual Suspension Mountain Bike Blackand Purple 18 Speed 26in Wheel","Flite","Mountain Bikes","Black","130cm x 20cm x 76xm",1
"445338","Flite Phaser Dual Suspension Mountain Bike Black18 Gears 26in Wheel","Flite","Mountain Bikes","Black","130cm x 20cm x 76xm",1
"435205","Peppa Pig Drinking  Bottle 200ml","Peppa Pig","Drinks Bottle","Pink","200ml",1
"445310","Sonic Daisy Bike White/Pink, 12"" Wheel","Sonic","Children's Bikes","Pink","67cm x 15cm x 36cm",1
"445312","Sonic Buzz Bike Spoked Wheels, 12"" Wheel","Sonic","Children's Bike","Black","67cm x 15cm x 36cm",1
"445316","Sonic Glamour Bike, 16"" Wheel","Sonic","Children's Bikes","Purple","98cm x 16cm x 55cm",1
