"Article","Web Description","Brand","Type","Size","Material","DQ Score"
"147042","ABRU Combination Ladder 3 Way","Abru","Multi Purpose Ladders","H:186xW:46xD:15.1cm","Aluminium",1
"2788040","Abru 4 Tread Step Ladder","Abru","Step Ladders","H:140cxW:42xD:12cm","Aluminium",1
"74762","Abru Domestic Step Ladder Aluminium 2 Tread","Abru","Step Ladders","H:110xW:31.5xD:11.5cm","Aluminium",1
