"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","DQ Score"
"202200","Wilko Handy Baskets Large Assorted 37cm 2pk","Wilko","Baskets","2pk","Large 37cm","Multi",1
"202201","Wilko Handy Baskets Medium Assorted 3pk","Wilko","Baskets","3pk","Medium 30cm","Multi",1
"202202","Wilko Handy Baskets Small Assorted 5pk","Wilko","Baskets","5pk","Small 25cm","Multi",1
"222518","Wilko Stacking Baskets Silver 3pk","Wilko","Baskets","1","3 Pack","Silver",1
"233860","Wilko 3 Drawer Faux Leather Storage Box Brown","Wilko","Storage Tower","1","Single","Brown",1
"233861","Wilko 4 Drawer Faux Leather Storage Chest Brown","Wilko","Storage Tower","1","Single","Brown",1
"264227","Wilko Faux Leather Oval Waste Paper Bin Black","Wilko","Waste Paper Bin","1","Single","Black",1
"264229","Wilko Faux Leather Oval Waste Paper Bin Brown","Wilko","Waste Paper Bin","1","Single","Brown",1
"275726","Wilko 4 Drawer  Willow Storage Unit White","Wilko","Storage Tower","1","Single","White",1
"327051","Wilko 3 Drawer Faux Leather Storage Tower Black","Wilko","Storage Tower","1","Single","Black",1
"327052","Wilko 4 Drawer Faux Leather Storage Tower Black","Wilko","Storage Tower","1","Single","Black",1
"327060","Wilko Willow Waste Paper Bin Grey","Wilko","Waste Paper Bin","1","Single","Grey",1
"327062","Wilko Willow Storage Basket Grey Set of 2","Wilko","Storage Basket","2pk","Single","Grey",1
"327174","Wilko 4 Drawer Split Wood Storage Unit","Wilko","Storage Tower","1","Single","White",1
