"PSA_1","PSA_2","Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"DIS","FOO","203974","Wilko Pie Dishes Aluminium Small 20pk","Wilko",NA,"Pie Dishes",NA,"20pk","Small","Aluminium",0.9
"DIS","FOO","203975","Wilko Pie Plates Aluminium 6pk","Wilko",NA,"Pie Dishes",NA,"6pk",NA,"Aluminium",0.85
"DIS","FOO","203976","Wilko Foil Trays and Lids Small 10pk","Wilko",NA,"Foil Trays",NA,"10pk","Small","Aluminium",0.9
"DIS","FOO","203977","Wilko Trays and Lids Foil Medium 5pk","Wilko",NA,"Foil Trays",NA,"5pk","Medium","Aluminium",0.9
"DIS","FOO","203978","Wilko Foil Trays Large 3pk","Wilko",NA,"Foil Trays",NA,"3pk","Large","Aluminium",0.9
"DIS","FOO","203979","Wilko Food Containers and Lids 6pk","Wilko",NA,"Plastic Containers",NA,"6pk",NA,NA,0.8
"DIS","FOO","254700","Wilko Ice Cube Bags 20pk","Wilko",NA,"Ice Cube Bags",NA,"20pk","24","Plastic",0.9
"DIS","FOO","284667","Wilko Food and Freezer Bags Large 30pk","Wilko",NA,"Food Bags",NA,"30pk","Large","Polythene",0.9
"DIS","FOO","285716","Wilko Foil Roasting Trays 2pk","Wilko",NA,"Foil Trays",NA,"2pk",NA,"Aluminium",0.85
"DIS","FOO","318975","Wilko Kitchen Foil 10m x 30cm","Wilko",NA,"Aluminium Foil",NA,NA,"300mmx10m",NA,0.8
"DIS","FOO","318976","Wilko Kitchen Foil 20m x 30cm","Wilko",NA,"Aluminium Foil",NA,NA,"300mmx20m",NA,0.8
"DIS","FOO","318977","Wilko Kitchen Foil 10m x 45cm","Wilko",NA,"Aluminium Foil",NA,NA,"450mmx10m",NA,0.8
"DIS","FOO","330841","Wilko Resealable Food and Freezer Bags  26 x 28cm30pk","Wilko",NA,"Food Bags",NA,"30pk","Medium",NA,0.85
