"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","DQ Score"
"DIS","TOI","268119","Regina Scented Toilet Tissue 4 Rolls160 Sheets 3 Ply","Regina","22.0CM","23.0CM","11.5CM","Toilet Roll","160 sheets per roll",NA,"4",1
"DIS","TOI","280994","Regina Chamomile Toilet Tissue 9 Rolls160 Sheets 3 Ply","Regina","33.0CM","35.0CM","11.0CM","Toilet Roll","160 sheets per roll",NA,"9",1
"DIS","TOI","306518","Regina Impressions Toilet Tissue White 4 Rolls160 Sheets 3 Ply","Regina","21.8CM","22.0CM","12.2CM","Toilet Roll","4 Pack",NA,"4pk",1
"DIS","TOI","352144","Regina Impressions Toilet Tissues White 9 Rolls170 Sheets 3 Ply","Regina","33.0CM","35.0CM","11.0CM","Toilet Roll","170 sheets per roll",NA,"9",1
"DIS","TOI","212892","Velvet Comfort Toilet Tissue White 4 Rolls","Velvet","21.5CM","20.5CM","11.0CM","Toilet Roll","4 Pack",NA,"4pk",1
"DIS","TOI","222494","Velvet Comfort Tissue White 9 Rolls200 Sheets 3 Ply","Velvet","33.0CM","33.0CM","11.0CM","Toilet Roll","9 Pack",NA,"9pk",1
"DIS","TOI","324398","Velvet Pure Moist Toilet Tissue 42pk","Velvet","3.2CM","13.6CM","11.1CM","Moist Wipes","42s",NA,"1",1
"DIS","TOI","352503","Velvet Quilted Toilet Tissue 4 Rolls 165 Sheets3 Ply","Velvet","21.5CM","20.5CM","11.0CM","Toilet Roll","4 Rolls",NA,"1",1
"DIS","TOI","352521","Velvet Quilted Toilet Tissue 9 Rolls 165 Sheets3 Ply","Velvet","33.0CM","33.0CM","11.0CM","Toilet Roll","165 sheets per roll",NA,"9",1
"DIS","TOI","435096","Velvet Comfort Toilet Tissue White 16 Rolls200 Sheets 3 Ply","Velvet","20.9CM","47.0CM","23.5CM","Toilet Roll","200 sheets per roll",NA,"16",1
"DIS","TOI","166153","Wilko Quilted Toilet Tissue White 4 Rolls165 Sheets 3 Ply","Wilko","22.0CM","22.0CM","11.0CM","Toilet Roll","4x26.3m",NA,"4pk",1
"DIS","TOI","230099","Wilko Quilted Toilet Tissue White 9 Rolls3 Ply","Wilko","33.0CM","34.0CM","11.0CM","Toilet Roll","9 Pack",NA,"1",1
"DIS","TOI","332550","Wilko Embossed Toilet Roll 9pk","Wilko","31.8CM","34.0CM","11.5CM","Toilet Roll","9 Pack",NA,"1",1
"DIS","TOI","332564","Wilko Embossed Toilet Roll 4pk","Wilko","21.0CM","23.5CM","11.5CM","Toilet Roll","104mmx110mm",NA,"4pk",1
"DIS","TOI","351809","Wilko Embossed Toilet Tissue 18pk","Wilko","31.2CM","36.0CM","24.0CM","Toilet Roll","190 sheets per roll",NA,"18",1
"DIS","TOI","435079","Wilko Embossed Toilet Tissue 32pk","Wilko","24.0CM","42.0CM","46.0CM","Toilet Roll","190 sheets per roll",NA,"32",1
"DIS","TOW","352502","Plenty Large Kitchen Roll 100 Sheets","Plenty","27.9CM","15.0CM","15.0CM","Kitchen Towels","100 sheets per roll",NA,"1",1
"DIS","TOW","269950","Regina Blitz Kitchen Towel Single Roll 100 Sheets3 Ply","Regina","26.8CM","15.0CM","15.0CM","Kitchen Towels","100 Sheets",NA,"1",1
"DIS","TOW","282653","Regina XXL Kitchen Roll 2 Rolls 150 Sheets 3 Ply","Regina","23.0CM","24.0CM","14.0CM","Kitchen Towels","75 sheets per roll",NA,"2",1
"DIS","TOW","346991","Regina Blitz Original Kitchen Towel 2 Rolls140 Sheets 3 Ply","Regina","26.8CM","30.0CM","15.0CM","Kitchen Towels","70 sheets per roll",NA,"2",1
"DIS","TOW","335831","Wilko Kitchen Towels White 2 Rolls","Wilko","22.7CM","22.0CM","10.0CM","Kitchen Towels","2 Pack",NA,"2pk",1
"DIS","TOW","335834","Wilko Super Strong Kitchen Towels 2 Rolls120 Sheets 2 Ply","Wilko","28.0CM","12.0CM","24.0CM","Kitchen Towels","60 sheets per roll",NA,"2pk",1
"DIS","TOW","351813","Wilko Kitchen Towel White 6 Rolls 50 Sheets 2 Ply","Wilko","22.5CM","33.0CM","22.0CM","Kitchen Towels","50 sheets per roll",NA,"6",1
"DIS","TOW","412428","Wilko Household Roll Blue Single Roll200 Sheets","Wilko","22.5CM","15.0CM","15.0CM","Kitchen Towels","200 sheets",NA,"1",1
"DIS","TOW","351827","Wilko Functional Kitchen Towel White 4 Rolls200 Sheets 2 Ply","Wilko Functional","20.8CM","20.0CM","20.0CM","Kitchen Towels","50 sheets per roll",NA,"4",1
