"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"435783","Kilner Shaker","Kilner","0.25lt","Shaker",NA,"1","8cm x 8cm x 8.2cm","Soda Lime Stainless Steel",0.9
"141713","Wilko Stainless Steel Roll Top Bread Bin","Wilko",NA,"Bread Bins","Metal","1",NA,"Stainless Steel",0.9
"206517","Wilko Stainless Steel Utensil Holder","Wilko",NA,"Utensil Holder","Metal","1",NA,"Stainless Steel",0.9
"227128","Wilko Utensil Caddy Chrome Plated","Wilko",NA,"Utensil Holder","Silver","1",NA,"Chrome Plated",0.9
"242485","Wilko Chrome Effect Kitchen Roll Holder","Wilko",NA,"Kitchen Towel Holders","Silver","1",NA,"Chrome Plated",0.9
"328650","Wilko Stainless Steel Window Storage Canister3pk","Wilko",NA,"Storage Jars","Metal","1","3 Piece","Stainless Steel",0.95
"421504","Wilko Twist Top Jar 190ml 12pk","Wilko",NA,"Storage Jars",NA,"12","190ml",NA,0.85
"421505","Wilko Twist Top Jar 300ml 12pk","Wilko",NA,"Storage Jars",NA,"12","300ml Round","Glass and Tin plated Steel",0.9
"427870","Wilko Spice Jar","Wilko",NA,"Storage Jars",NA,NA,NA,NA,0.75
"427925","Wilko Cannister Steel Small","Wilko",NA,"Storage Jars",NA,NA,NA,NA,0.75
"427934","Wilko Cannister Purple Small","Wilko",NA,"Storage Jars",NA,NA,NA,NA,0.75
"435780","Wilko Sanctuary Jar Large","Wilko",NA,"Storage Jars",NA,NA,NA,NA,0.75
"451706","Wilko Small Cream Cannister","Wilko",NA,"Storage Jars",NA,"1",NA,NA,0.8
"452436","Wilko Round Clip Lid Jar Smal","Wilko",NA,"Storage Jars",NA,"1","Small","Glass",0.9
"452437","Wilko Hexagonal Clip Lid Jar Small","Wilko",NA,"Storage Jars",NA,"1","Small","Glass",0.9
"452438","Wilko Slim Clip Lid Jar Small","Wilko",NA,"Storage Jars",NA,"1","Small","Glass",0.9
"453051","Wilko Bread Bin Black","Wilko",NA,"Bread Bins","Black","1",NA,"Iron",0.9
"453052","Wilko Bread Bin Cream","Wilko",NA,"Bread Bins","Cream","1",NA,"Iron",0.9
"453053","Wilko Bread Bin Purple","Wilko",NA,"Bread Bins","Purple","1",NA,"Iron",0.9
"453104","Wilko Pot Menage Jars 6pk","Wilko","324ml","Storage Jars",NA,"6 Pack",NA,"Glass",0.9
"453106","Wilko Mini Glass Jar 41ml 20pk","Wilko","41ml","Storage Jars",NA,"20 Pack","41ml","Glass",0.95
