"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"287762","Wilko Curtain Pole Bracket Natural Wood Effect28mm","Wilko","Brackets","Wood","1","28mm",NA,0.941666666666667
"287768","Wilko Curtain Pole Bracket Dark Oak Effect 28mm","Wilko","Brackets","Wood","1","28mm",NA,0.941666666666667
"287774","Wilko Curtain Pole Bracket White Wood Effect 28mm","Wilko","Brackets","White","1","28mm",NA,0.941666666666667
"453325","Wilko Wooden Curtain Bracket","Wilko","Brackets",NA,"1","2.8cm diameter","Wood",0.941666666666667
