"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"314442","Beaphar Hairball Paste 2in1 Remedy 100g","Beaphar","Hairball Paste",NA,"100g",0.9125
"278024","Gourmet Gold Tinned Cat Food Salmon and Chickenin Gravy 85g","Gourmet","Adult Tins 1+ Years",NA,"85g",0.9125
"278056","Gourmet Gold Tinned Cat Food Duck and Turkey 85g","Gourmet","Adult Tins 1+ Years",NA,"85g",0.9125
"454778","Sheba Select Slices Pouch Cat Food Fish in Gravy12x85g","Sheba","Adult Pouches 1+ Years",NA,"12x85g",0.8625
"456428","Whiskas 1+ Cat Food Pouch Casserole PoultrySelection in Jelly 40 x85g","Whiskas","Adult Pouches 1+ Years","40",NA,0.9125
"173537","Wilko Tinned Cat Food Feast Selection in Jelly 6 x6 x 400g","Wilko","Adult Tins 1+ Years",NA,"6x400g",0.9125
