"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"188878","Wilko Storage Unit 4 Drawer Assorted","Wilko","Storage Drawers","Multi","1","4 Drawer","Plastic",1
"188879","Wilko Storage Unit 3 Drawer Assorted","Wilko","Storage Drawers","Multi","1","39x39x59cm","Plastic",1
"196939","Wilko Storage Unit 3 Drawer Odyssey","Wilko","Storage Drawers","Black","1","3 Drawer","Plastic",1
"82073","Wilko Fold Flat Box 32L","Wilko","Baskets","Multi","1","47.5x35x23.6cm","Plastic",1
