"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","DQ Score"
"229175","Marigold Extra Life Kitchen Gloves Large","Marigold","Gloves","2pcs","Large","Yellow",1
"229176","Marigold Extra Life Kitchen Gloves Medium","Marigold","Gloves","2pcs","Medium","Yellow",1
"229178","Marigold Longer Bathroom Gloves Medium","Marigold","Gloves","2pcs","Medium","Yellow",1
"351848","Marigold Extra Life Kitchen Glove Small","Marigold","Gloves","1","Small","Yellow",1
"432735","Marigold Wash and Wipe Dish Cloth 2pk","Marigold","Cloths","2","36 x 36cm","White",1
"432736","Marigold Wiper Upper 2pk","Marigold","Cloths","2","34 x 34cm","Yellow",1
"432737","Marigold Squeaky Clean","Marigold","Cloths","1","29 x 29cm","Purple",1
"432738","Marigold Let It Shine Microfibre Cloths 4pk","Marigold","Cloths","4","30 x 30cm","Multi",1
"432739","Marigold Oops Away All Purpose Cloths 6pk","Marigold","Cloths","6","35 x 45cm","Pink",1
"432742","Marigold Scrunchie 3pk","Marigold","Scourers","3","6.5 x 2 x 6.5cm","Grey",1
"432743","Marigold Clean and Gleam 2pk","Marigold","Scourers","2","6.8 x 4.3 x 9cm","Green",1
"432745","Marigold Cleaning Me Softly 2pk","Marigold","Scourers","2","11 x 6 x 2.3cm","Green",1
"448579","Protector Household Gloves Medium","Protector","Gloves","1","Medium","Yellow",1
"132470","Wilko Dish Cloth Roll 8pk","Wilko","Dishcloths","8pk","30cmx25cm","White",1
"1348340","Wilko All Purpose Cloths 60 x 33cm 10pk","Wilko","Cloths","10pk","60cmx33cm","Multi",1
"157418","Wilko Chamois Cloth Synthetic 40 x 36cm","Wilko","Chamois","1","40x36cm","Yellow",1
"157429","Wilko Dish Cloths Roll Large 4pk","Wilko","Dishcloths","4pk","Extra Large","Multi",1
"157430","Wilko Yellow Dusters Large 4pk","Wilko","Dusters","4pk","50x40cm","Yellow",1
"178481","Wilko All Purpose Cloths 30pk","Wilko","Cloths","30pk","60x30cm","Multi",1
"178493","Wilko All Purpose Silver Scourers 3pk","Wilko","Scourers","3pk","26x13cm","Silver",1
"204899","Wilko Microfibre Cloths 3pk","Wilko","Cloths","3pk","16x20cm","Multi",1
"229174","Wilko Antibacterial All Purpose Cloths 10pk","Wilko","Cloths","10pk","60x33cm","Multi",1
"269796","Wilko Absorbent Multi Purpose Cloths MultiColoured 10pk","Wilko","Cloths","10pk","38x30cm","Multi",1
"300096","Wilko Pearl Scourers Assorted 2pk","Wilko","Scourers","2pk","12cmx9cm","Yellow",1
"300127","Wilko Microfibre Cloths Glass Clean System 2pk","Wilko","Cloths","2pk","35x35cm",NA,1
"328244","Wilko  Extra Wear Rubber Gloves Large Yellow","Wilko","Gloves","1","Large","Yellow",1
"328263","Wilko Microfibre Cloth Pink and White","Wilko","Cloths","1","40cmx40cm","Multi",1
"328272","Wilko Glass Cleaning Microfibre Cloth Blue 60 x80cm","Wilko","Cloths","1","60cmx80cm","Blue",1
"328279","Wilko Ribbed Dish Cloths 35 x 26cm 4pk","Wilko","Dishcloths","4pk","35cmx26cm","Multi",1
"328280","Wilko Microfibre Dish Cloths 30 x 30cm 3pk","Wilko","Dishcloths","3pk","30cmx30cm","Multi",1
"82974","Wilko Heavy Duty Rubber Gloves Medium","Wilko","Gloves","1","Medium","Yellow",1
"82975","Wilko Heavy Duty rubber Gloves Large","Wilko","Gloves","1","Large","Yellow",1
"269238","Wilko Functional Rubber Gloves One Size 2pk","Wilko Functional","Gloves","2pk","Medium","Multi",1
