"Article","Web Description","Brand","Type","Coverage","Colour","Washable","Size","Material","DQ Score"
"325174","Wilko Faux Silk Eyelet Curtains Plum 167 x 137cm","Wilko","Eyelet Curtains and Voiles",NA,"Purple","Dry Clean Only","167x137cm","100% Polyester",0.95
"325175","Wilko Faux Silk Eyelet Curtains Plum 167 x 183cm","Wilko","Eyelet Curtains and Voiles",NA,"Purple","Dry Clean Only","167x183cm","100% Polyester",0.95
"325177","Wilko Faux Silk Eyelet Curtains Plum 228 x 228cm","Wilko","Eyelet Curtains and Voiles",NA,"Purple","Dry Clean Only","228x228cm","100% Polyester",0.95
"325192","Wilko Faux Silk Eyelet Curtains Dark Teal167 x 137cm","Wilko","Eyelet Curtains and Voiles",NA,"Green","Dry Clean Only","167x137cm","100% Polyester",0.95
"325193","Wilko Faux Silk Eyelet Curtains Dark Teal167 x 183cm","Wilko","Eyelet Curtains and Voiles",NA,"Green","Dry Clean Only","167x183cm","100% Polyester",0.95
"325195","Wilko Faux Silk Eyelet Curtains Dark Teal228 x 228cm","Wilko","Eyelet Curtains and Voiles",NA,"Green","Dry Clean Only","228x228cm","100% Polyester",0.95
"325211","Wilko Faux Silk Eyelet Curtains Black167 x 183cm","Wilko","Eyelet Curtains and Voiles",NA,"Black","Dry Clean Only","167x183cm","100% Polyester",0.95
"325213","Wilko Faux Silk Eyelet Curtains Black228 x 228cm","Wilko","Eyelet Curtains and Voiles",NA,"Black","Dry Clean Only","228x228cm","100% Polyester",0.95
"325275","Wilko Faux Silk Eyelet Curtains Natural167 x 183cm","Wilko","Eyelet Curtains and Voiles",NA,"Cream","Dry Clean Only","167x183cm","100% Polyester",0.95
"325276","Wilko Faux Silk Eyelet Curtains Natural167 x 137cm","Wilko","Eyelet Curtains and Voiles",NA,"Cream","Dry Clean Only","167x137cm","100% Polyester",0.95
"325278","Wilko Faux Silk Eyelet Curtains Natural228 x 228cm","Wilko","Eyelet Curtains and Voiles",NA,"Cream","Dry Clean Only","228x228cm","100% Polyester",0.95
"325305","Wilko Faux Silk Eyelet Curtains Silver167 x 137cm","Wilko","Eyelet Curtains and Voiles",NA,"Silver","Dry Clean Only","167x137cm","100% Polyester",0.95
"325306","Wilko Faux Silk Eyelet Curtains Silver167 x 183cm","Wilko","Eyelet Curtains and Voiles",NA,"Silver","Dry Clean Only","167x183cm","100% Polyester",0.95
"325308","Wilko Faux Silk Eyelet Curtains Silver228 x 228cm","Wilko","Eyelet Curtains and Voiles",NA,"Silver","Dry Clean Only","228x228cm","100% Polyester",0.95
"325317","Wilko Faux Silk Eyelet Curtains Mink 167 x 137cm","Wilko","Eyelet Curtains and Voiles",NA,"Brown","Dry Clean Only","167x137cm","100% Polyester",0.95
"325318","Wilko Faux Silk Eyelet Curtains Mink 167 x 183cm","Wilko","Eyelet Curtains and Voiles",NA,"Brown","Dry Clean Only","167x183cm","100% Polyester",0.95
"325320","Wilko Faux Silk Eyelet Curtains Mink 228 x 228cm","Wilko","Eyelet Curtains and Voiles",NA,"Brown","Dry Clean Only","228x228cm","100% Polyester",0.95
"341154","Wilko Faux Silk Eyelet Curtain Red 167 x 137cm","Wilko","Eyelet Curtains and Voiles",NA,"Red",NA,"167x137cm",NA,0.85
"341155","Wilko Faux Silk Eyelet Curtain Red 167 x 183cm","Wilko","Eyelet Curtains and Voiles",NA,"Red",NA,"167x183cm",NA,0.85
"341157","Wilko Faux Silk Eyelet Curtain Red 228 x 288cm","Wilko","Eyelet Curtains and Voiles",NA,"Red",NA,"228x228cm",NA,0.85
"407314","Wilko Basketweave Eyelet Lined Curtains 167x137cmCharacoal","Wilko","Eyelet Curtains and Voiles",NA,"Grey","Dry Clean Only","167x137cm","100% Polyester",0.95
"407320","Wilko Weave Eyelet Curtains Natural 167 x 137cm","Wilko","Eyelet Curtains and Voiles",NA,"Cream","Dry Clean Only","167x137cm","100% Polyester",0.95
"407321","Wilko Basketweave Eyelet Lined Curtains 167x183cmNatural","Wilko","Eyelet Curtains and Voiles",NA,"Cream","Dry Clean Only","167 x183cm","100% Polyester",0.95
"407323","Wilko Basketweave Eyelet Lined Curtains Natural228 x 228cm","Wilko","Eyelet Curtains and Voiles",NA,"Cream","Dry Clean Only","228x228cm","100% Polyester",0.95
