"Article","Web Description","Brand","Type","Coverage","Pack Qty","Size","DQ Score"
"435318","Kelkay Cotswold Stone Chippings Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435319","Kelkay Blue Slate Chippings Bulk Bag 40mm","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435320","Kelkay Plum Slate Chippings 40m Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435321","Kelkay Tweed Pebble 20mm Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435325","Kelkay Blue Slate Chippings Bulk Bag 20mm","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435326","Kelkay Crimson & Cream Chippings Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435328","Kelkay Cheshire Pink Chippings Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435329","Kelkay Red Stone Chippings Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435330","Kelkay Yorkshire Cream Chippings Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435332","Kelkay Shadow Mist Chippings Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435334","Kelkay Autumn Gold Chippings Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
"435337","Kelkay Green Slate Chippings Bulk Bag","Kelkay","Chippings & Gravel",NA,"1","Bulk Bag 750kg approx",0.93
