"Article","Web Description","Brand","Type","Colour","Power","Size","Model Number","DQ Score"
"433372","Daewoo 2 Slice Glass Toaster","Daewoo","Toasters",NA,NA,"4 slice",NA,0.825
"414587","Russell Hobbs Toaster Cream","Russell Hobbs","Toasters",NA,"850W",NA,"22392",0.883333333333333
"448390","Swan Retro 4 Slice Toaster Red ST17010RN","Swan","Toasters","Red","800W",NA,"ST17010RN",0.891666666666667
"439587","Tower 2 Slice Toaster T20004","Tower","Toasters","Metal",NA,"2 Slice","T20004",0.941666666666667
"448445","Tower 2 Slice Linear Toaster T20007","Tower","Toasters","Black",NA,NA,"T20007",0.883333333333333
"448446","Tower 4 Slice Linear Toaster T20008","Tower","Toasters","Black","1600W",NA,"T20008",0.941666666666667
"316219","Wilko Toaster 2 Slice Black","Wilko","Toasters","Black",NA,"2 Slice",NA,0.883333333333333
"316220","Wilko Toaster 2 Slice Red","Wilko","Toasters","Red",NA,"2 Slice",NA,0.883333333333333
"328519","Wilko Toaster 4 Slice","Wilko","Toasters","Metal","Mains","4 Slice",NA,0.941666666666667
"316232","Wilko Functional 2 Slice Toaster White","Wilko Functional","Toasters","White",NA,"2 Slice",NA,0.883333333333333
