"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"319034","Wilko A4 Punched Pockets Clear 50pk","Pukka Pad","Dividers and Punched Pockets","Clear","50","A4",NA,0.891666666666667
"432094","Ringbinder A4 Envy Spine 40 2 Rings","Pukka Pad","Ringbinder",NA,"1","31.5x24.6x4.1",NA,0.833333333333333
"432096","Maxi Lever Arch File Envy 2 Rings","Pukka Pad","Lever Arch File",NA,"1","31.8x 27.8 x 7.3",NA,0.833333333333333
"131437","Wilko Ringbinder A4 Blue","Wilko","Ringbinder","Blue","1","A4",NA,0.941666666666667
"131440","Wilko Ringbinder A4 Black","Wilko","Ringbinder","Black",NA,"A4",NA,0.883333333333333
"131444","Wilko Ringbinder A4","Wilko","Ringbinder",NA,NA,"A4",NA,0.825
"131456","Lever Arch File A4 Teal","Wilko","Lever Arch File","Blue",NA,"Lever Arch",NA,0.833333333333333
"131458","Wilko Lever Arch File Black","Wilko","Lever Arch File",NA,"1","Lever Arch",NA,0.883333333333333
"131460","Wilko Lever Arch File","Wilko","Lever Arch File","Multi","1","A4",NA,0.941666666666667
"173881","Wilko Rigid Box File Black","Wilko","Box File",NA,"1","A4",NA,0.883333333333333
"173882","Wilko Rigid Box File Teal","Wilko","Box File","Blue",NA,"A4",NA,0.883333333333333
"173885","Wilko Box File Pink","Wilko","Box File",NA,NA,"Box",NA,0.825
"187912","Wilko Expander File with 25 Sections","Wilko","Document Folders and Wallets",NA,NA,"25part",NA,0.825
"188682","Wilko Home Box File Expanding A4 Black","Wilko","Box File",NA,"1","A4",NA,0.883333333333333
"261208","Wilko Box File Home 19 Pocket A4 Pink","Wilko","Box File","Pink","1","A4",NA,0.941666666666667
"261299","Wilko Button Wallet 4pk","Wilko","Document Folders and Wallets","Multi","4","A4",NA,0.941666666666667
"261300","Wilko Button Wallet Asst A5","Wilko","Document Folders and Wallets","Multi",NA,"A5",NA,0.883333333333333
"261301","Wilko Button Wallet Assorted Colours 5pk","Wilko","Document Folders and Wallets","Multi","5pk","22x12cm",NA,0.941666666666667
"261304","Wilko Wallet Folder with Elastic Band A4","Wilko","Document Folders and Wallets","Multi",NA,"A4",NA,0.883333333333333
"261305","Wilko Folder Document A4 5pk","Wilko","Document Folders and Wallets","Clear","5pk","A4",NA,0.941666666666667
"261307","Wilko Display Book Asst A4","Wilko","Document Folders and Wallets","Multi",NA,"A4",NA,0.883333333333333
"261313","Wilko A4 Expanding Box File 13 Pockets","Wilko","Document Folders and Wallets","Multi",NA,"A4",NA,0.883333333333333
"261322","Wilko Zipper Bag PVC Asst A4","Wilko","Document Folders and Wallets","Multi",NA,"A4","PVC",0.941666666666667
"261323","Wilko Envelope Folders Clear A4 5pk","Wilko","Document Folders and Wallets","Clear","5","A4",NA,0.941666666666667
"261324","Wilko Clip Board Asst","Wilko","Clipboard","Multi",NA,NA,NA,0.825
"261326","Wilko Index Card Holder Assorted Colours","Wilko","Record and Index Cards","Multi",NA,NA,NA,0.825
"261327","Wilko Document Wallet Cheque Size with 13 Pockets","Wilko","Document Folders and Wallets","Multi",NA,NA,NA,0.825
"300201","Wilko Mesh Filing Pen Pot Silver Effect","Wilko","Desk Organising","Silver","1",NA,NA,0.883333333333333
"300202","Wilko Mesh Desk Tidy Filing Silver Effect","Wilko","Desk Organising","Silver","1",NA,NA,0.883333333333333
"300203","Wilko Mesh Magazine Tidy Silver Effect","Wilko","Desk Organising","Silver","1",NA,NA,0.883333333333333
"300204","Wilko Mesh Single In-Tray Silver Effect","Wilko","Desk Organising","Silver",NA,NA,NA,0.825
"300206","Wilko File Divider A4 12pk","Wilko","Dividers and Punched Pockets",NA,"12","A4",NA,0.883333333333333
"300213","Wilko Subject Dividers A4 10pk","Wilko","Dividers and Punched Pockets","Multi","10","A4",NA,0.941666666666667
"317067","Wilko Pencil Case Ringbinder","Wilko","Ringbinder",NA,NA,NA,NA,0.766666666666667
"319041","Wilko A4 Punched Pockets Extra Strong A4 25pk","Wilko","Dividers and Punched Pockets","Clear","25pk","A4",NA,0.941666666666667
"319044","Wilko Zip Bag Clear A4","Wilko","Document Folders and Wallets","Clear",NA,"A4",NA,0.883333333333333
"319046","Wilko Zippa Bag  A5","Wilko","Document Folders and Wallets","Clear",NA,"A5",NA,0.883333333333333
"319049","Wilko Zippa Bag A6","Wilko","Document Folders and Wallets","Clear",NA,"A6",NA,0.883333333333333
"319051","Wilko A4 Suspension Files Orange 5pk","Wilko","Document Folders and Wallets","Orange","5pk","A4",NA,0.941666666666667
"319058","Wilko Home Box File A4 Blue","Wilko","Box File","Blue",NA,"19Pocket",NA,0.883333333333333
"348787","Wilko Clipboard Stripes","Wilko","Clipboard",NA,"1",NA,NA,0.825
"348796","Wilko A4 Punched Pocket Wallet","Wilko","Dividers and Punched Pockets",NA,"1","235 x 318 x 10mm","Plastic",0.941666666666667
"413589","Wilko Storage Box With Lid Black A4","Wilko","Storage Box",NA,"1","A4",NA,0.883333333333333
"413990","Wilko Treasury Tags And Ring Pack","Wilko","Punches and Fasteners",NA,NA,NA,NA,0.766666666666667
"414055","Wilko Storage Pots Assorted Colour 5pk","Wilko","Desk Organising",NA,NA,NA,NA,0.766666666666667
"414403","Wilko Storage Box With Lid A4","Wilko","Storage Box",NA,"1","A4",NA,0.883333333333333
"414404","Wilko Storage Box With Lid Teal A4","Wilko","Storage Box",NA,"1","A4",NA,0.883333333333333
"427372","Wilko I Like Cats Padfolio","Wilko","Clipboard",NA,"1","1.8 x 23.5 x 32cm","Paper",0.941666666666667
"427376","Wilko I Like Cats Document Wallet A4","Wilko","Document Folders and Wallets",NA,"1","A4",NA,0.883333333333333
"427379","Wilko I Like Cats A4 Storage With Lid","Wilko","Storage Box",NA,"1",NA,NA,0.825
"427380","Wilko I Like Cats A4 Home Box File","Wilko","Box File",NA,"1","12 x 35.5 x 24.7cm","Paper",0.941666666666667
"427417","Wilko I Like Cats Zipper Wallet A4","Wilko","Document Folders and Wallets",NA,"1","A4",NA,0.883333333333333
"430538","Wilko Decoration Box Stone Large","Wilko","Storage Box",NA,"1","30cm x 30cm x 30cm","Cardboard",0.941666666666667
