"Article","Web Description","DQ Score"
"142235","Adidas Body Spray Pure Energy 150ml",1
"349230","Adidas Ice Dive Anti-Perspirant 250ml",1
"349231","Adidas Pure Game Anti-Perspirant 250ml",1
"411970","Adidas Climacool Anti-Perspirant 250ml",1
"286464","Beckham Deodorant Spray Instinct 150ml",1
"236978","Brut Original Anti-Persperant 200ml",1
"32367","Brut Original Deodorant 200ml",1
"430849","Brut Sport Deodorant 200ml",1
"117027","Charlie Red Body Spray 75ml",1
"217443","Charlie Pink Body Spray 75ml",1
"243347","Charlie Black Body Spray 75ml",1
"252010","Charlie Touch Body Spray 75ml",1
"150415","Dove Roll On Original 50ml",1
"243410","Dove Invisible Dry Roll On 48 Hour 40ml",1
"243411","Dove Invisible Roll On 50ml",1
"264313","Dove Anti-Perspirant Spray Original 250ml",1
"269945","Dove Anti-Perspirant Spray Invisible 250ml",1
"286238","Dove Men+Care Clean ComfortAnti-Perspirant 250ml",1
"319899","Dove Go Fresh Anti-Perspirant 250ml",1
"332823","Dove Men+Care Deodorant Roll On Clean ComfortAnti-Perspirant 50ml",1
"412065","Dove Roll On Soft Feel 50ml",1
"450023","Dove Deodorant Go Fresh 250ml",1
"451483","Dove Original Spray Deodorant 150ml",1
"79305","Imperial Leather Anti-Perspirant Original 150ml",1
"304186","Impulse Very Pink Body Spray 75ml",1
"450024","Impulse Body Spray Instant Crush 75ml",1
"73596","Impulse Tease Body Spray 75ml",1
"83047","Impulse True Love Body Spray 75ml",1
"352577","L'Oreal Men Expert Fresh Extreme 48HAnti-Perspirant Deodorant 250ml",1
"352581","L'Oreal Men Deodorant Fresh Extreme 50ml",1
"411975","L'Oreal Men Expert Pure Power Charcoal Face Wash150ml",1
"430657","L'Oreal Men Expert Shirt Protect 48HAntiperspirant Deodorant 50ml",1
"202523","Lynx Dry Africa Anti-Perspirant150ml",1
"237052","Lynx Dry Roll-On Africa Anti-Perspirant 50ml",1
"237119","Lynx Dry Stick Anti-Perspirant Africa 50ml",1
"332814","Lynx Dry Africa Anti-Perspirant 200ml",1
"51702","Lynx Dark Temptation Body Spray 150ml",1
"85443","Lynx Africa Body Spray 150ml",1
"193066","Mitchum Roll on Unperfumed 50ml",1
"193068","Mitchum Roll On Powderfresh 50ml",1
"236974","Mitchum Anti-Perspirant Unscented 150ml",1
"269494","Mitchum Ice Fresh Roll On Anti-Perspirant 50ml",1
"217845","Nivea Men Cool Kick 48h Anti-Perspirant 150ml",1
"244640","Nivea Anti-Perspirant Pearl and Beauty 48 Hour150ml",1
"250289","Nivea Deodorant Roll On Pearl and Beauty 50ml",1
"315929","Nivea Anti-Perspirant Invisible Black and White150ml",1
"320723","Nivea For Men Cool Kick Roll OnAnti-Perspirant 50ml",1
"320724","Nivea Roll On Invisible For Black and White 50ml",1
"320725","Nivea Invisible Anti-Prespirant Deodorant Roll OnAnti-Prespirant 50ml",1
"346541","Nivea For Men Spray Coolkick Anti-Perspirant 250ml",1
"346544","Nivea Anti-Perspirant Pearl & Beauty 250ml",1
"346545","Nivea Anti-Perspirant Invisible Black and White250ml",1
"402956","Nivea Anti-Perspirant Stress Protect 50ml",1
"413845","Nivea Anti-Perspirant Dry Confidence 48 Hour 150ml",1
"430664","Nivea Protect and Care Deo 150ml",1
"430666","Nivea Men Protect and Care Anti-Persirant 150ml",1
"430670","Nivea Men Protect and Care Anti-Persirant 250ml",1
"449639","Nivea Anti Perspirant 250mlBlack and White Invisible",1
"213316","Old Spice Classic Deodorant Stick Original 50ml",1
"431268","Old Spice Wolfthron Body Spray 150ml",1
"450566","Old Spice Anti Perspirant and Deodrant OdourBlocker Stick 50ml",1
"76712","Old Spice Original Deodorant 150ml",1
"214459","Right Guard Total Defence 5 Fresh Anti-Perspirant48H 250ml",1
"214461","Right Guard Total Defence 5 Clean Anti-Perspirant48H 250ml",1
"237007","Right Guard Total Defence 5 Sport48H Anti-Perspirant 250ml",1
"237008","Right Guard Total Defence 5 Cool48H Anti-Perspirant 250ml",1
"195475","Sanex Dermo Invisible Anti-Perspirant 150ml",1
"195482","Sanex Dermo Sensitive Anti-Perspirant 150ml",1
"206455","Sanex Roll On Invisible 50ml",1
"231947","Sanex Men Dermo Active Control Anti Perspirant150ml",1
"302191","Sanex Roll On Active 50ml",1
"332722","Sanex Anti-Perspirant Invisible Dry 250ml",1
"350188","Soft & Gentle Anti-Perspirant Wildrose & Vanilla150ml",1
"189004","Sure For Men Active Anti-Perspirant 250ml",1
"189013","Sure Anti-Perspirant Cotton Dry 250ml",1
"200157","Sure Men Sensitive Roll On Anti-Perspirant50ml",1
"200256","Sure Men Sensitive Stick Anti-Perspirant50ml",1
"221404","Sure For Men Quantum Anti-Perspirant 250ml",1
"221406","Sure For Men Invisible Ice Anti-Perspirant 250ml",1
"286471","Sure Roll On Invisible Aqua 50ml",1
"304183","Sure 48 Hour  Roll On Bright Bouquet 50ml",1
"304184","Sure Anti-Perspirant Bright Bouquet 250ml",1
"332844","Sure Anti-Perspirant Bright Bouquet 75ml",1
"335748","Sure Maximum Protection Anti-Perspirant Cream 45ml",1
"49930","Sure Cool Blue Roll On 50ml",1
"62791","Sure Roll-On Cotton Dry 50ml",1
"286997","Vaseline Anti-Perspirant Active Fresh 250ml",1
"95808","Vaseline Roll On Fresh 50ml",1
"95809","Vaseline Roll On Active 50ml",1
"342707","Wilko Sassy Body Spray 75ml",1
"342740","Wilko Bliss Body Spray 75ml",1
"342925","Wilko Mens Cool Defence Anti-Perspirant 200ml",1
"342926","Wilko Mens Intense fusion Anti-Perspirant 200ml",1
"342927","Wilko Anti-Perspirant Radiance Care 200ml",1
"343585","Wilko Rhythm Body Spray 75ml",1
"344853","Wilko Scandal Body Spray 75ml",1
"345025","Wilko Blissful Body Spray 75ml",1
"345026","Wilko Fantasy Body Spray 75ml",1
"345028","Wilko Mens Deodorant Fresh Impact 150ml",1
"345030","Wilko Mens Deodorant Fusion 150ml",1
"346654","Wilko Mens Roll On Cool Defence 50ml",1
