"Article","Web Description","Brand","Type","Size","DQ Score"
"s100012","Charisma Dining Set White Gloss 4 chairs","Charisma","Dining Sets 4 Seat","T 75.5 x 120 x 80, C 90 x 43 x 50cm",1
"p200017","Soho Dining Set Oak","Soho","Dining Sets 4 Seat ","T 75cm, C 85x47x51cm",1
"p200018","Soho Dining Set White","Soho","Dining Sets 4 Seat","T 75cm, C 85x47x51cm",1
